ЦУР,1.2.2,Т.1.3.2,Т.1.4.3,11.2.1(тыс. чел.),2.1.1,Т2.2.1,3.3.2,3.3.4,3.5.2,3.6.1,3.7.1 (возраст 30-34 лет),3.7.1 (возраст 35-39 лет),3.c.1,Т3.6.2,Т3.6.4,Т3.6.5,Т3.6.8,Т3.6.11,Т3.4.5,Т3.5.2,Т3.7.3,Т3.7.4,Т3.8.4,Т3.13.1,4.2.1 (III группа здоровья),Т4.5.1,Т4.6.3,Т4.7.1,Т4.7.3
1.2.2,1.0,0.9999995364920107,0.8236125253030653,0.9142400965709879,0.9741745921412169,0.9741745921412169,0.8975136765461287,0.914876882474686,0.8879083490558095,0.8980487605196974,0.9357161579717234,0.9063927791116222,0.9770190081865319,0.8963012642218322,0.7566203187491186,0.7338650709346168,0.938693635911816,0.8713896860562803,0.9770190081865319,0.9770190081865319,0.8826402574990831,0.8825414628744971,0.879960505405171,0.8996516193369004,0.898433565407326,0.8899638323743947,0.8674434444245891,0.8935344283321248,0.8342875281826605
Т.1.3.2,0.9999995364920107,1.0,0.8238759705535791,0.9143818489224983,0.9743233259660833,0.9743233259660833,0.8978213862132646,0.9151111772157174,0.8881402425562178,0.8982869716897209,0.9359526877938409,0.9065526625161139,0.9771881562893877,0.8966096729364127,0.7569875717258381,0.7342526960332845,0.938951626727935,0.8714774335984293,0.9771881562893877,0.9771881562893877,0.8829123699216646,0.8828067450232486,0.8801569599722174,0.8998883603334435,0.8986647396805365,0.8902385301194872,0.8676427029462355,0.893777493760951,0.8345270974807101
Т.1.4.3,0.8236125253030653,0.8238759705535791,1.0,0.8061890824998541,0.9029612227692039,0.9029612227692039,0.8559574663637212,0.8664732523802207,0.9654702587107954,0.9236039820065804,0.9030964606869745,0.8390551987164785,0.8561929811668567,0.8560147393615084,0.8608712073379524,0.7857697830353538,0.9191657360051447,0.9108927212579124,0.8561929811668567,0.8561929811668567,0.9489526131607023,0.9595061494383988,0.8215515132173953,0.9218523437590395,0.8892436162431457,0.927335094665262,0.9212036324153167,0.8345689191671174,0.9951776228272148
11.2.1(тыс. чел.),0.9142400965709879,0.9143818489224983,0.8061890824998541,1.0,0.9287830932499483,0.9287830932499483,0.9640795427629806,0.9769911859470097,0.8713788928640467,0.917409282422802,0.9562586494874902,0.9146948928852592,0.8985332565817936,0.9640649015450535,0.881041610139038,0.9105248020181838,0.9347056032842487,0.924823593718779,0.8985332565817936,0.8985332565817936,0.9241814353441229,0.9052400181387426,0.9113049012586864,0.9182030976319808,0.9151885910292427,0.9218978972157148,0.8448043703721291,0.9518279479187302,0.8162960919636391
2.1.1,0.9741745921412169,0.9743233259660833,0.9029612227692039,0.9287830932499483,1.0,1.0,0.9490385259317228,0.9615425050406118,0.9603938170361559,0.9638434997314016,0.9835305901550386,0.9343570815883235,0.9824256396454083,0.948293895699459,0.8434604580958214,0.8078464868718301,0.9899548882237912,0.9311034704137722,0.9824256396454083,0.9824256396454083,0.9560130275157127,0.9578030200293959,0.9277165149183866,0.9642348068865597,0.958613132389102,0.945303148516634,0.94548944201754,0.9256897369910432,0.9138190433087026
Т2.2.1,0.9741745921412169,0.9743233259660833,0.9029612227692039,0.9287830932499483,1.0,1.0,0.9490385259317228,0.9615425050406118,0.9603938170361559,0.9638434997314016,0.9835305901550386,0.9343570815883235,0.9824256396454083,0.948293895699459,0.8434604580958214,0.8078464868718301,0.9899548882237912,0.9311034704137722,0.9824256396454083,0.9824256396454083,0.9560130275157127,0.9578030200293959,0.9277165149183866,0.9642348068865597,0.958613132389102,0.945303148516634,0.94548944201754,0.9256897369910432,0.9138190433087026
3.3.2,0.8975136765461287,0.8978213862132646,0.8559574663637212,0.9640795427629806,0.9490385259317228,0.9490385259317228,1.0,0.9943871113652055,0.9107822386075684,0.9673896277806207,0.9731253011545117,0.8997728657636036,0.9255357949738456,0.999993659712284,0.9381339378433223,0.9400425840875557,0.975849205282563,0.9087873310453344,0.9255357949738456,0.9255357949738456,0.9575162572031356,0.9457179885897137,0.968194928640736,0.9680212278696823,0.9737750702350253,0.956265445390498,0.9193195232312684,0.9784787372146787,0.8720642796923547
3.3.4,0.914876882474686,0.9151111772157174,0.8664732523802207,0.9769911859470097,0.9615425050406118,0.9615425050406118,0.9943871113652055,1.0,0.9245472959858746,0.9752585350798717,0.9812177519320693,0.910455557769551,0.9258217606844519,0.9944029645730972,0.928896775407228,0.9240615289311922,0.979638410446229,0.9411074192857176,0.9258217606844519,0.9258217606844519,0.9678932766272597,0.9566370395008191,0.9671704244681414,0.9757097622977308,0.97696878916101,0.9609548298238416,0.9282860775498404,0.9759319093257195,0.8842485733662038
3.5.2,0.8879083490558095,0.8881402425562178,0.9654702587107954,0.8713788928640467,0.9603938170361559,0.9603938170361559,0.9107822386075684,0.9245472959858746,1.0,0.9588990725674854,0.9651402782755836,0.9206956202115913,0.9201370920142649,0.9106091371715299,0.8675045949483907,0.8139844297329305,0.9694061162539028,0.957693486291045,0.9201370920142649,0.9201370920142649,0.9774893549082585,0.9854868013148763,0.8766682193254214,0.9572759651105851,0.9341270793775905,0.9424048629421617,0.963044347208182,0.8696700343281728,0.9645810978675317
3.6.1,0.8980487605196974,0.8982869716897209,0.9236039820065804,0.917409282422802,0.9638434997314016,0.9638434997314016,0.9673896277806207,0.9752585350798717,0.9588990725674854,1.0,0.9634488544434555,0.8649272089752643,0.9139753921536439,0.9674814519052162,0.9417510434421121,0.8854502165567846,0.9835009429077973,0.9468542110702557,0.9139753921536439,0.9139753921536439,0.9874188936435718,0.9867646839798753,0.9674277295096384,0.9999687840367023,0.9939571927150448,0.9816871127441811,0.9759949079148409,0.9610521031163753,0.9448062546963001
