ЦУР,1.3.1,1.4.1,1.4.2,1.а.2 Социальная политика,1.b.1,Т.1.3.1,Т.1.4.1,Т.1.4.2,Т.1.5 Все население,Т.1.5 Трудоспособное население,Т.1.5 Пенсионеры,Т.1.5 Дети,11.1.1,11.2.1 (%),11.7.1 (%),11.7.1 (шт),11.а.1,11.с.1,3.4.1b,Т3.2.2,Т3.3.1,Т3.5.1,Т3.7.2,Т3.8.2,Т3.9.2,Т3.10.1,Т3.10.2,4.2.1 (I группа здоровья),4.2.1 (II группа здоровья),4.2.1 (IV группа здоровья),4.2.1 (V группа здоровья),4.3.1,Т4.3.3,Т4.5.2,Т4.5.3,Т4.6.1,Т4.6.2,Т4.7.2
1.3.1,1.0,0.9735541379036411,0.9071897530909755,0.6710999021143194,0.9547451178313642,0.6492929104565607,0.9931356159321809,0.9570377993891307,0.9734183964948421,0.9711000975721621,0.9853277774286284,0.9745029200585343,0.6198121381880874,0.9468212642378382,0.9331589769175453,0.95523968970775,0.9735541379036411,0.9781801667528441,0.8794596523232331,0.8648482164790045,0.8443294082424979,0.8443294082424979,0.8671259103187949,0.9206168791209263,0.9149544670815937,0.8699066166489705,0.9305818476751141,0.5339783109153683,0.7024548418226727,0.47631291970738143,0.7821580974063495,0.8027440555879279,0.7553721081944307,0.7852245610184134,0.7483897188572906,0.5761139029247475,0.8080021766563393,0.690274061806005
1.4.1,0.9735541379036411,1.0,0.9456741344481546,0.7334507147555392,0.9415778411944622,0.6586169413605473,0.9852534688837107,0.8897227241858351,0.9694775280356852,0.965122179243595,0.9644914045908932,0.9709196732401143,0.640076377041476,0.9600330136460961,0.9108326014731674,0.9188900307633642,1.0,0.9313775718443612,0.8251500656627536,0.9289102254047178,0.821256654128485,0.821256654128485,0.810893502678961,0.865827483677749,0.8582107382344569,0.7782472488277777,0.847643076825074,0.5380396877372422,0.7827354190745863,0.5402311281216562,0.8548214205276525,0.8692699616500986,0.8316695630040634,0.856693381454594,0.8254184215819442,0.6537810417661256,0.8714054190896908,0.7724519116350407
1.4.2,0.9071897530909755,0.9456741344481546,1.0,0.7334381985168463,0.874606159937191,0.6792728878782333,0.9047726775150746,0.8480412800594428,0.8892272590599171,0.8921739681374595,0.878599234409982,0.8749384268149228,0.48006919833321865,0.854669673721506,0.8901458186462833,0.776981002834894,0.9456741344481546,0.8073977325336589,0.6322905944113385,0.8586370115660696,0.6268296294100265,0.6268296294100265,0.6176119078255451,0.6917746275052116,0.7479083588651974,0.5996218738583521,0.7766895167231904,0.3690300918052627,0.7864249693324913,0.5937749110197127,0.8258705861271538,0.8250980413512151,0.8181072499566459,0.8274174619050974,0.814879899554499,0.6704637171966639,0.8233590399469354,0.7711672463301192
1.а.2 Социальная политика,0.6710999021143194,0.7334507147555392,0.7334381985168463,1.0,0.7358603546031803,0.8424665727033864,0.7154008659945487,0.6281444746371365,0.6797696821992685,0.6757885547879243,0.6713672566657504,0.6880423162006672,0.7797351290041349,0.7296879642978885,0.6841899412805946,0.6778458447651363,0.7334507147555392,0.6530061944202362,0.6200804056238842,0.7916572637389057,0.703625782510403,0.703625782510403,0.621640352741087,0.6311697303304494,0.4813678519180417,0.5587484071095027,0.5531752816594174,0.3167057193437627,0.963909294296148,0.938709617771052,0.9120572117640231,0.8772788995379391,0.9381305592918027,0.9082589517834238,0.9430717480790934,0.953344904026558,0.8634132689954623,0.9624789051158187
1.b.1,0.9547451178313642,0.9415778411944622,0.874606159937191,0.7358603546031803,1.0,0.598108188232593,0.9681230766492427,0.9015727188992255,0.9768074773247414,0.9788210974216006,0.980352452073264,0.9733645823753901,0.5936064708761692,0.8799973537085843,0.98121405546714,0.9527612117298931,0.9415778411944624,0.9435417667417637,0.8287602792452974,0.7971391326854974,0.8588078857513409,0.8588078857513409,0.8513802260675517,0.8844391751815199,0.7847018902435161,0.8409144437239243,0.8251849310719788,0.5015986106879815,0.7056307337841368,0.5511166641624595,0.74568739613202,0.752300311846539,0.7322265633613662,0.7455585301678982,0.728752981659602,0.6343215992931852,0.7516814369322266,0.7041793090334476
Т.1.3.1,0.6492929104565607,0.6586169413605473,0.6792728878782333,0.8424665727033864,0.598108188232593,1.0,0.6503987677611266,0.7290653742946411,0.5391012145934464,0.531568809691242,0.5688940809771794,0.5519361973866335,0.6652239062136044,0.68469441472933,0.5373056572706123,0.5766419921405045,0.6586169413605473,0.6334620452519002,0.6099008070248815,0.756908897534661,0.5597028999391988,0.5597028999391988,0.5243400549458898,0.5961177578292289,0.5844756994742687,0.5251335308997015,0.7117905404979116,0.25382792783047886,0.89044166171173,0.8646297038761257,0.8387740510194639,0.8038109546615516,0.8651289576180503,0.8351875175939395,0.8700639478075293,0.8771905864347737,0.790081943074885,0.8878384931217181
Т.1.4.1,0.9931356159321809,0.9852534688837107,0.9047726775150746,0.7154008659945487,0.9681230766492427,0.6503987677611266,1.0,0.929241733811865,0.9826378422080139,0.9786886993073225,0.9887769071097822,0.9869855908287607,0.6573340843763205,0.9635185992842892,0.9329525633870008,0.9677701514229168,0.9852534688837107,0.9767037770469846,0.8887457436898534,0.8947921142535278,0.8792407182833089,0.8792407182833089,0.8825565245042097,0.9275147949811279,0.8843650736235242,0.8657240232992058,0.8936847758397661,0.5350622429190613,0.7375229869960107,0.5101031865390276,0.8107668388691344,0.8276278213555264,0.7865588757489188,0.8130300705006238,0.7801711313537669,0.6148579694209079,0.8310506891616034,0.7272031976088654
Т.1.4.2,0.9570377993891307,0.8897227241858351,0.8480412800594428,0.6281444746371365,0.9015727188992255,0.7290653742946411,0.929241733811865,1.0,0.8847687499796253,0.8853014101603318,0.9186377791345308,0.8829678963780265,0.540022838202363,0.8563234574697611,0.8883141665351967,0.8906879296953841,0.8897227241858351,0.9449591742813213,0.8389812995070423,0.7667869205879668,0.7584773234147213,0.7584773234147213,0.8013231948154405,0.8764859972393577,0.8986699515776971,0.848751526376575,0.9774745127638474,0.47319677072496763,0.6587441087419571,0.5038798113187964,0.7076550293348255,0.7186253723587407,0.6915128601195047,0.7090580501169118,0.6872505225775482,0.5760955707292623,0.720680807625985,0.6521167114247165
Т.1.5 Все население,0.9734183964948421,0.9694775280356852,0.8892272590599171,0.6797696821992685,0.9768074773247414,0.5391012145934464,0.9826378422080139,0.8847687499796253,1.0,0.9994268357863693,0.995823445368731,0.9979424278171072,0.6272345860180314,0.9203926514659121,0.9611528610818564,0.960832957737673,0.9694775280356852,0.9537744975109398,0.8498971329642364,0.8337935641406806,0.8624135418065504,0.8624135418065504,0.8694236759947825,0.9010569659849613,0.855458454294354,0.8506349667928752,0.8372780660414364,0.5909846268736475,0.6859356274588583,0.4648004268064083,0.7682105561179273,0.7918785456283459,0.7385783949052773,0.7706775546440751,0.7313029891408938,0.5715828508390088,0.7975296150437348,0.6786160894894723
Т.1.5 Трудоспособное население,0.9711000975721621,0.965122179243595,0.8921739681374595,0.6757885547879243,0.9788210974216006,0.531568809691242,0.9786886993073225,0.8853014101603318,0.9994268357863693,1.0,0.9950203367638444,0.995362394898047,0.6100265666583554,0.9086200736978839,0.9689812988190193,0.9551234036040496,0.9651221792435952,0.948337910980242,0.8366561604649498,0.8195313892528785,0.8502437900273565,0.8502437900273565,0.8590266057826574,0.8911401332201316,0.8479285140465452,0.8435643944165174,0.8335552640138391,0.5838610665399968,0.6782817302248215,0.4642951053742323,0.7581038913289185,0.781141845159057,0.729317207169846,0.7604970990398109,0.7222571201155864,0.5677066069114369,0.7866543238062037,0.671244219932282
Т.1.5 Пенсионеры,0.9853277774286284,0.9644914045908932,0.878599234409982,0.6713672566657504,0.980352452073264,0.5688940809771794,0.9887769071097822,0.9186377791345308,0.995823445368731,0.9950203367638444,1.0,0.9953171109215774,0.6280844195074384,0.9241637300671577,0.9612018378891454,0.97364485130371,0.9644914045908934,0.9745561727198286,0.876775440240123,0.8276123448074589,0.8737936140663498,0.8737936140663498,0.8888194656320245,0.9247498378059014,0.8790274148712266,0.8821191246844591,0.8775867452939092,0.5826780724435187,0.6763729151331827,0.46284115552719324,0.7563061368139481,0.779439077259586,0.7274882991285956,0.7587388389713468,0.7204179903934598,0.5657261438761655,0.7850227109923332,0.669209617557519
Т.1.5 Дети,0.9745029200585343,0.9709196732401143,0.8749384268149228,0.6880423162006672,0.9733645823753901,0.5519361973866335,0.9869855908287607,0.8829678963780265,0.9979424278171072,0.995362394898047,0.9953171109215774,1.0,0.6604526732281393,0.9380058510552882,0.9461481599295523,0.9731690329411559,0.9709196732401143,0.9639991410861708,0.8774066695815392,0.8526768531108191,0.8897950052791954,0.8897950052791954,0.8936237114884047,0.9220936441865063,0.8638349689254642,0.8697327535795818,0.8427740680827807,0.5967002513792745,0.6952989734179685,0.46630761625257505,0.7800063676884469,0.8041817021530444,0.7496083864278078,0.7825592431904317,0.7421222016873529,0.576550553140884,0.8099368276780416,0.6875432258551137
11.1.1,0.6198121381880874,0.640076377041476,0.48006919833321865,0.7797351290041349,0.5936064708761692,0.6652239062136044,0.6573340843763205,0.540022838202363,0.6272345860180314,0.6100265666583554,0.6280844195074384,0.6604526732281393,1.0,0.7573327897584727,0.495347975004539,0.7224177854905894,0.640076377041476,0.6889419062211701,0.8111293464862881,0.750037249057287,0.8324930699391253,0.8324930699391253,0.8011208321942499,0.7714016541998499,0.6519442739648236,0.7381129868897193,0.5881362619653491,0.6343388095994433,0.7913547046784818,0.6558852569789841,0.8434974497081209,0.8590289153956551,0.8245579266142607,0.8451553326163427,0.8199383828823443,0.720881480389243,0.8629225825743635,0.7867178464719626
