ЦУР,1.5.1 Пострадавшие,1.5.2,1.а.1,11.5.1 пострадавшие,11.5.2,11.5.3,13.1.1 пострадавшие,3.4.1a,Т3.8.1,Т3.13.2,Т3.13.3,Т3.13.4,Т3.13.5,Т3.13.6
1.5.1 Пострадавшие,1.0,0.7237272302793389,0.868302639091908,1.0,0.7237272302793389,0.7237272302793389,1.0,0.2984709261244468,0.2984709261244468,0.10873808409366724,0.10642624901333274,0.11451742836941421,0.11009230957307241,0.11361620440429089
1.5.2,0.7237272302793389,1.0,0.7918713703495757,0.723727230279339,1.0,1.0,0.723727230279339,0.299959460258396,0.299959460258396,0.004490004334300206,0.00014638064884432838,0.009696751573880707,0.008841239665498418,0.01763839207334586
1.а.1,0.868302639091908,0.7918713703495757,1.0,0.8683026390919079,0.7918713703495757,0.7918713703495757,0.8683026390919079,0.3037429565694305,0.3037429565694305,0.10280524675850322,0.09863021207136784,0.10030861147567072,0.08914086933576566,0.10638065022970176
11.5.1 пострадавшие,1.0,0.723727230279339,0.8683026390919079,1.0,0.7237272302793389,0.7237272302793389,1.0,0.2984709261244468,0.2984709261244468,0.10873808409366724,0.10642624901333274,0.11451742836941421,0.11009230957307241,0.11361620440429089
11.5.2,0.7237272302793389,1.0,0.7918713703495757,0.7237272302793389,1.0,1.0,0.723727230279339,0.299959460258396,0.299959460258396,0.004490004334300206,0.00014638064884432838,0.009696751573880707,0.008841239665498418,0.01763839207334586
11.5.3,0.7237272302793389,1.0,0.7918713703495757,0.7237272302793389,1.0,1.0,0.723727230279339,0.299959460258396,0.299959460258396,0.004490004334300206,0.00014638064884432838,0.009696751573880707,0.008841239665498418,0.01763839207334586
13.1.1 пострадавшие,1.0,0.723727230279339,0.8683026390919079,1.0,0.723727230279339,0.723727230279339,1.0,0.2984709261244468,0.2984709261244468,0.10873808409366724,0.10642624901333274,0.11451742836941421,0.11009230957307241,0.11361620440429089
3.4.1a,0.2984709261244468,0.299959460258396,0.3037429565694305,0.2984709261244468,0.299959460258396,0.299959460258396,0.2984709261244468,1.0,1.0,0.7932406982015394,0.7905786676046276,0.8006397747206575,0.7887095184468789,0.8070343480481551
Т3.8.1,0.2984709261244468,0.299959460258396,0.3037429565694305,0.2984709261244468,0.299959460258396,0.299959460258396,0.2984709261244468,1.0,1.0,0.7932406982015394,0.7905786676046276,0.8006397747206575,0.7887095184468789,0.8070343480481551
Т3.13.2,0.10873808409366724,0.004490004334300206,0.10280524675850322,0.10873808409366724,0.004490004334300206,0.004490004334300206,0.10873808409366724,0.7932406982015394,0.7932406982015394,1.0,0.9999777040188723,0.9996129874254955,0.9988550044787391,0.9993638743875206
Т3.13.3,0.10642624901333274,0.00014638064884432838,0.09863021207136784,0.10642624901333274,0.00014638064884432838,0.00014638064884432838,0.10642624901333274,0.7905786676046276,0.7905786676046276,0.9999777040188723,1.0,0.9996034184915844,0.9989856100665258,0.9992542662949515
Т3.13.4,0.11451742836941421,0.009696751573880707,0.10030861147567072,0.11451742836941421,0.009696751573880707,0.009696751573880707,0.11451742836941421,0.8006397747206575,0.8006397747206575,0.9996129874254955,0.9996034184915844,1.0,0.9994213252130812,0.9998152646000418
Т3.13.5,0.11009230957307241,0.008841239665498418,0.08914086933576566,0.11009230957307241,0.008841239665498418,0.008841239665498418,0.11009230957307241,0.7887095184468789,0.7887095184468789,0.9988550044787391,0.9989856100665258,0.9994213252130812,1.0,0.9989180780619689
Т3.13.6,0.11361620440429089,0.01763839207334586,0.10638065022970176,0.11361620440429089,0.01763839207334586,0.01763839207334586,0.11361620440429089,0.8070343480481551,0.8070343480481551,0.9993638743875206,0.9992542662949515,0.9998152646000418,0.9989180780619689,1.0
