ЦУР,1.5.1 Погибшие,1.а.2 Здравоохранение,11.5.1 погибшие,13.1.1 погибшие,2.a.1,2.b.1,Т2.2.3,3.1.1,3.2.1,3.2.2,3.3.3,3.4.2,Т3.2.5,Т3.6.3,Т3.7.1,Т3.8.3,Т3.9.1,Т3.10.3,Т3.10.4,4.4.1.a,4.4.1.b,Т4.9.1,Т4.9.2
1.5.1 Погибшие,1.0,0.7307806403292464,1.0,1.0,0.9663374879648546,0.863408598024485,0.9663374879648546,0.4483003453077596,0.6414398808937029,0.49071061272285044,0.34450413123306145,0.9759001102286358,0.4323939992743446,0.34450413123306145,0.41400647370795135,0.9738128917616745,0.6433768599625002,0.6433768599625002,0.6521683018601212,0.3742655420348597,0.8317754055465355,0.3742655420348597,0.8317754055465355
1.а.2 Здравоохранение,0.7307806403292464,1.0,0.7307806403292464,0.7307806403292464,0.6140536868163363,0.44749401535642674,0.6140536868163363,0.47142906343790303,0.46359465549128714,0.5999156700305386,0.5801611226192289,0.6706376282678983,0.4913601111865964,0.5801611226192289,0.628889869863112,0.6195831562952742,0.2731457853572871,0.2731457853572871,0.2594392781362647,0.5717661600048836,0.7864352184224249,0.5717661600048836,0.7864352184224249
11.5.1 погибшие,1.0,0.7307806403292464,1.0,1.0,0.9663374879648546,0.863408598024485,0.9663374879648546,0.4483003453077596,0.6414398808937029,0.49071061272285044,0.34450413123306145,0.9759001102286358,0.4323939992743446,0.34450413123306145,0.41400647370795135,0.9738128917616745,0.6433768599625002,0.6433768599625002,0.6521683018601212,0.3742655420348597,0.8317754055465355,0.3742655420348597,0.8317754055465355
13.1.1 погибшие,1.0,0.7307806403292464,1.0,1.0,0.9663374879648546,0.863408598024485,0.9663374879648546,0.4483003453077596,0.6414398808937029,0.49071061272285044,0.34450413123306145,0.9759001102286358,0.4323939992743446,0.34450413123306145,0.41400647370795135,0.9738128917616745,0.6433768599625002,0.6433768599625002,0.6521683018601212,0.3742655420348597,0.8317754055465355,0.3742655420348597,0.8317754055465355
2.a.1,0.9663374879648546,0.6140536868163363,0.9663374879648546,0.9663374879648546,1.0,0.95577566642703,1.0,0.39214900629274313,0.7141011501503058,0.41029441404936234,0.27931817922257873,0.9591249203997774,0.37849124014850377,0.27931817922257873,0.3458510680548596,0.9738208758460495,0.7779856378404869,0.7779856378404869,0.7916298913918035,0.304191438069102,0.7640700089286002,0.304191438069102,0.7640700089286002
2.b.1,0.863408598024485,0.44749401535642674,0.863408598024485,0.863408598024485,0.95577566642703,1.0,0.95577566642703,0.42011997162960424,0.7611947640076683,0.3534516624196506,0.3001298312405527,0.8898695936730895,0.40779270568133047,0.3001298312405527,0.2832322001451213,0.9294366063410711,0.9125105426897142,0.9125105426897142,0.9123513452854878,0.279044790358414,0.6286370146568689,0.279044790358414,0.6286370146568689
Т2.2.3,0.9663374879648546,0.6140536868163363,0.9663374879648546,0.9663374879648546,1.0,0.95577566642703,1.0,0.39214900629274313,0.7141011501503058,0.41029441404936234,0.27931817922257873,0.9591249203997774,0.37849124014850377,0.27931817922257873,0.3458510680548596,0.9738208758460495,0.7779856378404869,0.7779856378404869,0.7916298913918035,0.304191438069102,0.7640700089286002,0.304191438069102,0.7640700089286002
3.1.1,0.4483003453077596,0.47142906343790303,0.4483003453077596,0.4483003453077596,0.39214900629274313,0.42011997162960424,0.39214900629274313,1.0,0.5058966860642887,0.921793761348814,0.7088334119411779,0.49071706446052216,0.9040906965419649,0.7088334119411779,0.689606984020904,0.504037671462237,0.5320700471734232,0.5320700471734232,0.5195167786883158,0.438222267587492,0.5448286140688566,0.438222267587492,0.5448286140688566
3.2.1,0.6414398808937029,0.46359465549128714,0.6414398808937029,0.6414398808937029,0.7141011501503058,0.7611947640076683,0.7141011501503058,0.5058966860642887,1.0,0.48400753818868186,0.37977541249033053,0.7682136913336782,0.6958221040144922,0.37977541249033053,0.0895866943237107,0.7325893251916336,0.8619790239700048,0.8619790239700048,0.8606086218041494,0.28665009990843227,0.34415980508060956,0.28665009990843227,0.34415980508060956
3.2.2,0.49071061272285044,0.5999156700305386,0.49071061272285044,0.49071061272285044,0.41029441404936234,0.3534516624196506,0.41029441404936234,0.921793761348814,0.48400753818868186,1.0,0.5683084869255227,0.4944397800612365,0.8240876103030309,0.5683084869255227,0.765300291017154,0.47689611940156795,0.3995430715193,0.3995430715193,0.4318344642079328,0.3354256733609291,0.6804981894404846,0.3354256733609291,0.6804981894404846
3.3.3,0.34450413123306145,0.5801611226192289,0.34450413123306145,0.34450413123306145,0.27931817922257873,0.3001298312405527,0.27931817922257873,0.7088334119411779,0.37977541249033053,0.5683084869255227,1.0,0.36786694414152354,0.627370614492598,1.0,0.5931217204851217,0.3644676193788001,0.3554530638674741,0.3554530638674741,0.2728442248937742,0.9151974004964982,0.32735547669037873,0.9151974004964982,0.32735547669037873
3.4.2,0.9759001102286358,0.6706376282678983,0.9759001102286358,0.9759001102286358,0.9591249203997774,0.8898695936730895,0.9591249203997774,0.49071706446052216,0.7682136913336782,0.4944397800612365,0.36786694414152354,1.0,0.5367068226758686,0.36786694414152366,0.2976188258080479,0.9898434664710891,0.7375631477464434,0.7375631477464434,0.7379952142838733,0.3695745752431147,0.7230517958324127,0.3695745752431147,0.7230517958324127
Т3.2.5,0.4323939992743446,0.4913601111865964,0.4323939992743446,0.4323939992743446,0.37849124014850377,0.40779270568133047,0.37849124014850377,0.9040906965419649,0.6958221040144922,0.8240876103030309,0.627370614492598,0.5367068226758686,1.0,0.627370614492598,0.41830858938915305,0.5118030814058102,0.579653268754542,0.579653268754542,0.5553233179088733,0.36099019036769053,0.3892520684539738,0.36099019036769053,0.3892520684539738
Т3.6.3,0.34450413123306145,0.5801611226192289,0.34450413123306145,0.34450413123306145,0.27931817922257873,0.3001298312405527,0.27931817922257873,0.7088334119411779,0.37977541249033053,0.5683084869255227,1.0,0.36786694414152366,0.627370614492598,1.0,0.5931217204851217,0.3644676193788001,0.3554530638674741,0.3554530638674741,0.2728442248937742,0.9151974004964982,0.32735547669037873,0.9151974004964982,0.32735547669037873
Т3.7.1,0.41400647370795135,0.628889869863112,0.41400647370795135,0.41400647370795135,0.3458510680548596,0.2832322001451213,0.3458510680548596,0.689606984020904,0.0895866943237107,0.765300291017154,0.5931217204851217,0.2976188258080479,0.41830858938915305,0.5931217204851217,1.0,0.32937861768230153,0.19570527396459056,0.19570527396459056,0.21219497850381033,0.4697253771295892,0.7838265201906279,0.4697253771295892,0.7838265201906279
Т3.8.3,0.9738128917616745,0.6195831562952742,0.9738128917616745,0.9738128917616745,0.9738208758460495,0.9294366063410711,0.9738208758460495,0.504037671462237,0.7325893251916336,0.47689611940156795,0.3644676193788001,0.9898434664710891,0.5118030814058102,0.3644676193788001,0.32937861768230153,1.0,0.7766107258764761,0.7766107258764761,0.7742780961850065,0.35418129904452056,0.7372357672318857,0.35418129904452056,0.7372357672318857
Т3.9.1,0.6433768599625002,0.2731457853572871,0.6433768599625002,0.6433768599625002,0.7779856378404869,0.9125105426897142,0.7779856378404869,0.5320700471734232,0.8619790239700048,0.3995430715193,0.3554530638674741,0.7375631477464434,0.579653268754542,0.3554530638674741,0.19570527396459056,0.7766107258764761,1.0,1.0,0.9893477956939297,0.23338859631523415,0.3973287808643084,0.23338859631523415,0.3973287808643084
Т3.10.3,0.6433768599625002,0.2731457853572871,0.6433768599625002,0.6433768599625002,0.7779856378404869,0.9125105426897142,0.7779856378404869,0.5320700471734232,0.8619790239700048,0.3995430715193,0.3554530638674741,0.7375631477464434,0.579653268754542,0.3554530638674741,0.19570527396459056,0.7766107258764761,1.0,1.0,0.9893477956939297,0.23338859631523415,0.3973287808643084,0.23338859631523415,0.3973287808643084
Т3.10.4,0.6521683018601212,0.2594392781362647,0.6521683018601212,0.6521683018601212,0.7916298913918035,0.9123513452854878,0.7916298913918035,0.5195167786883158,0.8606086218041494,0.4318344642079328,0.2728442248937742,0.7379952142838733,0.5553233179088733,0.2728442248937742,0.21219497850381033,0.7742780961850065,0.9893477956939297,0.9893477956939297,1.0,0.15297108194314896,0.4362373477544107,0.15297108194314896,0.4362373477544107
