ЦУР,1.а.2 Образование,11.3.1,3.3.1,3.5.1,3.7.1 (возраст 25-29 лет),Т3.2.1,Т3.2.3,Т3.2.4,Т3.6.1,Т3.6.6,Т3.6.7,Т3.6.9,Т3.6.10
1.а.2 Образование,1.0,0.7249038274927087,0.6492290777353449,0.7464431374444641,0.6970342669036912,0.8375946121479502,0.7362847072837281,0.9035679371557407,0.6639935612035722,0.9779413025839999,0.7309175985955789,0.7883508895836846,0.7447210418666494
11.3.1,0.7249038274927087,1.0,0.4302989765425285,0.29221181178415334,0.7927255996711062,0.8276768563317726,0.6954505540505469,0.7995811668105732,0.4115385324446524,0.7885368623895204,0.834320371632478,0.9302953069170975,0.2914611759827498
3.3.1,0.6492290777353449,0.4302989765425285,1.0,0.8862903533373598,0.44997124934084853,0.6381068753969069,0.5317758718573928,0.7324222331551263,0.997463281414045,0.6451469067259564,0.49121895297753304,0.6235279359987829,0.8811053431608811
3.5.1,0.7464431374444641,0.29221181178415334,0.8862903533373598,1.0,0.40845026438976534,0.5828338419224062,0.488030323068529,0.6370029668001523,0.9036120852737963,0.7191975408272383,0.3926339325838709,0.5115023892650605,0.9997900050737829
3.7.1 (возраст 25-29 лет),0.6970342669036912,0.7927255996711062,0.44997124934084853,0.40845026438976534,1.0,0.7708186077838864,0.6942969335628656,0.7645652542123167,0.47017567865066995,0.7907006198677996,0.9607960709946604,0.8770239607740158,0.40653569834767034
Т3.2.1,0.8375946121479502,0.8276768563317726,0.6381068753969069,0.5828338419224062,0.7708186077838864,1.0,0.935382513197953,0.8941725172355544,0.6340085601886776,0.8637473231336082,0.787045758196638,0.9200016536006068,0.5791194963255266
Т3.2.3,0.7362847072837281,0.6954505540505469,0.5317758718573928,0.488030323068529,0.6942969335628656,0.935382513197953,1.0,0.8268699067532269,0.5309609293158412,0.7173483633825029,0.7224235234189339,0.7647111013034912,0.4818004083472062
Т3.2.4,0.9035679371557407,0.7995811668105732,0.7324222331551263,0.6370029668001523,0.7645652542123167,0.8941725172355544,0.8268699067532269,1.0,0.7373251467079255,0.8938135702955929,0.8521114315135756,0.8602118982039857,0.6288223616399758
Т3.6.1,0.6639935612035722,0.4115385324446524,0.997463281414045,0.9036120852737963,0.47017567865066995,0.6340085601886776,0.5309609293158412,0.7373251467079255,1.0,0.6596821709976045,0.5068996545465072,0.6170526847274374,0.8982582168058973
Т3.6.6,0.9779413025839999,0.7885368623895204,0.6451469067259564,0.7191975408272383,0.7907006198677996,0.8637473231336082,0.7173483633825029,0.8938135702955929,0.6596821709976045,1.0,0.7958892168001223,0.8734250054064765,0.7188951882302826
Т3.6.7,0.7309175985955789,0.834320371632478,0.49121895297753304,0.3926339325838709,0.9607960709946604,0.787045758196638,0.7224235234189339,0.8521114315135756,0.5068996545465072,0.7958892168001223,1.0,0.8717717449003062,0.38634527322173806
Т3.6.9,0.7883508895836846,0.9302953069170975,0.6235279359987829,0.5115023892650605,0.8770239607740158,0.9200016536006068,0.7647111013034912,0.8602118982039857,0.6170526847274374,0.8734250054064765,0.8717717449003062,1.0,0.5104466283761785
Т3.6.10,0.7447210418666494,0.2914611759827498,0.8811053431608811,0.9997900050737829,0.40653569834767034,0.5791194963255266,0.4818004083472062,0.6288223616399758,0.8982582168058973,0.7188951882302826,0.38634527322173806,0.5104466283761785,1.0
