ЦУР,Субъект РФ,2016,2017,2018,2019,2020,2021,2022,2023,2024
12.1.1 (%),РФ,,,,"112,059","102,71","102,9","114,75",,
12.1.1 (%),Республика Адыгея (Адыгея),,,,"142,351","102,22","122,89","129,82",,
12.1.1 (%),Республика Калмыкия,,,,"124,4358","110,67","105,58","88,88",,
12.1.1 (%),Республика Крым,,,,"138,5741","100,25","93,63","512,75",,
12.1.1 (%),Краснодарский край,,,,"115,6572","113,1","147,22","94,22",,
12.1.1 (%),Астраханская область,,,,"89,6805","102,88","111,45","91,65",,
12.1.1 (%),Волгоградская область,,,,"121,783","93,9","107,96","110,5",,
12.1.1 (%),Ростовская область,,,,"122,0178","100,96","166,05","113,01",,
12.1.1 (%),Город федерального зачения Севастополь,,,,"80,4697","91,84","75,59","84,04",,
12.1.1 (%),РО,,,,"122,0178","100,96","166,05","113,01",,
12.2.2 (млн кВт/час),РФ,"153 948,9",155 669,"159 305,3","160 877,8","163 424,1","175 768,4",180 965,,
12.2.2 (млн кВт/час),ЮФО,"16 013,1","16 070,6","16 186,2","17 936,9","18 744,9","19 641,8","20 485,3",,
12.2.2 (млн кВт/час),РО,"3 838,4","3 900,3","4 008,7","3 969,2","4 166,4",4 430,"4 317,2",,
12.3.1 (млн. куб. м),РФ,6848,6963,7021,6879,6565,6661,,,
12.3.1 (млн. куб. м),ЮФО,2185,2057,2239,2212,1828,2071,,,
12.3.1 (млн. куб. м),РО,703,764,758,693,659,561,,,
"12.5.1 (Доля направленных на захоронение твёрдых коммунальных отходов, %)",РФ,,,,,,"73,2","81,7",,
"12.5.1 (Доля направленных на захоронение твёрдых коммунальных отходов, %)",РО,,,,,,87,"82,6",,
"12.5.1 (Доля направленных на утилизацию отходов, %)",РФ,,,,,,"11,6","11,9",,
"12.5.1 (Доля направленных на утилизацию отходов, %)",РО,,,,,,"11,9",12,,
"12.5.3 (Доля твёрдых коммунальных отходов, направленных на обработку (сортировку))",РФ,,,,,,"43,3","49,9",,
"12.5.3 (Доля твёрдых коммунальных отходов, направленных на обработку (сортировку))",РО,,,,,,"38,3","57,9",,
"12.6.1 (Число компаний, публикующих отчеты о рациональном использовании ресурсов, ед)",РФ,86,88,98,90,105,108,106,,
Т 12.2.1 (кол-во музеев),РФ,127,127,137,129,135,143,146,,
Т 12.2.1 (кол-во музеев),ЮФО,,,,9,,,,,
Т 12.2.1 (кол-во музеев),РО,,,1,1,1,,1,,
Т 12.2.1 (визит-центров),РФ,318,302,302,291,290,291,284,,
Т 12.2.1 (визит-центров),ЮФО,10,11,12,14,12,12,4,,
Т 12.2.1 (визит-центров),РО,,,1,,1,1,1,,
Т 12.2.1 (экотроп и маршрутов),РФ,1339,1373,1436,1497,1 520,1 566,1 484,,
Т 12.2.1 (экотроп и маршрутов),ЮФО,287,301,329,341,367,379,326,,
Т 12.2.1 (экотроп и маршрутов),РО,,,3,3,3,3,,,
Т 12.2.2 (Виды экотроп и маршрутов в государственных природных заповедниках -  водные),РФ,77,74,75,81,80,76,,,
Т 12.2.2 (Виды экотроп и маршрутов в государственных природных заповедниках -  водные),ЮФО,13,12,13,14,16,16,,,
Т 12.2.2 (Виды экотроп и маршрутов в государственных природных заповедниках -  водные),РО,,,,,,,,,
Т 12.2.3 (в национальных парках - водные),РФ,64,63,65,99,96,119,,,
Т 12.2.3 (в национальных парках - водные),ЮФО,4,4,4,4,4,4,,,
Т 12.2.3 (в национальных парках - водные),РО,,,,,,,,,
Т 12.2.4 (Виды экотроп и маршрутов в государственных природных заповедниках -  конные),РФ,10,10,9,13,15,17,,,
Т 12.2.4 (Виды экотроп и маршрутов в государственных природных заповедниках -  конные),ЮФО,,,,4,7,6,,,
Т 12.2.4 (Виды экотроп и маршрутов в государственных природных заповедниках -  конные),РО,,,,,,,,,
Т 12.2.5 (в национальных парках - конные),РФ,63,67,70,64,55,69,,,
Т 12.2.5 (в национальных парках - конные),ЮФО,26,26,27,27,26,32,,,
Т 12.2.5 (в национальных парках - конные),РО,,,,,,,,,
Т 12.2.6 (Виды экотроп и маршрутов  в государственных природных заповедниках -  пешие),РФ,323,330,345,337,357,356,,,
Т 12.2.6 (Виды экотроп и маршрутов  в государственных природных заповедниках -  пешие),ЮФО,24,22,27,25,40,57,,,
Т 12.2.6 (Виды экотроп и маршрутов  в государственных природных заповедниках -  пешие),РО,,,3,3,3,3,,,
Т 12.2.7 (в национальных парках - пешие),РФ,536,555,576,588,582,622,,,
Т 12.2.7 (в национальных парках - пешие),ЮФО,211,226,232,234,226,237,,,
Т 12.2.7 (в национальных парках - пешие),РО,,,,,,,,,
Т 12.2.8 (Виды экотроп и маршрутов в государственных природных заповедниках -  прочие),РФ,77,64,67,78,91,76,,,
Т 12.2.8 (Виды экотроп и маршрутов в государственных природных заповедниках -  прочие),ЮФО,6,8,8,13,21,15,,,
Т 12.2.8 (Виды экотроп и маршрутов в государственных природных заповедниках -  прочие),РО,,,,,,,,,
Т 12.2.9 (в национальных парках - прочие),РФ,189,210,229,237,244,231,,,
Т 12.2.9 (в национальных парках - прочие),ЮФО,3,3,18,20,27,12,,,
Т 12.2.9 (в национальных парках - прочие),РО,,,,,,,,,
Т 12.2.10 (Количество посетителей объектов),РФ,687 782,680 351,774 220,826 158,660 495,811 285,,,
