ЦУР,Субъект,2016,2017,2018,2019,2020,2021,2022,2023,2024
17.8.1 (%),РФ,"73,1",76,"80,9","82,6",85,"88,2","90,4",,
17.8.1 (%),ЮФО,"73,3","78,2","84,5","81,9","85,7","89,5","92,4",,
17.8.1 (%),РО,"78,1",80,"82,3","83,3","87,6",88,"91,4",,
17.13.1 (руб. (ВВП для РФ)),РФ,"505 337,7","543 065,9","614 333,2","647 708,1","644 615,2","830792,7",,,
17.13.1 (руб),ЮФО,"332 286,2","354 937,6","384 256,8","401 677,0","411 785,7","483 149,9",,,
17.13.1 (руб),РО,"324 802,1","341 163,4","367 627,9","389 521,4","409 240,7","483 970,4",,,
"17.16.1 (Количество граждан, принимающих участие в добровольческой деятельности)",РФ,,,,42 690,71 416,189 538,307 373,,
"17.16.1 (Количество граждан, принимающих участие в добровольческой деятельности)",ЮФО,,,,"186,625","305,125","180,75","84,875",,
"17.16.1 (Количество граждан, принимающих участие в добровольческой деятельности)",РО,,,,2 150,3 014,6 403,10 703,,
Т 17.2 (Доля населения в возрасте 15-74 пользующегося информационно-телекоммуникационной сетью «Интернет»),РФ,"73,1",76,"80,9","82,6",85,"88,2","90,4",,
"Т 17.2 (Доля населения, пользующегося информационно-телекоммуникационной сетью «Интернет»)",ЮФО,"73,3","78,2","84,5","81,9","85,7","89,5","92,4",,
"Т 17.2 (Доля населения, пользующегося информационно-телекоммуникационной сетью «Интернет»)",РО,"78,1",80,"82,3","83,3","87,6",88,"91,4",,
Т 17.3 (в возрасте 15-74) использовавшего сеть Интернет в %,РФ,"80,8","83,7","87,3","88,6","89,6","91,8","93,5",,
Т 17.3 (в возрасте 15-74) использовавшего сеть Интернет в %,ЮФО,"80,6","83,9","89,1","87,2","89,7","92,9","94,8",,
Т 17.3 (в возрасте 15-74) использовавшего сеть Интернет в %,РО,"82,7",85,"88,3","89,4","90,9","91,1","94,5",,
"Т 17.4 (ВВП на душу населения, руб)",РФ,"583 714,9","625 453,9","707 357,1","746 830,4","735 069,5","927 540,0",,,
"Т 17.4 (ВРП на душу населения, руб)",ЮФО,"332 286,2","354 937,6","384 256,8","401 677,0","411 785,7","483 149,9",,,
"Т 17.4 (ВРП на душу населения, руб)",РО,"324 802,1","341 163,4","367 627,9","389 521,4","409 240,7","483 970,4",,,
Т 17.4 (Фактическое конечное потребление домашних хозяйств в единой валюте на душу населения),РФ,"355 575,2","377 007,1","409 339,1","446 010,2","444 853,5","530 033,0",,,
Т 17.4 (Фактическое конечное потребление домашних хозяйств в единой валюте на душу населения),ЮФО,"299 718,2","315 020,7","338 107,1","351 899,0","366 889,4","440 156,5",,,
Т 17.4 (Фактическое конечное потребление домашних хозяйств в единой валюте на душу населения),РО,"313 200,7","328 334,0","349 235,6","361 083,1","368 512,4","427 258,2",,,
Т 17.4 (Индекс физического объема валового внутреннего продукта на душу населения),РФ,100,"101,7","102,8","102,2","97,5",106,,,
Т 17.4 (Индекс физического объема валового регионального продукта на душу населения),ЮФО,"100,9","103,1","101,6","101,1","98,4","104,6",,,
Т 17.4 (Индекс физического объема валового регионального продукта на душу населения),РО,"103,3","102,7","102,5","102,1","97,8","106,8",,,
