ЦУР,Субъект РФ,2016,2017,2018,2019,2020,2021,2022
7.1.1 (Г),РФ,,,100,,100,,100
7.1.1 (С),РФ,,,100,,100,,100
7.1.2,РФ,"997,3","1 077,03","1 258,56","2 010,86","3 239,72","3 876,73","4 289,64"
7.1.2,ЮФО,"527,4","543,04","532,82","820,32","1 691,16","1 993,85","1 906,72"
7.1.2,РО,,,,,"346,8",507,
7.2.1,РФ,"17,6",17,"17,3","17,5","19,8",19,"17,6"
7.2.1,ЮФО,"19,9","20,8","18,8","16,9","20,1","18,2","19,92"
7.2.1,РО,1,"1,2","1,9","1,1","2,2","3,7",
7.3.1,РФ,,,,"9,5","9,4","9,2","9,1"
7.3.1,ЮФО,,,,14,"13,4","13,7","13,1"
7.3.1,РО,,,,"14,1","13,7","13,6","13,6"
7.a.1,РФ,,14 031 402,30 146 455,75 323 646,130 671 762,73 836 188,59 219 323
7.a.1,ЮФО,,110 239,1 595 135,31 470 330,72 904 680,26 189 609,11 583 211
7.a.1,РО,,,,6 110 161,34 376 267,19 231 254,59 566
7.b.1,РФ,,21 370 645,23 767 647,24 581 142,26 845 617,27 018 070,
7.b.1,ЮФО,,977 196,1 056 874,1 288 525,1 008 036,1 251 848,
7.b.1,РО,,215 323,233 789,283 783,321 383,585 230,
"Т. 7.2.1 (Потребление электроэнергии, млн киловатт-часов)",РФ,"1 077 948,4","1 089 104,7","1 108 134,0","1 110 050,3","1 085 045,1","1 135 352,9",
"Т. 7.2.1 (Потребление электроэнергии, млн киловатт-часов)",ЮФО,"69 410,8","68 740,5","73 582,3","75 374,5","75 828,2","79 792,7",
"Т. 7.2.1 (Потребление электроэнергии, млн киловатт-часов)",РО,"18 717,5","18 762,9","19 615,8","19 324,1","18 990,0","20 190,7",
"Т. 7.2.2 (Потребление электрической энергии на душу населения, кВт∙ч/чел)",РФ,"7 439,1","7 452,1","7 594,0","7 641,4","7 440,0","7 948,6",
"Т. 7.2.2 (Потребление электрической энергии на душу населения, кВт∙ч/чел)",ЮФО,"4 424,2","4 511,6","4 880,4","5 062,5","5 089,8","5 149,5",
"Т. 7.2.2 (Потребление электрической энергии на душу населения, кВт∙ч/чел)",РО,"8 564,8","8 782,7","10 052,4","10 609,9","10 271,3","10 703,8",
"Т 7.2.3 (Доля электрической энергии, производимой с использованием возобновляемых источников энергии)",РФ,17,17,"17,3","17,6","19,8",19,
"Т 7.2.3 (Доля электрической энергии, производимой с использованием возобновляемых источников энергии)",ЮФО,"18,3","20,9","18,9","16,9","20,1","18,2",
"Т 7.2.3 (Доля электрической энергии, производимой с использованием возобновляемых источников энергии)",РО,1,"1,2","1,9","1,1","2,2","3,7",
"Т 7.2.4 (Мощность генерирующих объектов, функционирующих на основе использования возобновляемых источников энергии (без учета гидроэлектростанций установленной мощностью свыше 25 МВт))",РФ,"997,3","1 077,0","1 258,6","2 010,9","3 239,7","3 876,6",
"Т 7.2.4 (Мощность генерирующих объектов, функционирующих на основе использования возобновляемых источников энергии (без учета гидроэлектростанций установленной мощностью свыше 25 МВт))",ЮФО,"527,4",543,"532,8","820,3","1 691,2","1 993,8",
"Т 7.2.4 (Мощность генерирующих объектов, функционирующих на основе использования возобновляемых источников энергии (без учета гидроэлектростанций установленной мощностью свыше 25 МВт))",РО,,,,,"346,8",507,
Т 7.2.5 (Энергоемкость ВВП),РФ,"105,37","105,59","105,12","102,31","99,48","98,24",
Т 7.2.6 (Энергоемкость ВРП),РО,"101,04","96,32","98,26","94,01","95,13","93,01",
"Т 7.4.1 (Инвестиции в основной капитал ""производство эл. эн"")",РФ,12 967 275,19 321 360,32 152 254,76 625 880,127 155 405,74 448 819,
"Т 7.4.1 (Инвестиции в основной капитал ""производство эл. эн"")",РО,,,266 755,6 103 872,34 376 232,19 227 585,59 566
"Т 7.5.1 (Инвестиции в основной капитал, млрд рублей)",,"31,3","32,6","13,7","13,4","45,5","31,6","9,8"
"Т 7.5.1 (ИФО, в % к предыдущему году)",,"70,2","101,1","40,9","92,1","318,5","67,1","26,9"
"Т 7.5.1 (Доля в общем объеме инвестиций по области, %)",,"10,6","10,1","5,2","4,7","13,9",8,"2,1"
