ЦУР,Субъект,2016,2017,2018,2019,2020,2021,2022,2023,2024
15.1.1 (%),РФ,"46,4","46,4","46,5","46,4","46,4","46,4","46,4",,
15.1.1 (%),ЮФО,"6,5","6,5","6,4","6,5","6,5","6,5","6,5",,
15.1.1 (%),РО,"2,4","2,4","2,4","2,4","2,4","2,4","2,4",,
15.1.2 (%),РФ,"12,4","12,4","13,9","13,9",14,"14,1","14,3",,
15.1.2 (%),ЮФО,9,9,"9,1","8,9","9,2","9,4","9,3",,
15.1.2 (%),РО,"2,3","2,3","2,3","2,3","2,3","2,3","2,3",,
15.2.1 (%),РФ,"60,5","68,9",73,"80,7","94,3","110,7309","119,24",,
15.2.1 (%),ЮФО,,,"84,3","129,7","161,5","238,097","286,4097",,
15.2.1 (%),РО,,,"37,7","102,9","256,4","578,0347","283,38",,
15.3.1 (га),РФ,"92 051,8081","98 672,87","59 397,4533",102225,"106 750,322","139 752,7132","193 691,7",,
15.3.1 (га),Республика Адыгея (Адыгея),"4,055",0,"31,7371","539,37","56,1882","55,5615","186,1312",,
15.3.1 (га),Республика Калмыкия,"310,7296","59,97","63,88","70,722","73,1139","98,2004","93,0849",,
15.3.1 (га),Республика Крым,0,"9,17",0,"5 410,864","214,074","41,0646","190,7076",,
15.3.1 (га),Краснодарский край,621,"546,67","515,4351","4 063,552","516,4932","350,1287","63 530,98",,
15.3.1 (га),Астраханская область,"68,0236","151,28","46,3709","886,6431","478,532","153,5528","138,931",,
15.3.1 (га),Волгоградская область,"368,531","1 477,07","183,61",,"642,289","1 111,8585","1 547,824",,
15.3.1 (га),Ростовская область,0,"380,26","91,31","3 194,276","138,0392","157,044","201,0237",,
15.3.1 (га),Город федерального зачения Севастополь,0,,,"10,84",0,"23,7",6,,
15.3.1 (га),РО,0,"380,26","91,31","3 194,276","138,0392","157,044","201,0237",,
"15.7.1 (тыс, руб)",РФ,"1 042 551,7",1 036 631,"1 089 623,4","1 120 888,5","1 208 470,7","1 346 438,6","1 484 324,3",,
"15.7.1 (тыс, руб)",ЮФО,"90 773,2","90 995,8","121 105,1","113 344,4","133 871,6","156 245,8","207 883,2",,
"15.7.1 (тыс, руб)",РО,"35 561,4","38 851,5",42 346,"45 377,1","53 892,4","54 587,7","58 702,7",,
15.9.1 (Ввод молодняков в категорию хозяйственно-ценных лесных насаждений),РФ,,"1111,6","1150,9","1037,7","991,2","983,4",,,
15.9.1 (Ввод молодняков в категорию хозяйственно-ценных лесных насаждений),ЮФО,,"1,1","1,4","2,7","1,7","1,6",,,
15.9.1 (Ввод молодняков в категорию хозяйственно-ценных лесных насаждений),РО,,"0,6","0,4","1,3","0,5","0,5",,,
15.9.1 (Площадь лесовосстановления),РФ,"842 674,558","968 082,646","954 561,9213","1 127 577,3539","1 182 736,2365","1 230 694,7134","1 330 984,8758",,
15.9.1 (Площадь лесовосстановления),ЮФО,"3 136,3","3 932,3","3 767,4","5 057,8","5 144,6096","5 788,7377","5 528,4029",,
15.9.1 (Площадь лесовосстановления),РО,"1 145,3",1 200,1 200,1 861,1 500,1 600,1 700,,
15.а.1 (тыс. руб.),РФ,,422 125,513 894,639 317,738 129,1 023 371,,,
15.а.1 (тыс. руб.),ЮФО,,42 919,27 676,57 290,5 929,21 444,,,
15.а.1 (тыс. руб.),РО,,0,0,0,,,,,
15.а.2 (тыс. руб.),РФ,,422 125,513 894,639 317,738 129,1 023 371,,,
15.а.2 (тыс. руб.),ЮФО,,42 919,27 676,57 290,5 929,21 444,,,
15.а.2 (тыс. руб.),РО,,0,0,0,,,,,
Т 15.2.1 ( Отношение площади лесовосстановления и лесоразведения к площади вырубленных и погибших лесных насаждений в %),РФ,"60,5","68,9",73,"80,7","94,3","110,7",,,
Т 15.2.1 ( Отношение площади лесовосстановления и лесоразведения к площади вырубленных и погибших лесных насаждений в %),ЮФО,,,"84,3","129,7","161,5","238,1",,,
Т 15.2.1 ( Отношение площади лесовосстановления и лесоразведения к площади вырубленных и погибших лесных насаждений в %),РО,,,"37,7","102,9","256,4",578,,,
Т 15.2.2 (Индекс физического объема природоохранных расходов),Рф,"76,4","115,6",105,"104,2","111,3","110,6",,,
Т 15.2.2 (Индекс физического объема природоохранных расходов),ЮФО,"100,7","103,8","99,5","110,1","94,9","112,5",,,
Т 15.2.2 (Индекс физического объема природоохранных расходов),РО,"79,8","107,4","108,9","108,5","105,5","108,7",,,
"Т 15.3 (Количество ООПТ, единиц)",,90,81,82,82,84,81,89,,
"Т 15.3 (Общая площадь ООПТ, га)",,"232,7","233,4","233,6","233,6","233,6","232,6","232,8",,
"Т 15.3 (Затраты на содержание ООПТ, млн. руб)",,"66,8","56,2","93,8",103,99,"110,1","127,7",,
"Т 15.4 (Лесовосстановление, га)",,1 145,1 200,1 200,1 861,1 500,1 600,1 700,,
"Т 15.4 (Текущие затраты на лесовосстановление, млн. руб)",,"36,9","38,6","40,2","44,1","40,3","81,2","111,8",,
"Т 15.5 (Рубки ухода за лесом – всего, га)",,743,974,1 131,754,712,642,587,,
Т 15.5 (осветвления и прочистки),,427,536,535,311,202,186,204,,
Т 15.5 (прореживания),,155,182,329,166,242,162,132,,
Т 15.5 (проходные),,161,256,267,277,268,295,251,,
