ЦУР,Субъект РФ,2016,2017,2018,2019,2020,2021,2022,2023,2024
2.1.1,РФ,1,"0,9","0,9","0,5","0,2","0,1","0,1",,
2.1.1,ЮФО,"0,6","0,3","0,3","0,2",0,0,0,,
2.1.1,РО,"0,6","0,4","0,4","0,3","0,1","0,1",0,,
2.2.3,РФ,577079,536965,531715,497039,473816,457140,414071,,
2.5.2,РФ,,,"93,7",,"93,5","93,4","94,2",,
2.5.2,ЮФО,,,"97,5",,97,"96,9","98,2",,
2.5.2,РО,,,"98,3",,"99,2","94,8","96,2",,
2.a.1,РФ,"104,8","102,9","99,8","104,3","101,3","99,6","110,21",,
2.a.1,ЮФО,"108,7","103,4",95,"107,7","95,1","108,2","110,71",,
2.a.1,РО,"115,8","107,6","91,4","105,8","97,1","108,4","110,11",,
2.b.1,РФ,172511435,"170368796,1",174288648,155426392,"150068228,4","158916191,3","167816336,6",,
2.b.1,ЮФО,12021297,"11820092,1",13508904,11581510,"12531200,73","13843743,71","15439280,5",,
2.b.1,РО,3856159,"2959757,2",4125960,2184380,"2017583,371","2625833,643","3426166,359",,
Т2.2.1,РФ,1,"0,9","0,9","0,5","0,2","0,1",,,
Т2.2.1,ЮФО,"0,6","0,3","0,3","0,2",0,0,,,
Т2.2.1,РО,"0,6","0,4","0,4","0,3","0,1","0,1",0,,
Т2.2.2,РФ,,,"93,7","93,4","93,5","93,4","94,2",,
Т2.2.2,ЮФО,,,"97,5",,97,"96,9","98,2",,
Т2.2.2,РО,,,"98,3",,"99,2","94,8","96,2",,
Т2.2.3,РФ,"104,8","102,9","99,8","104,3","101,3","99,6","110,21",,
Т2.2.3,ЮФО,"108,7","103,4",95,"107,7","95,1","108,2","110,71",,
Т2.2.3,РО,"115,8","107,6","91,4","105,8","97,1","108,4","110,11",,
Т2.3.1,РФ,74,75,75,76,76,78,,,
Т2.3.1,ЮФО,74,75,75,77,76,78,,,
Т2.3.1,РО,72,72,73,74,72,74,,,
Т2.3.2,РФ,231,230,229,234,240,241,,,
Т2.3.2,ЮФО,216,216,218,218,223,224,,,
Т2.3.2,РО,257,254,256,257,258,262,,,
Т2.3.3,РФ,277,282,284,285,283,281,,,
Т2.3.3,ЮФО,298,310,312,308,304,302,,,
Т2.3.3,РО,316,339,341,338,332,333,,,
Т2.3.4,РФ,90,90,89,89,86,84,,,
Т2.3.4,ЮФО,76,79,77,77,74,73,,,
Т2.3.4,РО,71,72,65,65,63,63,,,
Т2.3.5,РФ,102,104,107,108,107,104,,,
Т2.3.5,ЮФО,140,141,143,143,143,140,,,
Т2.3.5,РО,132,138,139,139,140,140,,,
Т2.3.6,РФ,60,59,61,62,61,63,,,
Т2.3.6,ЮФО,75,74,75,77,74,76,,,
Т2.3.6,РО,65,65,66,68,66,68,,,
Т2.4.1,РО,"436,9","474,1","404,9","450,3",463,500,,,
Т2.4.2,РО,"85,8","88,8",87,"60,5","59,3","73,5",,,
Т2.4.3,РО,"97,2","98,7","98,9","99,1","98,9","98,3",,,
Т2.4.4,РО,"141,2",135,"121,6","116,2","115,9","94,1",,,
Т2.5.1,РФ,"124,9","129,4","131,5","129,8","131,9","130,5",,,
Т2.5.1,ЮФО,"108,6","112,8","115,9","112,4",116,"114,8",,,
Т2.5.1,РО,"110,9","116,1","122,6","120,5","120,6","117,4",,,
Т2.5.2,РФ,"202,3","191,8","195,6","196,7","192,5","200,9",,,
Т2.5.2,ЮФО,"183,6","173,5","176,7","176,5","173,8","185,6",,,
Т2.5.2,РО,"188,3",182,"188,7","189,2","182,1","189,2",,,
Т2.5.3,РФ,5240,5851,5928,5812,5743,5201,,,
Т2.5.3,ЮФО,4708,5352,5257,5032,5099,4576,,,
Т2.5.3,РО,4786,5418,5479,5230,5233,4699,,,
Т2.5.4,РФ,"1406,2","1184,4","1234,8","1320,5","1290,2","949,8",,,
Т2.5.4,ЮФО,1158,"993,7",1010,"1064,5","1072,3","822,5",,,
Т2.5.4,РО,"1214,9","1109,2","1126,4","1169,7","1142,8","856,3",,,
Т2.5.5,РФ,"1143,6","1177,2",1134,"1066,3","1226,6","977,9",,,
Т2.5.5,ЮФО,"1045,2","1082,6","1018,6","956,7","1108,8","935,8",,,
Т2.5.5,РО,"1064,1",1161,"1111,8","1043,9",1148,"948,7",,,
Т2.5.6,РФ,"274,3","311,7","320,1","337,5","281,7","332,6",,,
Т2.5.6,ЮФО,"256,3","295,5","302,9","321,1",269,"327,4",,,
Т2.5.6,РО,"257,5","300,1","316,7","339,3",283,"331,4",,,
Т2.6.1,РО,"11,7","13,5","10,9","12,1","12,5","13,6","15,3",,
Т2.6.2,РО,"1,3","1,4","1,3","1,8","1,4","1,9","1,8",,
