ЦУР,1.2.2,1.5.1 Пострадавшие,1.5.2,1.а.1,Т.1.3.2,11.2.1(тыс. чел.),11.5.1 пострадавшие,11.5.2,11.5.3,13.1.1 пострадавшие,2.1.1,Т2.2.1,3.3.1,3.3.2,3.3.4,3.5.1,3.5.2,3.6.1,3.7.1 (возраст 30-34 лет),3.7.1 (возраст 35-39 лет),3.c.1,Т3.6.1,Т3.6.2,Т3.6.4,Т3.6.5,Т3.6.8,Т3.6.10,Т3.6.11,Т3.4.5,Т3.5.2,Т3.7.3,Т3.7.4,Т3.8.4,Т3.13.1,4.2.1 (III группа здоровья),Т4.5.1,Т4.6.3,Т4.7.1
1.2.2,1.0,0.3321175455904696,0.5052813564038268,0.4544596350230619,0.9999995364920107,0.9142400965709879,0.3321175455904696,0.5052813564038268,0.5052813564038268,0.3321175455904696,0.9741745921412169,0.9741745921412169,0.849216150161828,0.8975136765461287,0.914876882474686,0.8392193675971845,0.8879083490558095,0.8980487605196974,0.9357161579717234,0.9063927791116222,0.9770190081865319,0.8654440529773497,0.8963012642218322,0.7566203187491186,0.7338650709346168,0.938693635911816,0.8380585262425212,0.8713896860562803,0.9770190081865319,0.9770190081865319,0.8826402574990831,0.8825414628744971,0.879960505405171,0.8996516193369004,0.898433565407326,0.8899638323743947,0.8674434444245891,0.8935344283321248
1.5.1 Пострадавшие,0.3321175455904696,1.0,0.7237272302793389,0.868302639091908,0.3322607052951897,0.4528006056998613,1.0,0.7237272302793389,0.7237272302793389,1.0,0.26911965236818697,0.26911965236818697,0.3974842256944204,0.415525026122966,0.39106991591251583,0.20374720471820834,0.14379004352187447,0.33675657500822714,0.2603597437240242,0.11309895196950596,0.26525915119118115,0.35251326149899415,0.4161355213420619,0.49585062259438917,0.5104043148676313,0.2948722997875139,0.20328604241484965,0.2080020440851232,0.26525915119118115,0.26525915119118115,0.31647638711704934,0.2820911822065307,0.3882500501350339,0.3420162621235406,0.34474540611576954,0.4561870430418853,0.15326517961296063,0.5601130747214411
1.5.2,0.5052813564038268,0.7237272302793389,1.0,0.7918713703495757,0.5054139410756804,0.6041928142122117,0.723727230279339,1.0,1.0,0.723727230279339,0.4550931267146365,0.4550931267146365,0.6715155813055271,0.6054403494027588,0.5804749902469365,0.6457830808915028,0.2458629630175124,0.4735285641482543,0.4539686494595655,0.34000368773888934,0.47381697770575104,0.6493574493256355,0.6051578738641623,0.5066845569478197,0.5689467369157086,0.4706001504807089,0.6446911524710731,0.3171799499817517,0.47381697770575104,0.47381697770575104,0.3910063751401545,0.354489023791795,0.6317529562978702,0.47933538241571844,0.5381766514308602,0.47280322249526235,0.3538815870725082,0.662956670030859
1.а.1,0.4544596350230619,0.868302639091908,0.7918713703495757,1.0,0.4549692741316731,0.5548693725107527,0.8683026390919079,0.7918713703495757,0.7918713703495757,0.8683026390919079,0.4501934481197688,0.4501934481197688,0.6081826301644192,0.6058258736815594,0.5540117107299023,0.4045309025066624,0.330713404492174,0.4987808846944788,0.46010778299616883,0.30902537837177546,0.4767560347904912,0.583872195052586,0.6058349785293745,0.6106567560219527,0.6319748505456476,0.5006145477959587,0.3962337846248713,0.29795901532711816,0.4767560347904912,0.4767560347904912,0.47485514703994963,0.44574188023357836,0.5438191871400239,0.5034241398336462,0.5169696108766394,0.5889475332501467,0.3394511309047017,0.6811096854006791
Т.1.3.2,0.9999995364920107,0.3322607052951897,0.5054139410756804,0.4549692741316731,1.0,0.9143818489224983,0.33226070529518964,0.5054139410756805,0.5054139410756805,0.33226070529518964,0.9743233259660833,0.9743233259660833,0.8494860514997705,0.8978213862132646,0.9151111772157174,0.8393528435809439,0.8881402425562178,0.8982869716897209,0.9359526877938409,0.9065526625161139,0.9771881562893877,0.8657223643258046,0.8966096729364127,0.7569875717258381,0.7342526960332845,0.938951626727935,0.838177547387034,0.8714774335984293,0.9771881562893877,0.9771881562893877,0.8829123699216646,0.8828067450232486,0.8801569599722174,0.8998883603334435,0.8986647396805365,0.8902385301194872,0.8676427029462355,0.893777493760951
11.2.1(тыс. чел.),0.9142400965709879,0.4528006056998613,0.6041928142122117,0.5548693725107527,0.9143818489224983,1.0,0.45280060569986136,0.6041928142122117,0.6041928142122117,0.45280060569986136,0.9287830932499483,0.9287830932499483,0.9168332851858865,0.9640795427629806,0.9769911859470097,0.8894355283121036,0.8713788928640467,0.917409282422802,0.9562586494874902,0.9146948928852592,0.8985332565817936,0.9191450537590458,0.9640649015450535,0.881041610139038,0.9105248020181838,0.9347056032842487,0.8902270726686076,0.924823593718779,0.8985332565817936,0.8985332565817936,0.9241814353441229,0.9052400181387426,0.9113049012586864,0.9182030976319808,0.9151885910292427,0.9218978972157148,0.8448043703721291,0.9518279479187302
11.5.1 пострадавшие,0.3321175455904696,1.0,0.723727230279339,0.8683026390919079,0.33226070529518964,0.45280060569986136,1.0,0.7237272302793389,0.7237272302793389,1.0,0.26911965236818697,0.26911965236818697,0.3974842256944204,0.415525026122966,0.39106991591251583,0.20374720471820834,0.14379004352187447,0.33675657500822714,0.2603597437240242,0.11309895196950596,0.26525915119118115,0.35251326149899415,0.4161355213420619,0.49585062259438917,0.5104043148676313,0.2948722997875139,0.20328604241484965,0.2080020440851232,0.26525915119118115,0.26525915119118115,0.31647638711704934,0.2820911822065307,0.3882500501350339,0.3420162621235406,0.34474540611576954,0.4561870430418853,0.15326517961296063,0.5601130747214411
11.5.2,0.5052813564038268,0.7237272302793389,1.0,0.7918713703495757,0.5054139410756805,0.6041928142122117,0.7237272302793389,1.0,1.0,0.723727230279339,0.4550931267146365,0.4550931267146365,0.6715155813055271,0.6054403494027588,0.5804749902469365,0.6457830808915028,0.2458629630175124,0.4735285641482543,0.4539686494595655,0.34000368773888934,0.47381697770575104,0.6493574493256355,0.6051578738641623,0.5066845569478197,0.5689467369157086,0.4706001504807089,0.6446911524710731,0.3171799499817517,0.47381697770575104,0.47381697770575104,0.3910063751401545,0.354489023791795,0.6317529562978702,0.47933538241571844,0.5381766514308602,0.47280322249526235,0.3538815870725082,0.662956670030859
11.5.3,0.5052813564038268,0.7237272302793389,1.0,0.7918713703495757,0.5054139410756805,0.6041928142122117,0.7237272302793389,1.0,1.0,0.723727230279339,0.4550931267146365,0.4550931267146365,0.6715155813055271,0.6054403494027588,0.5804749902469365,0.6457830808915028,0.2458629630175124,0.4735285641482543,0.4539686494595655,0.34000368773888934,0.47381697770575104,0.6493574493256355,0.6051578738641623,0.5066845569478197,0.5689467369157086,0.4706001504807089,0.6446911524710731,0.3171799499817517,0.47381697770575104,0.47381697770575104,0.3910063751401545,0.354489023791795,0.6317529562978702,0.47933538241571844,0.5381766514308602,0.47280322249526235,0.3538815870725082,0.662956670030859
13.1.1 пострадавшие,0.3321175455904696,1.0,0.723727230279339,0.8683026390919079,0.33226070529518964,0.45280060569986136,1.0,0.723727230279339,0.723727230279339,1.0,0.26911965236818697,0.26911965236818697,0.3974842256944204,0.415525026122966,0.39106991591251583,0.20374720471820834,0.14379004352187447,0.33675657500822714,0.2603597437240242,0.11309895196950596,0.26525915119118115,0.35251326149899415,0.4161355213420619,0.49585062259438917,0.5104043148676313,0.2948722997875139,0.20328604241484965,0.2080020440851232,0.26525915119118115,0.26525915119118115,0.31647638711704934,0.2820911822065307,0.3882500501350339,0.3420162621235406,0.34474540611576954,0.4561870430418853,0.15326517961296063,0.5601130747214411
