ЦУР,1.3.1,1.4.1,1.4.2,1.b.1,Т.1.4.1,Т.1.4.2,Т.1.5 Все население,Т.1.5 Трудоспособное население,Т.1.5 Пенсионеры,Т.1.5 Дети,11.2.1 (%),11.7.1 (%),11.7.1 (шт),11.а.1,11.с.1,3.1.1,3.2.2,3.4.1b,Т3.2.2,Т3.3.1,Т3.5.1,Т3.7.1,Т3.7.2,Т3.8.2,Т3.9.2,Т3.10.1,Т3.10.2,4.2.1 (I группа здоровья)
1.3.1,1.0,0.9735541379036411,0.9071897530909755,0.9547451178313642,0.9931356159321809,0.9570377993891307,0.9734183964948421,0.9711000975721621,0.9853277774286284,0.9745029200585343,0.9468212642378382,0.9331589769175453,0.95523968970775,0.9735541379036411,0.9781801667528441,0.5935309994664658,0.44616946731968304,0.8794596523232331,0.8648482164790045,0.8443294082424979,0.8443294082424979,0.6198570267734126,0.8671259103187949,0.9206168791209263,0.9149544670815937,0.8699066166489705,0.9305818476751141,0.5339783109153683
1.4.1,0.9735541379036411,1.0,0.9456741344481546,0.9415778411944622,0.9852534688837107,0.8897227241858351,0.9694775280356852,0.965122179243595,0.9644914045908932,0.9709196732401143,0.9600330136460961,0.9108326014731674,0.9188900307633642,1.0,0.9313775718443612,0.5204671701778624,0.41216321571193326,0.8251500656627536,0.9289102254047178,0.821256654128485,0.821256654128485,0.6487115472100334,0.810893502678961,0.865827483677749,0.8582107382344569,0.7782472488277777,0.847643076825074,0.5380396877372422
1.4.2,0.9071897530909755,0.9456741344481546,1.0,0.874606159937191,0.9047726775150746,0.8480412800594428,0.8892272590599171,0.8921739681374595,0.878599234409982,0.8749384268149228,0.854669673721506,0.8901458186462833,0.776981002834894,0.9456741344481546,0.8073977325336589,0.4373169458031441,0.2922266293491686,0.6322905944113385,0.8586370115660696,0.6268296294100265,0.6268296294100265,0.588031615143469,0.6176119078255451,0.6917746275052116,0.7479083588651974,0.5996218738583521,0.7766895167231904,0.3690300918052627
1.b.1,0.9547451178313642,0.9415778411944622,0.874606159937191,1.0,0.9681230766492427,0.9015727188992255,0.9768074773247414,0.9788210974216006,0.980352452073264,0.9733645823753901,0.8799973537085843,0.98121405546714,0.9527612117298931,0.9415778411944624,0.9435417667417637,0.4383027444170072,0.26365007776830685,0.8287602792452974,0.7971391326854974,0.8588078857513409,0.8588078857513409,0.4880622837142397,0.8513802260675517,0.8844391751815199,0.7847018902435161,0.8409144437239243,0.8251849310719788,0.5015986106879815
Т.1.4.1,0.9931356159321809,0.9852534688837107,0.9047726775150746,0.9681230766492427,1.0,0.929241733811865,0.9826378422080139,0.9786886993073225,0.9887769071097822,0.9869855908287607,0.9635185992842892,0.9329525633870008,0.9677701514229168,0.9852534688837107,0.9767037770469846,0.5575351923474181,0.4210427499609738,0.8887457436898534,0.8947921142535278,0.8792407182833089,0.8792407182833089,0.6218273454177202,0.8825565245042097,0.9275147949811279,0.8843650736235242,0.8657240232992058,0.8936847758397661,0.5350622429190613
Т.1.4.2,0.9570377993891307,0.8897227241858351,0.8480412800594428,0.9015727188992255,0.929241733811865,1.0,0.8847687499796253,0.8853014101603318,0.9186377791345308,0.8829678963780265,0.8563234574697611,0.8883141665351967,0.8906879296953841,0.8897227241858351,0.9449591742813213,0.6739548368836874,0.46347917009084405,0.8389812995070423,0.7667869205879668,0.7584773234147213,0.7584773234147213,0.4865716563369202,0.8013231948154405,0.8764859972393577,0.8986699515776971,0.848751526376575,0.9774745127638474,0.47319677072496763
Т.1.5 Все население,0.9734183964948421,0.9694775280356852,0.8892272590599171,0.9768074773247414,0.9826378422080139,0.8847687499796253,1.0,0.9994268357863693,0.995823445368731,0.9979424278171072,0.9203926514659121,0.9611528610818564,0.960832957737673,0.9694775280356852,0.9537744975109398,0.4613927674740035,0.3499367136020124,0.8498971329642364,0.8337935641406806,0.8624135418065504,0.8624135418065504,0.6051696003674174,0.8694236759947825,0.9010569659849613,0.855458454294354,0.8506349667928752,0.8372780660414364,0.5909846268736475
Т.1.5 Трудоспособное население,0.9711000975721621,0.965122179243595,0.8921739681374595,0.9788210974216006,0.9786886993073225,0.8853014101603318,0.9994268357863693,1.0,0.9950203367638444,0.995362394898047,0.9086200736978839,0.9689812988190193,0.9551234036040496,0.9651221792435952,0.948337910980242,0.44944882048966667,0.33231630380147315,0.8366561604649498,0.8195313892528785,0.8502437900273565,0.8502437900273565,0.5930671548653127,0.8590266057826574,0.8911401332201316,0.8479285140465452,0.8435643944165174,0.8335552640138391,0.5838610665399968
Т.1.5 Пенсионеры,0.9853277774286284,0.9644914045908932,0.878599234409982,0.980352452073264,0.9887769071097822,0.9186377791345308,0.995823445368731,0.9950203367638444,1.0,0.9953171109215774,0.9241637300671577,0.9612018378891454,0.97364485130371,0.9644914045908934,0.9745561727198286,0.5093999255043609,0.3778958788961166,0.876775440240123,0.8276123448074589,0.8737936140663498,0.8737936140663498,0.5897489505753667,0.8888194656320245,0.9247498378059014,0.8790274148712266,0.8821191246844591,0.8775867452939092,0.5826780724435187
Т.1.5 Дети,0.9745029200585343,0.9709196732401143,0.8749384268149228,0.9733645823753901,0.9869855908287607,0.8829678963780265,0.9979424278171072,0.995362394898047,0.9953171109215774,1.0,0.9380058510552882,0.9461481599295523,0.9731690329411559,0.9709196732401143,0.9639991410861708,0.48207594519106445,0.3768861501229713,0.8774066695815392,0.8526768531108191,0.8897950052791954,0.8897950052791954,0.6191860313637078,0.8936237114884047,0.9220936441865063,0.8638349689254642,0.8697327535795818,0.8427740680827807,0.5967002513792745
