ЦУР,1.а.2 Образование,Т.1.3.1,3.3.3,3.7.1 (возраст 25-29 лет),Т3.2.1,Т3.2.3,Т3.2.4,Т3.6.3,Т3.6.6,Т3.6.7,Т3.6.9,4.4.1.a,Т4.9.1
1.а.2 Образование,1.0,0.46601701617571023,0.7725776772065356,0.6970342669036912,0.8375946121479502,0.7362847072837281,0.9035679371557407,0.7725776772065356,0.9779413025839999,0.7309175985955789,0.7883508895836846,0.9183696200311638,0.9183696200311638
Т.1.3.1,0.46601701617571023,1.0,0.7394415731069208,0.28369614415616934,0.48147082076627146,0.34828243285368565,0.3045451231622982,0.7394415731069208,0.49741667017085345,0.24948638229593487,0.5043038358155857,0.5705004758700034,0.5705004758700034
3.3.3,0.7725776772065356,0.7394415731069208,1.0,0.554182385433505,0.6093745087011591,0.5524686194213224,0.5136696591179947,1.0,0.7645870325785196,0.5065583557702269,0.5679651798063413,0.9151974004964982,0.9151974004964982
3.7.1 (возраст 25-29 лет),0.6970342669036912,0.28369614415616934,0.554182385433505,1.0,0.7708186077838864,0.6942969335628656,0.7645652542123167,0.5541823854335052,0.7907006198677996,0.9607960709946604,0.8770239607740158,0.601666464743194,0.601666464743194
Т3.2.1,0.8375946121479502,0.48147082076627146,0.6093745087011591,0.7708186077838864,1.0,0.935382513197953,0.8941725172355544,0.6093745087011591,0.8637473231336082,0.787045758196638,0.9200016536006068,0.6941324894395958,0.6941324894395958
Т3.2.3,0.7362847072837281,0.34828243285368565,0.5524686194213224,0.6942969335628656,0.935382513197953,1.0,0.8268699067532269,0.5524686194213224,0.7173483633825029,0.7224235234189339,0.7647111013034912,0.6442015400267729,0.6442015400267729
Т3.2.4,0.9035679371557407,0.3045451231622982,0.5136696591179947,0.7645652542123167,0.8941725172355544,0.8268699067532269,1.0,0.5136696591179947,0.8938135702955929,0.8521114315135756,0.8602118982039857,0.7195300481599372,0.7195300481599372
Т3.6.3,0.7725776772065356,0.7394415731069208,1.0,0.5541823854335052,0.6093745087011591,0.5524686194213224,0.5136696591179947,1.0,0.7645870325785196,0.5065583557702269,0.5679651798063413,0.9151974004964982,0.9151974004964982
Т3.6.6,0.9779413025839999,0.49741667017085345,0.7645870325785196,0.7907006198677996,0.8637473231336082,0.7173483633825029,0.8938135702955929,0.7645870325785196,1.0,0.7958892168001223,0.8734250054064765,0.8784818032730587,0.8784818032730587
Т3.6.7,0.7309175985955789,0.24948638229593487,0.5065583557702269,0.9607960709946604,0.787045758196638,0.7224235234189339,0.8521114315135756,0.5065583557702269,0.7958892168001223,1.0,0.8717717449003062,0.6153009625886768,0.6153009625886768
Т3.6.9,0.7883508895836846,0.5043038358155857,0.5679651798063413,0.8770239607740158,0.9200016536006068,0.7647111013034912,0.8602118982039857,0.5679651798063413,0.8734250054064765,0.8717717449003062,1.0,0.605569954887986,0.605569954887986
4.4.1.a,0.9183696200311638,0.5705004758700034,0.9151974004964982,0.601666464743194,0.6941324894395958,0.6442015400267729,0.7195300481599372,0.9151974004964982,0.8784818032730587,0.6153009625886768,0.605569954887986,1.0,1.0
Т4.9.1,0.9183696200311638,0.5705004758700034,0.9151974004964982,0.601666464743194,0.6941324894395958,0.6442015400267729,0.7195300481599372,0.9151974004964982,0.8784818032730587,0.6153009625886768,0.605569954887986,1.0,1.0
