ЦУР,1.2.2,1.5.1 Пострадавшие,1.5.2,1.а.1,1.а.2 Образование,1.а.2 Здравоохранение,Т.1.2,Т.1.2.1 образование,Т.1.2.1 образование,Т.1.2.2 здравоохранение,Т.1.2.3 социальная политика,Т.1.3.2,10.1.1 (в расчете на одно домохозяйство)                                                 ,10.1.2 (в расчете на одного члена домашнего хозяйства),10.2.1 (децильный коэффициент),10.2.2 ( коэффициент фондов),10.2.3 (Индекс концентрации доходов (коэффициент Джини)),10.2.5 (Доля оплаты труда наемных работников ВРП),"10.3.2 (Численность граждан, которым меры социальной поддержки предоставляются в форме денежных компенсаций)",11.3.1,11.5.1 пострадавшие,11.5.2,11.5.3,Т 11.2.5 (Соотношение темпа ввода в действие жилых домов к темпу роста населения),12.3.1 (млн. куб. м),Т 12.2.1 (кол-во музеев),Т 12.2.1 (визит-центров),Т 12.2.1 (экотроп и маршрутов),Т 12.2.6 (Виды экотроп и маршрутов  в государственных природных заповедниках -  пешие),13.1.1 пострадавшие,Т 14.3 (тонн),15.1.1 (%),15.1.2 (%),15.3.1 (га),15.9.1 (Ввод молодняков в категорию хозяйственно-ценных лесных насаждений),2.5.2,Т2.2.2,Т2.4.4,Т2.5.3,Т2.5.4,Т2.5.5,3.3.1,3.4.1a,3.5.1,3.7.1 (возраст 25-29 лет),3.c.1,Т3.2.1,Т3.2.3,Т3.2.4,Т3.4.5,Т3.5.2,Т3.6.1,Т3.6.6,Т3.6.7,Т3.6.9,Т3.6.10,Т3.8.1,Т3.10.5 (в возрасте 10-14 лет),Т3.12.2,Т3.12.3,4.2.1 (II группа здоровья),4.2.1 (IV группа здоровья),4.4.1.a,4.4.1.b,Т4.2.4,Т4.3.3,Т4.5.3,Т4.9.1,Т4.9.2,8.2.1,8.8.2,"Т 9.2.1 (Перевезено грузов транспортом общего пользования1 – всего, млн тонн)",Т 9.3.8,Т 9.3.9,Т 9.3.17,Т 9.5.2 (Доля валовой добавленной стоимости отрасли «Обрабатывающее производство» в ВРП),9.а.1 (Обязательства в млн дол США),9.b.1 (Доля продукции высокотехнологичных и наукоемких отраслей в валовом внутреннем продукте (%)),"Т 9.9 (Внутренние затраты на исследования и разработки, 
в % к ВРП)"
1.2.2,1.0,0.07238635799501393,0.7321546394915502,0.2268707444515496,0.7414954683419247,0.5827378409429684,0.2268707444515496,0.42916693399845823,0.7414954683419247,0.5827378409429684,0.9119705257634055,0.9999993442220299,0.2321568518219451,0.3854812436130955,0.49349364908806165,0.4908574354254972,0.5170129160557619,0.934780111105309,0.9783942382234926,0.15395772070198802,0.07238635799501393,0.7321546394915502,0.7321546394915502,0.15395772070198802,0.925275422210889,,,,,0.07238635799501393,0.8824291370633791,,0.48304589153964766,0.3334172818478409,0.3980572508367059,0.47536969898985165,0.47536969898985165,0.9614385958214409,0.3736625945966017,0.9478676320277734,0.5095393755188734,0.8323307653881762,0.25969682794066135,0.8204399935619522,0.5566710517257321,0.9674861523231674,0.1798501749823178,0.2463224980313258,0.742848436491686,0.9674861523231674,0.9674861523231674,0.8516332047830248,0.7408310086327775,0.380156075500845,0.33355518072907486,0.819059219339297,0.25969682794066135,0.4204602083274787,0.913335054836914,0.7257796037246237,0.6816117147061931,0.5859130285528291,0.6001000583792058,0.5121045055570804,0.9513188286168776,0.9264101997717876,0.3732127392882508,0.7910818514111904,0.7728174619883701,0.6738448566537657,1.0,0.7978904099356418,0.08751544980933626,0.38981658546931663,0.6480602016513313,0.8399113360428553,0.18380458317372342,0.7558626197095186,0.9395953598052226
1.5.1 Пострадавшие,0.07238635799501393,1.0,0.4704340761216384,0.8515791646908805,0.20218320796591768,0.5417786484469204,0.8515791646908805,0.4318694535059887,0.20218320796591768,0.5417786484469204,0.2619088604231674,0.072567129299898,0.4770514203428489,0.41736585295377115,0.18604805389626813,0.24661443602577668,0.23573786340583386,0.04853984918436417,0.016901776569860645,0.13251909397030995,1.0,0.4704340761216384,0.4704340761216384,0.13251909397030995,0.09870265038612844,,,,,1.0,0.0019302682103479404,,0.0,0.2747592314116492,0.2275096600432126,0.019104645240558722,0.019104645240558722,0.1312389613595769,0.1835023272392223,0.08589002791931206,0.36299088348258857,0.16172728137506018,0.488213472318298,0.04394298810285092,0.5869253745000476,0.012037392540438079,0.19578810575243638,0.04131188904193488,0.05508937480035818,0.012037392540438079,0.012037392540438079,0.11398632676478734,0.318548570337922,0.5979825326250866,0.290650056505593,0.044432555738024224,0.488213472318298,0.5514941508670609,0.16973363546640266,0.05363348690273103,0.07031385909961071,0.07073925661388185,0.28880698074908184,0.4881373196429686,0.06689791923085321,0.045848271628011125,0.06030610535983556,0.2582816785583143,0.3924241027374932,0.18201481893361554,0.07238635799501393,0.1240274452197646,0.3569859302784559,0.004138436770267191,0.2402468606912361,0.10920595094000525,0.6522181653787149,0.3798987313048229,0.046545585091669374
1.5.2,0.7321546394915502,0.4704340761216384,1.0,0.5228966634533572,0.7590762408092695,0.12600284322060448,0.5228966634533572,0.32636210174013347,0.7590762408092695,0.12600284322060448,0.9004302538869824,0.7322690077235754,0.0036072998761551116,0.13617368644171185,0.5086783422621342,0.44585179347081927,0.4491231016275351,0.7667657564918077,0.7583062230926405,0.19124912616373227,0.47043407612163846,1.0,1.0,0.19124912616373227,0.8622088168994883,,,,,0.47043407612163846,0.8080910108739863,,0.483045891539648,0.12340843488661615,0.10516640441720124,0.20703769415978357,0.20703769415978357,0.7646542824527205,0.4871047595949218,0.646102395237182,0.46211406100939556,0.8425436951286994,0.3353929031933954,0.8238822926950763,0.07541118985807523,0.7050133017097319,0.3447249353174959,0.4614037695208051,0.7208712416106436,0.7050133017097319,0.7050133017097319,0.8264744515106666,0.6611824916476947,0.07390304989926938,0.2134226387238808,0.8230904180091928,0.3353929031933954,0.23556057981683276,0.8763337211481759,0.6583322357903296,0.6929793211919131,0.7937858699520729,0.6504187761855942,0.07344068872070098,0.7961669250675246,0.7195597926631112,0.21682570644690877,0.7029458738825849,0.3068646334643563,0.7189789758543919,0.7321546394915501,0.8931429409592176,0.2077600812676107,0.0611528544600043,0.629485131960427,0.8900382450880588,0.6590417894175624,0.9676553011920004,0.6174589222373837
1.а.1,0.2268707444515496,0.8515791646908805,0.5228966634533572,1.0,0.014780705058312702,0.5189226162308774,1.0,0.2869025794816305,0.014780705058312702,0.5189226162308774,0.34071051071701686,0.2275142783765724,0.46800774283998026,0.5254004113414604,0.19673429735797834,0.2675696526169362,0.2582105882008144,0.21009284639923972,0.14386710263349242,0.2097005887949188,0.8515791646908804,0.5228966634533572,0.5228966634533572,0.2097005887949188,0.32977825557522017,,,,,0.8515791646908804,0.24570619622310047,,2.2079425200240586e-17,0.20796675878279144,0.1370660805876297,0.36418617882118354,0.36418617882118354,0.37454214669805236,0.3698836658891211,0.16943669250621246,0.5905036318310487,0.3854036722246509,0.4979585031634313,0.16920799885277707,0.41824033359332513,0.2550249606680283,0.0731835994876177,0.22530127973266667,0.24486370794709117,0.2550249606680283,0.2550249606680283,0.3595958337672302,0.13189540966465843,0.32127385658870733,0.16887873818816482,0.16039981928007926,0.4979585031634313,0.6817754290943532,0.38407544868815724,0.14385490043235444,0.004746829919446205,0.08130919281334008,0.019184203105440736,0.21590492739079742,0.31439429413973186,0.018339190569712102,0.06061202203850393,0.03022818746408928,0.18469484488682864,0.11318151044439251,0.2268707444515496,0.2938348697509922,0.39129284343982323,0.20377390518367428,0.09492172047856272,0.3129835709457804,0.6646598978369237,0.47183150116540507,0.19424281031710258
1.а.2 Образование,0.7414954683419247,0.20218320796591768,0.7590762408092695,0.014780705058312702,1.0,0.4517877063854804,0.014780705058312749,0.7268796439235408,1.0,0.4517877063854804,0.800179825173531,0.7415536489307005,0.36066156607311034,0.13870520995464075,0.7272784252711485,0.6987544344144909,0.6933943678389056,0.898983322080153,0.8129806423406387,0.31732649169088323,0.20218320796591763,0.7590762408092694,0.7590762408092694,0.31732649169088323,0.8978853935899913,,,,,0.20218320796591763,0.8965421156253051,,0.4830458915396486,0.35507919722785725,0.2948351724100379,0.33798869929184217,0.33798869929184217,0.7436802587719242,0.5099247248912178,0.7760084091349938,0.32990689853896293,0.8348448709447632,0.08306651141217852,0.9498700976003953,0.47453116935246137,0.788054460512002,0.5751138788982686,0.5400366520260996,0.8649951120180369,0.788054460512002,0.788054460512002,0.852314443375621,0.9691178236175996,0.3691758296421049,0.4800497612847965,0.9478324866339002,0.08306651141217852,0.12833401510959966,0.859473310210872,0.6843537294215809,0.7949061191868253,0.807038967317005,0.931626913760187,0.39248487268089166,0.8369731975392125,0.8162681160147655,0.36031046038100484,0.9679361950928124,0.5748435679349377,0.9172586356775678,0.7414954683419247,0.8963189977085645,0.5034728426362833,0.09455935089951797,0.8616894049392402,0.9101688845458892,0.3303455013618024,0.783672691306821,0.7112298327994058
1.а.2 Здравоохранение,0.5827378409429684,0.5417786484469204,0.12600284322060448,0.5189226162308774,0.4517877063854804,1.0,0.5189226162308775,0.234052174291029,0.4517877063854804,1.0,0.40525498957561024,0.5823744424274967,0.01979681679506674,0.09987459219103813,0.22073038813243664,0.25486604403803476,0.2763340649305857,0.472961944832007,0.6166077340707129,0.10096555990404003,0.5417786484469204,0.12600284322060457,0.12600284322060457,0.10096555990404003,0.40485761263614883,,,,,0.5417786484469204,0.491761538347113,,0.38388594797495745,0.04687466112517533,0.08157548635128037,0.05834431756384755,0.05834431756384755,0.5016718128563754,0.17979111401540596,0.5932589891064858,0.03242791725488238,0.1918986102976059,0.41685834356153934,0.4234744567779349,0.6341243835594012,0.5554519433755095,0.18514229600407298,0.0008818965354963546,0.2591024840232384,0.5554519433755095,0.5554519433755095,0.2400693895004715,0.49312651816332514,0.4019608628506602,0.008452597660869442,0.4276512077259277,0.41685834356153934,0.05046612140374348,0.3172029459972158,0.19065976677735702,0.3400449829595185,0.19718979969985306,0.4915162530096446,0.6611460472340356,0.5170856111258327,0.5657785337176482,0.06162104339206142,0.6134709139912619,0.7944374541089632,0.4023235398251402,0.5827378409429684,0.4353923109892273,0.023786307678535654,0.3514181689991406,0.3670524653428102,0.37935137556524606,0.5221139673567176,0.2770818691134364,0.5208009034090959
Т.1.2,0.2268707444515496,0.8515791646908805,0.5228966634533572,1.0,0.014780705058312749,0.5189226162308775,1.0,0.2869025794816305,0.014780705058312702,0.5189226162308774,0.34071051071701686,0.2275142783765724,0.46800774283998026,0.5254004113414604,0.19673429735797834,0.2675696526169362,0.2582105882008144,0.21009284639923972,0.14386710263349242,0.2097005887949188,0.8515791646908804,0.5228966634533572,0.5228966634533572,0.2097005887949188,0.32977825557522017,,,,,0.8515791646908804,0.24570619622310047,,2.2079425200240586e-17,0.20796675878279144,0.1370660805876297,0.36418617882118354,0.36418617882118354,0.37454214669805236,0.3698836658891211,0.16943669250621246,0.5905036318310487,0.3854036722246509,0.4979585031634313,0.16920799885277707,0.41824033359332513,0.2550249606680283,0.0731835994876177,0.22530127973266667,0.24486370794709117,0.2550249606680283,0.2550249606680283,0.3595958337672302,0.13189540966465843,0.32127385658870733,0.16887873818816482,0.16039981928007926,0.4979585031634313,0.6817754290943532,0.38407544868815724,0.14385490043235444,0.004746829919446205,0.08130919281334008,0.019184203105440736,0.21590492739079742,0.31439429413973186,0.018339190569712102,0.06061202203850393,0.03022818746408928,0.18469484488682864,0.11318151044439251,0.2268707444515496,0.2938348697509922,0.39129284343982323,0.20377390518367428,0.09492172047856272,0.3129835709457804,0.6646598978369237,0.47183150116540507,0.19424281031710258
Т.1.2.1 образование,0.42916693399845823,0.4318694535059887,0.32636210174013347,0.2869025794816305,0.7268796439235408,0.234052174291029,0.2869025794816305,1.0,0.7268796439235409,0.23405217429102895,0.49348035575602567,0.42887416893779146,0.3794753950688233,0.19907155994289363,0.8159406483460938,0.8606422804033147,0.8515215117968895,0.6315689265929595,0.5267703395503609,0.7121134860982833,0.4318694535059886,0.32636210174013347,0.32636210174013347,0.7121134860982833,0.5636954374483644,,,,,0.4318694535059886,0.42906058551735404,,0.2220265178934442,0.702480189465508,0.5880113860560182,0.456980059627075,0.456980059627075,0.3121803599163697,0.6611398655670487,0.531635525123323,0.291381601146264,0.5565634500086606,0.39577181403513634,0.5490375360615934,0.492274577965709,0.44869459797818906,0.5217850168773993,0.1568099111776458,0.6621439209223317,0.44869459797818906,0.44869459797818906,0.5630936758293882,0.7976190753041222,0.5953240006196193,0.722328526037315,0.5468299301139918,0.39577181403513634,0.3825806236980286,0.5043815619030603,0.6102435272109265,0.4749182823586165,0.48694583661604757,0.5712652683790804,0.15676576485162155,0.468496664936928,0.679950531908031,0.7229212915003211,0.6645684100568316,0.32328662492885485,0.6950563387553168,0.4291669339984584,0.4285793896116413,0.7864616413348581,0.10083690513413818,0.6196053872741655,0.4428906007871522,0.23759127815289896,0.2753872379631177,0.47946872659667655
Т.1.2.1 образование,0.7414954683419247,0.20218320796591768,0.7590762408092695,0.014780705058312702,1.0,0.4517877063854804,0.014780705058312702,0.7268796439235409,1.0,0.4517877063854804,0.800179825173531,0.7415536489307005,0.36066156607311034,0.13870520995464075,0.7272784252711485,0.6987544344144909,0.6933943678389056,0.898983322080153,0.8129806423406387,0.31732649169088323,0.20218320796591763,0.7590762408092694,0.7590762408092694,0.31732649169088323,0.8978853935899913,,,,,0.20218320796591763,0.8965421156253051,,0.4830458915396486,0.35507919722785725,0.2948351724100379,0.33798869929184217,0.33798869929184217,0.7436802587719242,0.5099247248912178,0.7760084091349938,0.32990689853896293,0.8348448709447632,0.08306651141217852,0.9498700976003953,0.47453116935246137,0.788054460512002,0.5751138788982686,0.5400366520260996,0.8649951120180369,0.788054460512002,0.788054460512002,0.852314443375621,0.9691178236175996,0.3691758296421049,0.4800497612847965,0.9478324866339002,0.08306651141217852,0.12833401510959966,0.859473310210872,0.6843537294215809,0.7949061191868253,0.807038967317005,0.931626913760187,0.39248487268089166,0.8369731975392125,0.8162681160147655,0.36031046038100484,0.9679361950928124,0.5748435679349377,0.9172586356775678,0.7414954683419247,0.8963189977085645,0.5034728426362833,0.09455935089951797,0.8616894049392402,0.9101688845458892,0.3303455013618024,0.783672691306821,0.7112298327994058
Т.1.2.2 здравоохранение,0.5827378409429684,0.5417786484469204,0.12600284322060448,0.5189226162308774,0.4517877063854804,1.0,0.5189226162308774,0.23405217429102895,0.4517877063854804,1.0,0.40525498957561024,0.5823744424274967,0.01979681679506674,0.09987459219103813,0.22073038813243664,0.25486604403803476,0.2763340649305857,0.472961944832007,0.6166077340707129,0.10096555990404003,0.5417786484469204,0.12600284322060457,0.12600284322060457,0.10096555990404003,0.40485761263614883,,,,,0.5417786484469204,0.491761538347113,,0.38388594797495745,0.04687466112517533,0.08157548635128037,0.05834431756384755,0.05834431756384755,0.5016718128563754,0.17979111401540596,0.5932589891064858,0.03242791725488238,0.1918986102976059,0.41685834356153934,0.4234744567779349,0.6341243835594012,0.5554519433755095,0.18514229600407298,0.0008818965354963546,0.2591024840232384,0.5554519433755095,0.5554519433755095,0.2400693895004715,0.49312651816332514,0.4019608628506602,0.008452597660869442,0.4276512077259277,0.41685834356153934,0.05046612140374348,0.3172029459972158,0.19065976677735702,0.3400449829595185,0.19718979969985306,0.4915162530096446,0.6611460472340356,0.5170856111258327,0.5657785337176482,0.06162104339206142,0.6134709139912619,0.7944374541089632,0.4023235398251402,0.5827378409429684,0.4353923109892273,0.023786307678535654,0.3514181689991406,0.3670524653428102,0.37935137556524606,0.5221139673567176,0.2770818691134364,0.5208009034090959
