ЦУР,1.3.1,1.4.1,1.4.2,1.b.1,Т.1.5 Все население,Т.1.5 Трудоспособное население,Т.1.5 Пенсионеры,Т.1.5 Дети,Т.1.4.1,Т.1.4.2,10.5.1 (руб),11.2.1 (%),11.7.1 (%),11.7.1 (шт),11.а.1,11.с.1,Т 11.2.2 (Доля городов с благоприятной средой от общего количества городов),"Т 11.2.3 (Количество граждан, расселенных из непригодного для проживания жилищного фонда)",Т 11.2.4 (Доля эксплуатационных автобусов),Т 11.2.6 (Ассигновано средств на проведение работ по сохранению объектов культурного наследия),Т 11.2.7 (Фактически освоено средств),Т 11.2.8 (Доля уловленных и обезвреженных загрязняющих атмосферу веществ),Т 11.5 (Доля площади зеленых насаждений в пределах городской черты ),Т 11.6 (Доля протяженности освещенных частей городских улиц),12.2.2 (млн кВт/час),Т 12.2.10 (Количество посетителей объектов),Т 14.2 (тонн),Т 14.4 (тонн),15.2.1 (%),"15.7.1 (тыс, руб)",15.9.1 (Площадь лесовосстановления),Т 15.2.1 ( Отношение площади лесовосстановления и лесоразведения к площади вырубленных и погибших лесных насаждений в %),16.7.1 (чел),"Т 16.7 (возрасте 15-72 лет,  использующего сеть Интернет для получения государственных )","Т 16.7 (возрасте 15-72 лет, использовавших механизм получения государственных и муниципальных услуг в электронной форме)",17.8.1 (%),17.13.1 (руб),"17.16.1 (Количество граждан, принимающих участие в добровольческой деятельности)","Т 17.2 (Доля населения, пользующегося информационно-телекоммуникационной сетью «Интернет»)",Т 17.3 (в возрасте 15-74) использовавшего сеть Интернет в %,"Т 17.4 (ВРП на душу населения, руб)",Т 17.4 (Фактическое конечное потребление домашних хозяйств в единой валюте на душу населения),Т2.3.2,Т2.4.1,Т2.6.1,Т2.6.2,Т2.6.3,Т2.7.1,Т2.8.2,3.4.1b,Т3.2.2,Т3.3.1,Т3.5.1,Т3.7.1,Т3.7.2,Т3.8.2,Т3.9.2,Т3.10.1,Т3.10.2,Т3.11.1,4.2.1 (V группа здоровья),4.3.1,Т4.2.2,Т4.2.3,Т4.5.2,Т4.6.2,Т4.7.2,Т 8.10.1,"Т 9.2.3 (Число абонентских станций (абонентских устройств), подключенных к сетям подвижной радиотелефонной (сотовой) связи)","Т 9.3.1 (Грузооборот по видам транспорта, млрд тонно-км)",Т 9.3.2,Т 9.3.6,"Т 9.3.7 (Общая протяженность автомобильных дорог местного значения, км)",Т 9.3.14,Т 9.3.15,Т 9.3.19,"Т 9.3.20 (Затраты на внедрение и использование цифровых технологий, тысяч рублей)",Т 9.4.1,Т 9.4.2
1.3.1,1.0,0.9868462989573086,0.9538378353070296,0.9774910271936106,0.9867787835969108,0.9856257029809183,0.9927022976739251,0.9873182063118364,0.9965857775578912,0.9786313661883113,0.9965870098461811,0.9735498434690818,0.9667544649589885,0.9777370184410276,0.9868462989573086,0.9891472033587445,0.9766934502599142,0.9585218779893938,0.9632251189168541,0.9280583714716657,0.9280583714716657,0.9090399604019489,0.9667544649589885,0.9679735328456172,0.9456689940189412,0.9798703167764744,0.6438637700435363,0.9402786411377484,0.8942521069444143,0.9557825024500766,0.649373960398489,0.9719091985747138,0.9852137768294583,0.9699370411463715,0.9413381271452949,0.9645235407614857,0.9765402758664382,0.9862503537784767,0.9645235407614857,0.9581564950203189,0.9765402758664382,0.9780145099595021,0.9664328719428503,0.89825293093703,0.9237987601043223,0.931802162536777,0.7028788668835382,0.9313845507506787,0.9656897973769109,0.9400453768099851,0.9327779087199237,0.9225722187593576,0.9225722187593576,0.86861927735746,0.9339107930905001,0.9605162487774241,0.9576998658259237,0.9352938669196451,0.9654726467494023,0.9287419701815517,0.9359083529206575,0.6386817970926978,0.9708601399753766,0.9017794650069173,0.9811110978978776,0.9607077298885625,0.9610712302314603,0.49329456642246783,0.9655448458737173,0.9538455295658586,0.9598491115208169,0.9619575285187755,0.9494175987043345,0.4727462501183896,0.9362766732550623,0.9064229859274389,0.9680969896253132,0.9897240082277736,0.9149072363996702
1.4.1,0.9868462989573086,1.0,0.9729792815318048,0.9709418581857272,0.9848186657769116,0.982652392817495,0.9823386567336906,0.9855359631298999,0.9926653379264531,0.9451500460610174,0.9926662682882791,0.9801211324417757,0.9556497232458162,0.959657345144082,1.0,0.9658684257864626,0.9534610904655899,0.9294796524690524,0.9718184253312497,0.9556808363943062,0.9556808363943062,0.942365603937986,0.9556497232458162,0.9654969100067173,0.9388812770754137,0.9551802560537074,0.7179072739381077,0.9420067299204109,0.8788826047606261,0.9749428278071623,0.7049021015839863,0.9522035487615423,0.9545362618531595,0.9777521667971488,0.9691097492445143,0.9815835140406738,0.9734810447289339,0.9583990045073,0.9815835140406738,0.9857242100967926,0.9734810447289339,0.9732283923010827,0.9371826051068086,0.8879327078818675,0.9111085008565608,0.9294590119083644,0.7541796746668138,0.9654032058000226,0.9836348742781842,0.913032755172574,0.9646412115887342,0.9110962415822309,0.9110962415822309,0.8846818748557126,0.905941794526185,0.9332649787925976,0.929476545195149,0.8897041289981094,0.9242203785255604,0.8798372097516406,0.9033957576760476,0.7169021469641321,0.9316969993602501,0.9142565071516605,0.9937551326628318,0.9764004682685826,0.9821561045840796,0.5714507211334489,0.9685809571065537,0.9672906738495372,0.9677821781279532,0.9700125176608186,0.9625017620477718,0.538898519782557,0.9609518219076505,0.9046548229448397,0.9720128432725121,0.9931380946667603,0.8732625110925649
1.4.2,0.9538378353070296,0.9729792815318048,1.0,0.9376313360944142,0.9449036105271836,0.9463692511678462,0.9396174202562737,0.9377965997246996,0.9526356249420527,0.9244184377259007,0.9526383759025502,0.9277152827410632,0.9453604857141198,0.8890743207817532,0.9729792815318048,0.9042030606842805,0.8803125377773596,0.8415972956695178,0.9162214646333637,0.8979492723739915,0.8979492723739915,0.8881215024000909,0.9453604857141198,0.9525338520644895,0.8620444627525874,0.9027214793474434,0.6914429718885104,0.8669657794616122,0.7793605141791466,0.9125171941956642,0.6848133740840546,0.8730001689399708,0.8952880680878357,0.9466617096327304,0.9335241749680971,0.9270496994303515,0.9127555370222192,0.9150684238283356,0.9270496994303515,0.9585024406049673,0.9127555370222192,0.9182475361535879,0.8694383073354992,0.7951759630246682,0.8497110710856299,0.895609061270198,0.7914430052984113,0.9277299351981451,0.9655063891848462,0.8171078872726549,0.9296885659621811,0.8143917004918975,0.8143917004918975,0.8509028582490336,0.8098069698608727,0.8466941864554713,0.8746141051947315,0.8008590472070333,0.88892934077855,0.8005690893408675,0.8666880404590839,0.6799554588627652,0.8800110370811155,0.8167282848656262,0.9511634564930022,0.9107642830693424,0.9492844265498114,0.5423171070576097,0.9032415081156703,0.9156873658789282,0.9159655765563836,0.9016377023525772,0.9108033059474293,0.5223835089974642,0.896997650560388,0.811438650172694,0.9130817646568519,0.9605578514376906,0.8167312205520484
1.b.1,0.9774910271936106,0.9709418581857272,0.9376313360944142,1.0,0.9884644520725154,0.9894659908641472,0.990227659408168,0.9867520174118433,0.984144985767948,0.9510440224891435,0.9841409374635184,0.9403128199074111,0.9906562055988395,0.9765042676143448,0.9709418581857273,0.9719186797930238,0.9491005459256385,0.9442542439280738,0.9251993970889749,0.8804382552545013,0.8804382552545013,0.8582337297592044,0.9906562055988395,0.9679993674027796,0.921409135437419,0.9350921743211636,0.6013685920813571,0.9127932540331078,0.8498105490311013,0.9449341019016623,0.5536401980251957,0.948968037520066,0.9668803491037427,0.9469793773424084,0.9209623737262815,0.9581655242758506,0.9458986513904942,0.9877317144605579,0.9581655242758506,0.9457220319111741,0.9458986513904942,0.9471365490745545,0.9185937681783605,0.9031882269515185,0.9545735551806291,0.8658135295124041,0.6919978162930567,0.9062825237868029,0.9454036404585385,0.914828411142949,0.8991006157336243,0.9297735557401958,0.9297735557401958,0.7952524052656137,0.926079170033599,0.9425221028389759,0.8929145527389218,0.9208736761977634,0.9130500966064816,0.8868099385392522,0.8857877973893263,0.5789783287291229,0.9359894191400057,0.8996927111771876,0.9680788863845774,0.9402828690699854,0.9761648637659067,0.3769990310023752,0.9274168373528208,0.9179034251706588,0.9093293501395779,0.9387790102436798,0.9239591491503129,0.3557101093239669,0.8984627199373492,0.8949573219302681,0.9471533076101017,0.9895071462289696,0.9419502407152806
Т.1.5 Все население,0.9867787835969108,0.9848186657769116,0.9449036105271836,0.9884644520725154,1.0,0.9997149183230634,0.9979226560734527,0.9989766002231684,0.991364371778855,0.9426860274767771,0.9913611370054142,0.9604047219333071,0.9806781246218658,0.9805190103930833,0.9848186657769116,0.9770082579242894,0.9569938338182881,0.9486002546213463,0.9471799734522317,0.924692506775016,0.924692506775016,0.9082618888762022,0.9806781246218658,0.9854224939089199,0.9254482913264688,0.9462058710518041,0.6232463043602261,0.9212064629723787,0.8651780162521384,0.9618928272059151,0.628143786363612,0.9580073548258635,0.9668780628473242,0.9479204088098344,0.9302587822695806,0.9708865355046327,0.9566437234167474,0.9835964328829807,0.9708865355046327,0.9572930368152331,0.9566437234167474,0.9538742917745919,0.9446301968072578,0.9051668852699133,0.9409913280861794,0.8905999429919341,0.6873109042979971,0.9226210250812691,0.9527766959806523,0.9253415059246201,0.9173318774521709,0.9315669448776035,0.9315669448776035,0.8604431505296758,0.9350536608351011,0.9507874961705304,0.9281076081568775,0.9257084913367706,0.9190650066698245,0.9138449077408493,0.8773328074236019,0.6232224419743736,0.9338316320889483,0.9227608525206681,0.9768524098814165,0.9614678861978618,0.9676349751585428,0.4827171761616247,0.9504998858114845,0.9390997743689536,0.9419788798492512,0.9530023777295569,0.9356258488363901,0.4682361047983759,0.9346206261930449,0.9203618949097793,0.9509427336883861,0.9957496807257028,0.9243707060647529
Т.1.5 Трудоспособное население,0.9856257029809183,0.982652392817495,0.9463692511678462,0.9894659908641472,0.9997149183230634,1.0,0.9975232041495562,0.9976933377765155,0.9894001383989302,0.9429509631687515,0.9893966524841757,0.9545492513157015,0.9845718501979416,0.9776791798030614,0.982652392817495,0.9743041965608533,0.9522496622174852,0.9441141987316275,0.940372224754609,0.9169330657828558,0.9169330657828558,0.9005916343252037,0.9845718501979416,0.9882402132915478,0.9179632955576241,0.9424497039877723,0.6125709099594525,0.9130523190278019,0.8552715378328413,0.9558191941115198,0.6206573336591125,0.9527698451366864,0.9646104863459456,0.94337934440234,0.9240084447848297,0.9659060477842646,0.9507449756141628,0.9842249967955555,0.9659060477842646,0.9530683471349506,0.9507449756141628,0.9483630794290443,0.939801932278042,0.9011202283418227,0.9415721692466186,0.885722645215264,0.6870219727478039,0.9156900631541679,0.9491175262599385,0.9187556819066505,0.9102381255446255,0.9255139269769574,0.9255139269769574,0.853706018603611,0.9298823431903269,0.9458550400833117,0.9243623499184388,0.9221917145003622,0.9172133512110718,0.9104427798990489,0.8733413485674829,0.611644747820158,0.9313610285500562,0.9149328528611521,0.9728506857870934,0.954989542047662,0.9651824808451971,0.47058119164845547,0.9445995475113128,0.9320927579322767,0.9351756293210913,0.9461312766103147,0.9287962821114227,0.4598838565057241,0.9267226844448104,0.9131723722680891,0.944874454482474,0.9948277478121066,0.9271541027972532
Т.1.5 Пенсионеры,0.9927022976739251,0.9823386567336906,0.9396174202562737,0.990227659408168,0.9979226560734527,0.9975232041495562,1.0,0.9976708143327219,0.994417833379211,0.9595318796742431,0.9944154893511864,0.9622803893004189,0.9807024848139729,0.9868914181877093,0.9823386567336906,0.9873446932376111,0.9696598190933363,0.9617887919161479,0.9493639169678272,0.9184869276358646,0.9184869276358646,0.8998335888295198,0.9807024848139729,0.9800477513612585,0.9353861501837887,0.9609041234684532,0.6120270518035898,0.928655857980313,0.8797253408404244,0.9581688021404484,0.6155895076567764,0.9688472092893773,0.9805535628380326,0.952422041295431,0.9278043255188939,0.9673424317628281,0.9640405454221751,0.9922611813585316,0.9673424317628281,0.9515737159779855,0.9640405454221751,0.9626769003462005,0.955555573882423,0.9134931526614073,0.9466088779738333,0.9008749765590188,0.6780794310814583,0.9179109474830358,0.9513106961463565,0.9387102975016318,0.9142574489880032,0.9372271902424254,0.9372271902424254,0.8518588563870894,0.9447007813353001,0.9625719088563386,0.9398303895956364,0.9413681510210661,0.9391138261933056,0.9277580417069459,0.9007327216929234,0.6085889431396083,0.9535115652880634,0.9186527330639703,0.9765563037140884,0.9595492746746077,0.9648770335805941,0.4595394707893909,0.9555318954911344,0.9396801003579515,0.943101312624681,0.9558302336421447,0.9371297069915945,0.4453348170391163,0.9297292017090788,0.9193462036091913,0.9571580298163468,0.9942677898814731,0.936835571218595
Т.1.5 Дети,0.9873182063118364,0.9855359631298999,0.9377965997246996,0.9867520174118433,0.9989766002231684,0.9976933377765155,0.9976708143327219,1.0,0.9935268645483366,0.9417903149524216,0.9935238717885267,0.9691652138756668,0.9732150533681018,0.9866547546042398,0.9855359631298999,0.9820938136292472,0.9658998820432542,0.9581861640208351,0.9575984383375533,0.934094161841588,0.934094161841588,0.9164488413755075,0.9732150533681018,0.977362370330521,0.9398540580331475,0.9517401516825906,0.635947814340709,0.9360578036735557,0.8839837021636878,0.97133510622914,0.6295089254944403,0.968027118874211,0.9717049086139067,0.9548366989318268,0.9392800523688617,0.9785107240346812,0.9663560144795891,0.9831929896499416,0.9785107240346812,0.9621939993308501,0.9663560144795891,0.9629658875856325,0.9533581115707175,0.9120924239066859,0.9400075482351241,0.8946593689557697,0.6811339752611881,0.9320771576014282,0.9570972265319936,0.9390242597395091,0.9267240892436011,0.9451859973901756,0.9451859973901756,0.86824575081721,0.9470903277036568,0.9612507654330791,0.9322739374236603,0.9352073905238758,0.9217986202505978,0.9215170354615884,0.8844837020492349,0.6355677988195162,0.9388268219750927,0.9372217692187641,0.9820911068844961,0.9712618101042377,0.9707102097487352,0.49205247685086717,0.9581204646121252,0.9499078782707391,0.9515371795521547,0.9643387601404916,0.9470105565750083,0.4692783012272606,0.9454938002550645,0.9345736717248584,0.9611631900459032,0.9958468851910401,0.9214687509908199
Т.1.4.1,0.9965857775578912,0.9926653379264531,0.9526356249420527,0.984144985767948,0.991364371778855,0.9894001383989302,0.994417833379211,0.9935268645483366,1.0,0.9648060979692522,0.9999999995342012,0.9818548006911387,0.9666517985432727,0.9839694470428122,0.9926653379264531,0.9884128734003328,0.9769691272297191,0.9608159318145335,0.9724506685582861,0.9390031366398478,0.9390031366398478,0.9191038972694426,0.9666517985432727,0.9645880028559687,0.956965380288167,0.9714243445982186,0.6732979280295829,0.9536624365445904,0.9014303282153499,0.9737865129359877,0.6486472715359954,0.9756940641226117,0.9814431854354143,0.9783262740029424,0.9582079759983914,0.9812820000142147,0.9828961913112165,0.9832668730792848,0.9812820000142147,0.9733098321904027,0.9828961913112165,0.9829547990451486,0.9611262194645283,0.9051810101754688,0.9288474020816101,0.9213407570294372,0.7141948399659092,0.9492533337657101,0.9755346534095141,0.9446641133535921,0.9476714704402364,0.939936482915782,0.939936482915782,0.8697161049895924,0.9415857059052352,0.9639471493361632,0.9424852460431142,0.9332135194420136,0.9471207000250147,0.9178498096060844,0.9235737843591038,0.6648853796916011,0.9597262051883365,0.9250541191676439,0.9920155015981332,0.9756081924397718,0.978207958433083,0.5020449886261312,0.9688080426817262,0.9654335933047323,0.9652420142147184,0.9751710300028483,0.9638253093264305,0.46830917127490657,0.950508294676635,0.9238285065467663,0.9789725389343557,0.99636797344124,0.9091668443702834
Т.1.4.2,0.9786313661883113,0.9451500460610174,0.9244184377259007,0.9510440224891435,0.9426860274767771,0.9429509631687515,0.9595318796742431,0.9417903149524216,0.9648060979692522,1.0,0.9648102365725405,0.9285378453383629,0.9444494545593912,0.9456301220997986,0.9451500460610174,0.9726236730718616,0.9628154961010507,0.9449280294803137,0.9179002564948641,0.8641349430409597,0.8641349430409597,0.844210137432907,0.9444494545593912,0.9278504798960604,0.9190554538899677,0.981650988514106,0.5645687121351494,0.9071567556665766,0.8791740909864476,0.8948123822102779,0.5813772837792726,0.9499514638851954,0.9801928299654651,0.9420079844815066,0.8927647537249432,0.9063013878614883,0.9485497949007471,0.9731040555334958,0.9063013878614883,0.9029998541333525,0.9485497949007471,0.9564722506626316,0.940968784452898,0.8911411836690506,0.9188978975510418,0.9368925617432529,0.6577495242295255,0.8767653019359152,0.9234914704497201,0.9199121646762776,0.8840039657374704,0.879870920023029,0.879870920023029,0.7944226098914589,0.901181693756371,0.9385663337054398,0.9496002376957132,0.9247717016009144,0.9887962236259976,0.9123675553627141,0.97252339555517,0.5487762225081582,0.9885855648247882,0.8301353471136914,0.9386528351042442,0.9043943129078923,0.9211305717194619,0.3884198730039291,0.9385891352613042,0.9040652967433677,0.9114008280814551,0.9182876428173316,0.9027714149665279,0.3858961943502066,0.8719079979355289,0.8387674749368427,0.9390393085894364,0.9479266415268162,0.927773597230592
