ЦУР,1.5.1 Погибшие,Т.1.4.3,11.2.1(тыс. чел.),11.5.1 погибшие,13.1.1 погибшие,16.1.1 (чел),16.1.1 (%),"Т 16.7 (возрасте 15-72 лет, использующего многофункциональный центр (МФЦ))",2.1.1,2.b.1,Т2.2.1,Т2.3.4,Т2.4.2,Т2.6.4,Т2.7.2,Т2.7.3,Т2.7.4,Т2.8.1,Т2.8.3,3.3.2,3.3.4,3.4.2,3.5.2,3.6.1,3.7.1 (возраст 30-34 лет),3.7.1 (возраст 35-39 лет),Т3.6.2,Т3.6.4,Т3.6.5,Т3.6.8,Т3.6.11,Т3.7.3,Т3.7.4,Т3.8.3,Т3.8.4,Т.3.10.6 (в возрасте 15-19 лет),Т3.13.1,4.2.1 (III группа здоровья),Т4.2.6,Т4.5.1,Т4.6.3,Т4.7.1,Т4.7.3,8.3.1,8.6.1,"Т 9.2.2 (Перевезено пассажиров транспортом общего пользования1 – всего, млн чел.)",Т 9.2.2 (железнодорожным),Т 9.2.2 (автомобильным),Т 9.3.4,Т 9.3.12,Т 9.3.13
1.5.1 Погибшие,1.0,0.9636014753018818,0.6886777892685259,1.0,1.0,0.822159173508428,0.8239648068805598,0.7489763679465181,0.7984123422501896,0.7968871237997571,0.7984123422501896,0.7502481250165436,0.7337157365293216,0.6847135117232319,0.8338476277456246,0.7021098899642858,0.7882411381899316,0.7131084933716626,0.691814857517636,0.743642224302908,0.7640539810034996,0.98460716717829,0.9195698713145821,0.8537504896514769,0.8052392037185245,0.7452012521759178,0.7442684473480612,0.8086359409790816,0.710348860576538,0.8209658169204297,0.8799332513348013,0.8880469426185726,0.904856729747257,0.9832740405445534,0.7312630740845523,0.8721285524567095,0.8504598238374511,0.7596375068402382,0.7308242931441691,0.7621382353234142,0.8041213049331598,0.7406711129259944,0.8770469441750485,0.8073963879707582,0.7385000293421291,0.7312828642302283,0.9381681329418707,0.6974617933352919,0.7852437220864087,0.8309695386388987,0.6322406840793869
Т.1.4.3,0.9636014753018818,1.0,0.7886412274555392,0.9636014753018816,0.9636014753018816,0.9187904640245331,0.9211794757387957,0.8595127021796658,0.8853798272681578,0.7733304858426494,0.8853798272681578,0.858802389718959,0.7612643658981245,0.8009221418635438,0.9193385636467907,0.8163187972175443,0.8560878342597761,0.700273134858211,0.8189296985134308,0.8441792169676708,0.8559140889517332,0.9544008644375086,0.9663877325074288,0.9196679345957505,0.896782994086461,0.8253174840672912,0.8442431295745003,0.8543638748487025,0.7658547362846289,0.9147151665783233,0.9054830683948203,0.9479552106108879,0.9597322092112414,0.9380188108766658,0.8057846114642591,0.9488901119186279,0.9177132304428676,0.7656246769874536,0.780025728129149,0.8731607593274894,0.8866370943547058,0.7975184975928593,0.9493293542717413,0.852362406430146,0.8572899979889741,0.8215425687488375,0.9441550825007906,0.7889989556215211,0.7841416739710642,0.8901640088457766,0.6820312554755471
11.2.1(тыс. чел.),0.6886777892685259,0.7886412274555392,1.0,0.6886777892685259,0.6886777892685259,0.9085419359749407,0.9088439067535473,0.966932716922323,0.9443033200369871,0.7178157810210485,0.9443033200369871,0.9686069743810917,0.8796268724768033,0.9041814836495929,0.9342064187070767,0.9550368014807736,0.9055932711356866,0.7358952815523744,0.9105683692089437,0.9636994321043879,0.9767477064332214,0.7479505655488966,0.8700178229472642,0.9165353065754241,0.9557957780534957,0.9137921933390712,0.9636846359529377,0.8488011001645406,0.9095779745263127,0.9340146572872566,0.9240280761919935,0.9233791224906215,0.9042372670079355,0.7143846899569942,0.9103663287852333,0.9090892061684853,0.9173375219455467,0.9182057908271795,0.8385967590236106,0.9582865839743815,0.8828065659303521,0.9651584303983782,0.8903116102408616,0.9182911671847442,0.9024207640489553,0.9908508122953537,0.8456888494695687,0.9911105438237342,0.8706194922054252,0.8658703127133078,0.9095278751423733
11.5.1 погибшие,1.0,0.9636014753018816,0.6886777892685259,1.0,1.0,0.822159173508428,0.8239648068805598,0.7489763679465181,0.7984123422501896,0.7968871237997571,0.7984123422501896,0.7502481250165436,0.7337157365293216,0.6847135117232319,0.8338476277456246,0.7021098899642858,0.7882411381899316,0.7131084933716626,0.691814857517636,0.743642224302908,0.7640539810034996,0.98460716717829,0.9195698713145821,0.8537504896514769,0.8052392037185245,0.7452012521759178,0.7442684473480612,0.8086359409790816,0.710348860576538,0.8209658169204297,0.8799332513348013,0.8880469426185726,0.904856729747257,0.9832740405445534,0.7312630740845523,0.8721285524567095,0.8504598238374511,0.7596375068402382,0.7308242931441691,0.7621382353234142,0.8041213049331598,0.7406711129259944,0.8770469441750485,0.8073963879707582,0.7385000293421291,0.7312828642302283,0.9381681329418707,0.6974617933352919,0.7852437220864087,0.8309695386388987,0.6322406840793869
13.1.1 погибшие,1.0,0.9636014753018816,0.6886777892685259,1.0,1.0,0.822159173508428,0.8239648068805598,0.7489763679465181,0.7984123422501896,0.7968871237997571,0.7984123422501896,0.7502481250165436,0.7337157365293216,0.6847135117232319,0.8338476277456246,0.7021098899642858,0.7882411381899316,0.7131084933716626,0.691814857517636,0.743642224302908,0.7640539810034996,0.98460716717829,0.9195698713145821,0.8537504896514769,0.8052392037185245,0.7452012521759178,0.7442684473480612,0.8086359409790816,0.710348860576538,0.8209658169204297,0.8799332513348013,0.8880469426185726,0.904856729747257,0.9832740405445534,0.7312630740845523,0.8721285524567095,0.8504598238374511,0.7596375068402382,0.7308242931441691,0.7621382353234142,0.8041213049331598,0.7406711129259944,0.8770469441750485,0.8073963879707582,0.7385000293421291,0.7312828642302283,0.9381681329418707,0.6974617933352919,0.7852437220864087,0.8309695386388987,0.6322406840793869
16.1.1 (чел),0.822159173508428,0.9187904640245331,0.9085419359749407,0.822159173508428,0.822159173508428,1.0,0.9998950718258245,0.9698334444644597,0.9801568765225338,0.7167116645204935,0.9801568765225338,0.9326423183232031,0.7974898807600361,0.8760654990287817,0.9639577775811367,0.9565944532144082,0.8550004473570179,0.635121702982535,0.9206197411020393,0.9278361546514053,0.9402238524601396,0.8249058576576609,0.9709122451044306,0.9500927457915079,0.9773249942039842,0.9368656729657503,0.9270267215498884,0.7907335490022298,0.7867510599128871,0.9829009478788613,0.925799257378462,0.9546831591009021,0.9593147920554659,0.7832219379034288,0.8911059751483431,0.9723567391779478,0.9500985667316856,0.8296228518235499,0.8312606207977464,0.9830758191603722,0.9686862959107959,0.8527614747354848,0.9902061865298161,0.9191728105264374,0.9211826888590309,0.9061282080853509,0.8660786415649724,0.8815430066458332,0.7358228110255337,0.9626016758476736,0.7498565080068351
16.1.1 (%),0.8239648068805598,0.9211794757387957,0.9088439067535473,0.8239648068805598,0.8239648068805598,0.9998950718258245,1.0,0.9705484574942942,0.9799968647135994,0.7205812093117993,0.9799968647135994,0.9352544844071644,0.800329752600689,0.8786849322042674,0.9662589658444855,0.9566584034421203,0.860123008023027,0.6412119060545267,0.9245623843941803,0.9307593185492115,0.9419336990505046,0.8265431547545398,0.9719825695084845,0.9522138081652513,0.9782504858918949,0.9359438948219108,0.9299712656964926,0.7967114000057555,0.7921460132277773,0.9845199920481618,0.9251346404691391,0.9570188735233751,0.9615063922571019,0.7860006359678764,0.8931015507496196,0.9745602151694917,0.9522119914692608,0.827334480016589,0.8339404496825052,0.9831894680545701,0.969598756045848,0.8552001691562652,0.9908358897057008,0.9182367996142841,0.925952905932244,0.9080686308168378,0.8680509258708083,0.8834776405624029,0.7381793894512164,0.9622851247630405,0.7529554091157853
"Т 16.7 (возрасте 15-72 лет, использующего многофункциональный центр (МФЦ))",0.7489763679465181,0.8595127021796658,0.966932716922323,0.7489763679465181,0.7489763679465181,0.9698334444644597,0.9705484574942942,1.0,0.987104048626668,0.7649826278087329,0.987104048626668,0.9768578698311743,0.8882758291451363,0.8810453317824076,0.9818667548814359,0.9933274432997352,0.9084671865645888,0.7310292353952493,0.9571208870745563,0.9811712744266965,0.9886394139808921,0.7864986725083307,0.9280015655638585,0.9695899558844142,0.9828329230344904,0.9165363500639093,0.9807026581433446,0.8560038130477007,0.8697167149511577,0.9872613233897356,0.9242828510531096,0.95685968436367,0.9498168090521049,0.746896601488707,0.956749077184479,0.9665921835035822,0.9706009513555394,0.8800023829021849,0.8999935812751921,0.9968782618076266,0.9632640516315791,0.9309660536941229,0.9608443604396436,0.9521029008032549,0.9460693669748547,0.9643717186298817,0.8529870045895963,0.9481757418934394,0.7888634904101995,0.9337595081159898,0.8684055611632404
2.1.1,0.7984123422501896,0.8853798272681578,0.9443033200369871,0.7984123422501896,0.7984123422501896,0.9801568765225338,0.9799968647135994,0.987104048626668,1.0,0.795427334298228,1.0,0.9417344660156327,0.8735090237534424,0.8360850538098595,0.9730836740739345,0.9831911291877498,0.8695936311947774,0.7177805156960653,0.9279900280367054,0.9631390672545489,0.9771581357480821,0.8217466833449314,0.9593706178536676,0.9696776541780382,0.9917344364253148,0.9458358096151832,0.9626380275182456,0.8263690171761187,0.8366218797070311,0.99039002162871,0.9500401744988956,0.9611825363022594,0.9598193022201373,0.7815605965961189,0.9446985750178767,0.9652953939916632,0.9697102798256134,0.895395665441783,0.8798099531283993,0.9876240270290095,0.9822697104244394,0.9152227203341625,0.978051177756856,0.961062549447965,0.9140513585005314,0.9453653180619687,0.8884055236215593,0.9224402348099129,0.7943984967517485,0.9753284896956794,0.8242107067648153
2.b.1,0.7968871237997571,0.7733304858426494,0.7178157810210485,0.7968871237997571,0.7968871237997571,0.7167116645204935,0.7205812093117993,0.7649826278087329,0.795427334298228,1.0,0.7954273342982281,0.7407743105494348,0.9159473860265772,0.5501189250183209,0.814608103353971,0.7668237665179326,0.7982877333049505,0.9460046498272405,0.7709119757035918,0.8269403145030316,0.8180793420762461,0.8186653025934565,0.796776492841476,0.8544200959990239,0.7845488054873434,0.701191338581025,0.8278617028179867,0.8695397682226595,0.8260707203321245,0.8050465017308203,0.7929446277179545,0.8198853833651009,0.8213200660756762,0.8318276213954259,0.882787362314043,0.7965817160448615,0.8529717197289299,0.7884506429132663,0.887254685535325,0.7338081843540929,0.8333422209608791,0.8400925319717942,0.779716732608858,0.8324450470591925,0.7593108293785196,0.7758679435063176,0.8480514728341153,0.7486266871933549,0.7935594443091256,0.8182158318047189,0.8187354536868491
