ЦУР,1.а.2 Социальная политика,Т.1.2,Т.1.2.2 здравоохранение,Т.1.2.3 социальная политика,Т.1.3.1,"10.3.1 (Численность отдельных категорий специалистов, имеющих право на меры социальной поддержки, человек)",11.1.1,Т 15.2.2 (Индекс физического объема природоохранных расходов),Т 16.6 (Доля потерпевших от преступных посягательств),Т2.3.1,Т2.3.3,Т2.3.5,Т2.3.6,Т2.4.3,Т2.5.1,Т2.5.6,Т2.6.5,Т2.6.6,3.3.3,Т3.6.3,Т3.12.1,Т3.13.2,Т3.13.3,Т3.13.4,Т3.13.5,Т3.13.6,Т4.6.1,Т 9.2.1 (железнодорожным),Т 9.3.5,Т 9.6 (ВДС обрабатывающих производств в пересчете на душу населения),9.а.2 (Изьято в млн дол США),9.а.3 (Поступило в млн дол США)
1.а.2 Социальная политика,1.0,0.5652836277122318,0.45676044422106005,1.0,0.7604123824133165,0.9243937254791678,0.5234190692268705,0.9243561742960338,0.8033612173499317,0.5472977307484155,0.861864491017143,0.9388505557447484,0.5229827780133494,0.8232846917326745,0.8631000177767024,0.7170709271520741,0.619715181118726,0.6697091067793116,0.6364372683744043,0.6364372683744043,0.46786740660104653,0.4378106324255428,0.43931374787231414,0.46264691353659765,0.48508852541766573,0.4648898079783659,0.7406390703109788,0.8489905909712047,0.9133073135718853,0.8983317501857354,0.7013110819892792,0.7978965112910051
Т.1.2,0.5652836277122318,1.0,0.46776025239463803,0.565283627712232,0.30955545678758045,0.6115919725167615,0.4786429633943651,0.5316379662437388,0.6045249621061173,0.14836936816758023,0.47896628104328876,0.6191452685740081,0.16166021068197614,0.6839760149127168,0.6726319401295872,0.2552093718514837,0.691092901074927,0.49911026826648563,0.2750800749440836,0.2750800749440836,0.8408112354109594,0.9035841100259134,0.9036883699300623,0.9159201431981445,0.9167255185802298,0.9155091811868167,0.908518596553376,0.4358901655852179,0.5667120465648491,0.4201158798394409,0.3466655087396369,0.5388959038605141
Т.1.2.2 здравоохранение,0.45676044422106005,0.46776025239463803,1.0,0.45676044422106,0.36830679511425674,0.4220538718169264,0.9571065546142232,0.41128536111692704,0.5190395250986412,0.45602649576360577,0.284740812064319,0.5278426514876319,0.819356504900398,0.40728520162856396,0.49247330656427324,0.37996728812957214,0.6851957800061507,0.5535209225297737,0.43935692969889184,0.43935692969889184,0.5185578006272281,0.43931199742733745,0.4429928573728136,0.44201298833243535,0.4493928155849348,0.4339023782958909,0.481693381374798,0.3280681716895711,0.38007863709943607,0.5077446867932187,0.4404723087942665,0.6229503667906873
Т.1.2.3 социальная политика,1.0,0.565283627712232,0.45676044422106,1.0,0.7604123824133165,0.9243937254791678,0.5234190692268705,0.9243561742960338,0.8033612173499317,0.5472977307484155,0.861864491017143,0.9388505557447484,0.5229827780133494,0.8232846917326745,0.8631000177767024,0.7170709271520741,0.619715181118726,0.6697091067793116,0.6364372683744043,0.6364372683744043,0.46786740660104653,0.4378106324255428,0.43931374787231414,0.46264691353659765,0.48508852541766573,0.4648898079783659,0.7406390703109788,0.8489905909712047,0.9133073135718853,0.8983317501857354,0.7013110819892792,0.7978965112910051
Т.1.3.1,0.7604123824133165,0.30955545678758045,0.36830679511425674,0.7604123824133165,1.0,0.8314806703014626,0.45279784256848854,0.8727737321135635,0.7744053261853352,0.808581825905121,0.8418161711081409,0.8182465150971379,0.642526228848211,0.7050533226300774,0.7278721033519677,0.9121063762448053,0.6554727180786544,0.6627159986006839,0.7774115589700583,0.7774115589700583,0.08964540824957651,0.01100019668805119,0.012740267183284916,0.036322106987375084,0.054649682748089116,0.03461654648001582,0.459085041767766,0.8696942139592682,0.8191128972413246,0.8952751564207152,0.8299771844379772,0.7534725696709919
"10.3.1 (Численность отдельных категорий специалистов, имеющих право на меры социальной поддержки, человек)",0.9243937254791678,0.6115919725167615,0.4220538718169264,0.9243937254791678,0.8314806703014626,1.0,0.49956931709612235,0.9914320562050457,0.9279497295339814,0.611177058903639,0.954986993574866,0.9664401747449097,0.5707110674098204,0.9419680993382998,0.8894155934456832,0.8212213065587312,0.6726234365986986,0.7082120383233033,0.5227292363725098,0.5227292363725098,0.39399190852101323,0.379055043574467,0.3788995062106679,0.409571779253523,0.41892179887637104,0.4148179868642269,0.7229768803015576,0.9043696417809808,0.9926098640389186,0.8632817319355076,0.8281561001037293,0.7622220176607987
11.1.1,0.5234190692268705,0.4786429633943651,0.9571065546142232,0.5234190692268705,0.45279784256848854,0.49956931709612235,1.0,0.48265677532473866,0.5288284234760274,0.4081592519141154,0.35276325255609325,0.5805075375689589,0.7831641050638635,0.42320349555870085,0.45910740069712,0.38760284989391,0.5931551288137475,0.42111611783210157,0.44078806975053486,0.44078806975053486,0.5230889274397925,0.42069036605782906,0.4240572483948223,0.42759745248565273,0.4386326287717897,0.41684995889782267,0.5515582444896822,0.3406993076946513,0.4802166053872283,0.5239820895124617,0.48192161573267567,0.5486988367644199
Т 15.2.2 (Индекс физического объема природоохранных расходов),0.9243561742960338,0.5316379662437388,0.41128536111692704,0.9243561742960338,0.8727737321135635,0.9914320562050457,0.48265677532473866,1.0,0.9359132607808056,0.6925028282720848,0.9498231090741581,0.9729182298063148,0.6168867343002274,0.9098564795831542,0.871631601159399,0.8798434783995224,0.6696542168403351,0.731817630614349,0.5569716128165376,0.5569716128165376,0.34048722328382913,0.29446442125894645,0.29495412510764496,0.3252412030791419,0.33634867037386007,0.32965098016637495,0.6756270813907963,0.9148179928714824,0.985753263449979,0.9062970521691428,0.8751867007959151,0.7911249684364174
Т 16.6 (Доля потерпевших от преступных посягательств),0.8033612173499317,0.6045249621061173,0.5190395250986412,0.8033612173499317,0.7744053261853352,0.9279497295339814,0.5288284234760274,0.9359132607808056,1.0,0.7604788137487516,0.8386121307970245,0.9496064285108139,0.6998938094403647,0.8903370088282869,0.8421212610793528,0.8822269837342653,0.7794450910332673,0.8232970869837329,0.41872504008467143,0.41872504008467143,0.4484872304619388,0.36714541162970205,0.36839422642736863,0.3963379627935547,0.397469465744471,0.39992511836940325,0.7001719639535744,0.8152709372850669,0.9080443113664922,0.8526792501736882,0.9255874413760754,0.8276854714789692
Т2.3.1,0.5472977307484155,0.14836936816758023,0.45602649576360577,0.5472977307484155,0.808581825905121,0.611177058903639,0.4081592519141154,0.6925028282720848,0.7604788137487516,1.0,0.5804713540059826,0.6962064702935494,0.7971635282020285,0.5118530787113599,0.5758300184725693,0.9353105452248591,0.6930328642138405,0.7932461388203111,0.6109839074288572,0.6109839074288572,0.12099247780521849,0.05427331396348151,0.05030670393336522,0.03750823505420534,0.02971530252186479,0.04025490444133773,0.29858007129584957,0.6713279700894149,0.5883041598543278,0.832523893925719,0.88289337509756,0.8027322544430536
