ЦУР,"10.7.1 (""Численность лиц, получивших временное убежище"")",12.1.1 (%),Т 16.5 (Количество преступлений экономической направленности),Т 17.4 (Индекс физического объема валового регионального продукта на душу населения),2.a.1,Т2.2.3,Т2.5.2,3.1.1,3.2.1,3.2.2,Т3.2.5,Т3.9.1,Т3.10.3,Т3.10.4,4.2.1 (I группа здоровья),8.1.1,Т 9.2.1 (автомобильным),Т 9.3.3,Т 9.3.10,Т 9.3.11,Т 9.3.16
"10.7.1 (""Численность лиц, получивших временное убежище"")",1.0,0.849600228469468,0.9879646951517899,0.9523816783646244,0.9193801926386246,0.9193801926386246,0.8234729793627551,0.8280184767133068,0.8771385602248848,0.782737399156629,0.8429035887274882,0.9670475041202874,0.9670475041202874,0.9600188584254977,0.8368167676925017,0.9293489253781045,0.8009540678579606,0.835381326681136,0.9777235883103771,0.8847437644459815,0.9423827410459391
12.1.1 (%),0.849600228469468,1.0,0.8540257270789755,0.8921519217568483,0.7772728650829253,0.7772728650829253,0.8307946238004436,0.9203936135169166,0.8531731365262204,0.9199562301299581,0.9995329360874605,0.8029754388832423,0.8029754388832423,0.790375157313581,0.7492475877340218,0.9563946043022359,0.6643229978817202,0.867454528723175,0.8640121630060537,0.7026751389708273,0.8011465372678441
Т 16.5 (Количество преступлений экономической направленности),0.9879646951517899,0.8540257270789755,1.0,0.969904150824543,0.8921187752152016,0.8921187752152016,0.8659595792811775,0.8586533664947671,0.8134662039575066,0.8094010146647989,0.8474092713547808,0.9298792629935207,0.9298792629935207,0.920132841475697,0.8371954222653283,0.9281137749351521,0.7290798944733538,0.8729959338452783,0.9971523501929735,0.8196909626489004,0.9403562638847356
Т 17.4 (Индекс физического объема валового регионального продукта на душу населения),0.9523816783646244,0.8921519217568483,0.969904150824543,1.0,0.8586747340534818,0.8586747340534818,0.8973880452327804,0.8775960882112406,0.7828947790104777,0.7979408201055347,0.8817452105319648,0.8857731031869192,0.8857731031869192,0.8668765715799869,0.7975919892242122,0.9723585615794121,0.6730714130564948,0.946692347085434,0.9664981043600148,0.7395046509086491,0.8786611700863912
2.a.1,0.9193801926386246,0.7772728650829253,0.8921187752152016,0.8586747340534818,1.0,1.0,0.7634369794713516,0.7731211846382362,0.8354180532082583,0.803448924920531,0.770756826168177,0.8859064510760072,0.8859064510760072,0.913403796491338,0.9452957534418513,0.8529332221208484,0.8417536065770869,0.8017584191752266,0.8691121692702579,0.903647662096253,0.7822418159205284
Т2.2.3,0.9193801926386246,0.7772728650829253,0.8921187752152016,0.8586747340534818,1.0,1.0,0.7634369794713516,0.7731211846382362,0.8354180532082583,0.803448924920531,0.770756826168177,0.8859064510760072,0.8859064510760072,0.913403796491338,0.9452957534418513,0.8529332221208484,0.8417536065770869,0.8017584191752266,0.8691121692702579,0.903647662096253,0.7822418159205284
Т2.5.2,0.8234729793627551,0.8307946238004436,0.8659595792811775,0.8973880452327804,0.7634369794713516,0.7634369794713516,1.0,0.8532727753795736,0.6334445792940301,0.8232713864000155,0.821881604467497,0.6927738064908432,0.6927738064908432,0.6710443171860565,0.6927471508929356,0.8857687061999974,0.6216487894233506,0.9572065217973058,0.8859998379314248,0.6321501222897382,0.7389131364337349
3.1.1,0.8280184767133068,0.9203936135169166,0.8586533664947671,0.8775960882112406,0.7731211846382362,0.7731211846382362,0.8532727753795736,1.0,0.7422272558669193,0.9095503718256578,0.919548055095737,0.7538825826379288,0.7538825826379288,0.74829245435337,0.7823128691567712,0.8945126862981905,0.657707697002009,0.8724626647563091,0.8718689026371761,0.6552453413522547,0.7839185875768653
3.2.1,0.8771385602248848,0.8531731365262204,0.8134662039575066,0.7828947790104777,0.8354180532082583,0.8354180532082583,0.6334445792940301,0.7422272558669193,1.0,0.7465426603927503,0.8545236149634529,0.9339899679856543,0.9339899679856543,0.9333345582541585,0.7508335083433488,0.8480418110677699,0.8991716098223737,0.6552558741459074,0.7978092656681708,0.932176804631825,0.8591448332379238
3.2.2,0.782737399156629,0.9199562301299581,0.8094010146647989,0.7979408201055347,0.803448924920531,0.803448924920531,0.8232713864000155,0.9095503718256578,0.7465426603927503,1.0,0.9248634245636562,0.7022537723431508,0.7022537723431508,0.7191857430539886,0.8475697410827164,0.8421436797642792,0.6310828304146552,0.8174869027789486,0.8262827137053607,0.6794074059372281,0.7237703571815476
Т3.2.5,0.8429035887274882,0.9995329360874605,0.8474092713547808,0.8817452105319648,0.770756826168177,0.770756826168177,0.821881604467497,0.919548055095737,0.8545236149634529,0.9248634245636562,1.0,0.7989646067956505,0.7989646067956505,0.787328543347722,0.7485375384431567,0.9479654918564471,0.6632305762259451,0.8556071236648314,0.8582662848539427,0.7019130485187369,0.8008268960752969
Т3.9.1,0.9670475041202874,0.8029754388832423,0.9298792629935207,0.8857731031869192,0.8859064510760072,0.8859064510760072,0.6927738064908432,0.7538825826379288,0.9339899679856543,0.7022537723431508,0.7989646067956505,1.0,1.0,0.9949054675057923,0.8120664513016556,0.8701996405743142,0.8537796844931901,0.7262459908924621,0.909361442541201,0.9295728640913411,0.9522420171888141
