ЦУР,2016,2017,2018,2019,2020,2021,2022,AgglomerativeClustering,KMeans
1.2.2,14.2,13.9,13.2,13.3,13.0,12.0,10.5,0,3
1.3.1,2241.0,2029.0,4905.0,8689.0,6921.0,15304.0,23687.0,1,4
1.4.1,61.2,63.0,64.3,67.5,66.97,68.74,73.74,1,4
1.4.2,6227.1,6233.7,6246.6,6255.6,6241.6,6245.7,6271.7,1,4
1.5.1 Пострадавшие,135.0,648.0,50.0,61.0,281.0,235.0,235.0,0,0
1.5.1 Погибшие,77.0,12.0,21.0,20.0,15.0,30.0,30.0,3,2
1.5.2,61340.0,3819811.8,1935543.9,51276.0,451548.0,16227.0,4027.89,0,3
1.а.1,10.1,11.4,9.7,9.6,10.1,9.3,10.1,0,0
1.а.2 Образование,23.4,24.1,27.4,24.5,22.5,21.8,22.3,0,3
1.а.2 Здравоохранение,27.7,21.0,26.0,24.2,26.0,26.0,22.3,0,2
1.а.2 Социальная политика,17.0,21.9,23.7,20.6,23.1,22.1,23.3,2,1
1.b.1,15733262.0,17898543.0,17562654.0,17324984.0,18886248.0,20262216.0,25792464.0,1,4
Т.1.5 Все население,9565.0,9667.0,9675.0,10337.0,10793.0,11053.0,13085.0,1,4
Т.1.5 Трудоспособное население,10170.0,10280.0,10282.0,11013.0,11481.0,11753.0,14263.0,1,4
Т.1.5 Пенсионеры,7753.0,7832.0,7843.0,8384.0,8722.0,9445.0,11253.0,1,4
Т.1.5 Дети,10021.0,10126.0,10153.0,10733.0,11329.0,11642.0,13319.0,1,4
Т.1.2,9.7,10.3,10.4,10.6,12.1,10.6,9.7,2,0
Т.1.2,10.1,11.4,9.7,9.6,10.1,9.3,10.1,0,0
Т.1.2.1 образование,9.9,10.1,10.7,10.8,10.2,10.0,9.9,0,1
Т.1.2.1 образование,23.4,24.1,27.4,24.5,22.5,21.8,22.3,0,3
Т.1.2.2 здравоохранение,9.9,8.7,9.7,10.1,11.6,11.0,10.1,2,4
Т.1.2.2 здравоохранение,27.7,21.0,26.0,24.2,26.0,26.0,22.3,0,2
Т.1.2.3 социальная политика,34.8,37.1,36.2,34.8,35.6,34.0,32.3,0,3
Т.1.2.3 социальная политика,17.0,21.9,23.7,20.6,23.1,22.1,23.3,2,1
Т.1.3.1,96.7,100.6,102.3,101.2,98.6,103.5,100.71,2,1
Т.1.3.2,14.2,13.9,13.2,13.3,13.0,12.0,10.51,0,3
Т.1.4.1,26655.4,27741.4,29097.1,30865.8,31519.4,35049.7,40008.01,1,4
Т.1.4.2,103.2,104.1,104.9,106.1,102.1,111.2,114.11,1,4
Т.1.4.3,141.62,105.6,101.0,103.9,100.3,98.5,101.5,3,2
10.1.1 (в расчете на одно домохозяйство)                                                 ,12995.0,12995.0,10587.8,12020.5,14130.8,11758.1,11758.1,0,0
