ЦУР,2016,2017,2018,2019,2020,2021,2022,Model,2023_forecast,2024_forecast,mape
1.2.2,14.2,13.9,13.2,13.3,13.0,12.0,10.5,arch,12.972090455129345,12.972090455129345,0.07339156076158872
1.3.1,2241.0,2029.0,4905.0,8689.0,6921.0,15304.0,23687.0,arch,9110.85705805271,9110.85705805271,1.2569016882193293
1.4.1,61.2,63.0,64.3,67.5,66.97,68.74,73.74,arch,66.50194731742734,66.50194731742734,0.046993439596635246
1.4.2,6227.1,6233.7,6246.6,6255.6,6241.6,6245.7,6271.7,arima,6246.0,6246.0,0.0016413852721675858
1.5.1 Пострадавшие,135.0,648.0,50.0,61.0,281.0,235.0,235.0,exp,234.10556616214734,234.10556616214734,1.1524485922173309
1.5.1 Погибшие,77.0,12.0,21.0,20.0,15.0,30.0,30.0,arch,21.25716870291367,21.25716870291367,0.36720973758382824
1.5.2,61340.0,3819811.8,1935543.9,51276.0,451548.0,16227.0,4027.89,exp,421914.7927626544,421914.7927626544,20.61793047354109
1.а.1,10.1,11.4,9.7,9.6,10.1,9.3,10.1,exp,10.042858229190644,10.042858229190644,0.04248211867586366
1.а.2 Образование,23.4,24.1,27.4,24.5,22.5,21.8,22.3,exp,23.714271966280617,23.714271966280617,0.05731720631670638
1.а.2 Здравоохранение,27.7,21.0,26.0,24.2,26.0,26.0,22.3,exp,24.742857143744413,24.742857143744413,0.08028851039497062
1.а.2 Социальная политика,17.0,21.9,23.7,20.6,23.1,22.1,23.3,arch,22.253490376312705,22.253490376312705,0.07928227478190963
1.b.1,15733262.0,17898543.0,17562654.0,17324984.0,18886248.0,20262216.0,25792464.0,arima,19065767.285714284,19065767.285714284,0.1132063564626785
Т.1.5 Все население,9565.0,9667.0,9675.0,10337.0,10793.0,11053.0,13085.0,arch,10596.428282640501,10596.428282640501,0.08200265835034316
Т.1.5 Трудоспособное население,10170.0,10280.0,10282.0,11013.0,11481.0,11753.0,14263.0,arch,11320.285451861535,11320.285451861535,0.08575964574366919
