ЦУР,1.2.2,1.5.2,1.а.2 Образование,Т.1.2.1 образование,Т.1.2.3 социальная политика,Т.1.3.2,10.2.5 (Доля оплаты труда наемных работников ВРП),"10.3.2 (Численность граждан, которым меры социальной поддержки предоставляются в форме денежных компенсаций)",11.2.1(тыс. чел.),11.5.2,11.5.3,12.3.1 (млн. куб. м),Т 14.3 (тонн),16.1.1 (чел),16.1.1 (%),"Т 16.7 (возрасте 15-72 лет, использующего многофункциональный центр (МФЦ))",2.1.1,Т2.2.1,Т2.3.4,Т2.4.2,Т2.4.4,Т2.5.4,Т2.6.4,Т2.7.2,Т2.7.3,Т2.7.4,Т2.8.3,3.3.1,3.3.2,3.3.4,3.5.1,3.5.2,3.6.1,3.7.1 (возраст 30-34 лет),3.7.1 (возраст 35-39 лет),3.c.1,Т3.2.4,Т3.4.5,Т3.5.2,Т3.6.1,Т3.6.2,Т3.6.5,Т3.6.6,Т3.6.8,Т3.6.10,Т3.6.11,Т3.7.3,Т3.7.4,Т3.8.4,Т.3.10.6 (в возрасте 15-19 лет),Т3.12.2,Т3.12.3,Т3.13.1,4.2.1 (II группа здоровья),4.2.1 (III группа здоровья),4.2.1 (IV группа здоровья),4.4.1.a,Т4.2.4,Т4.2.6,Т4.3.3,Т4.5.1,Т4.6.3,Т4.7.1,Т4.7.3,Т4.9.1,Т4.9.2,8.2.1,8.3.1,8.6.1,8.8.2,"Т 9.2.1 (Перевезено грузов транспортом общего пользования1 – всего, млн тонн)",Т 9.2.1 (автомобильным),"Т 9.2.2 (Перевезено пассажиров транспортом общего пользования1 – всего, млн чел.)",Т 9.2.2 (автомобильным),Т 9.3.12,Т 9.3.13,Т 9.3.17,Т 9.5.2 (Доля валовой добавленной стоимости отрасли «Обрабатывающее производство» в ВРП),9.b.1 (Доля продукции высокотехнологичных и наукоемких отраслей в валовом внутреннем продукте (%)),"Т 9.9 (Внутренние затраты на исследования и разработки, 
в % к ВРП)"
1.2.2,1.0,0.7321546394915502,0.7414954683419247,0.7414954683419247,0.9119705257634055,0.9999993442220299,0.934780111105309,0.9783942382234926,0.6862643686487337,0.7321546394915502,0.7321546394915502,0.925275422210889,0.8824291370633791,0.7496080548652378,0.7468821705783499,0.7430404236429381,0.7348173115662997,0.7348173115662997,0.682839806604876,0.5177792069184677,0.9614385958214409,0.9478676320277734,0.6186730088477688,0.6901810536842145,0.7488297352468364,0.5466521084072115,0.6659375890687158,0.8323307653881762,0.6662639733552247,0.687025796962286,0.8204399935619522,0.65477853017943,0.6669037929323182,0.711944084734065,0.6768810426920912,0.9674861523231674,0.742848436491686,0.9674861523231674,0.9674861523231674,0.8516332047830248,0.6648142473703089,0.4705833198383726,0.7408310086327775,0.7155043645602948,0.819059219339297,0.6350265575983379,0.6484792794479327,0.6483611470835858,0.6452750013605002,0.6838964524487876,0.913335054836914,0.7257796037246237,0.6688203901417691,0.6816117147061931,0.5822417472508686,0.5859130285528291,0.6001000583792058,0.9513188286168776,0.5738167365718928,0.9264101997717876,0.759511928109332,0.7060172703178644,0.5747947010738474,0.7116660567171822,0.7910818514111904,0.7728174619883701,0.6738448566537657,0.6780521579930421,0.6417042839401925,1.0,0.7978904099356418,0.5369354296217682,0.6479928855446021,0.629062842595558,0.6849794355693992,0.4956130615733616,0.6480602016513313,0.8399113360428553,0.7558626197095186,0.9395953598052226
1.5.2,0.7321546394915502,1.0,0.7590762408092695,0.7590762408092695,0.9004302538869824,0.7322690077235754,0.7667657564918077,0.7583062230926405,0.6345498553614258,1.0,1.0,0.8622088168994883,0.8080910108739863,0.47263438837441346,0.47442968830231863,0.6138118131102233,0.5375716870555899,0.5375716870555899,0.6247037481018496,0.6342087313186212,0.7646542824527205,0.646102395237182,0.5241981693507963,0.5556746411493111,0.6384553753714081,0.5829653151612775,0.6376911284621166,0.8425436951286994,0.6354593515360042,0.6172587437926386,0.8238822926950763,0.3733150370026338,0.5392911111690563,0.5250312588464635,0.44194687172351893,0.7050133017097319,0.7208712416106436,0.7050133017097319,0.7050133017097319,0.8264744515106666,0.63525341712733,0.6088542495677322,0.6611824916476947,0.5371561966204357,0.8230904180091928,0.4253075798326099,0.4791295896429375,0.4525071812261474,0.6546421493405215,0.4951199220571838,0.8763337211481759,0.6583322357903296,0.5435244819314584,0.6929793211919131,0.5130468341639426,0.7937858699520729,0.6504187761855942,0.7961669250675246,0.6390608972750933,0.7195597926631112,0.582119103465298,0.5162067766386725,0.6172374125389246,0.44683731638253926,0.7029458738825849,0.3068646334643563,0.7189789758543919,0.5516421708265536,0.5960270693016025,0.7321546394915501,0.8931429409592176,0.40494660236401336,0.6166809412576687,0.6295450101105716,0.42972599697970915,0.7005551835644512,0.629485131960427,0.8900382450880588,0.9676553011920004,0.6174589222373837
1.а.2 Образование,0.7414954683419247,0.7590762408092695,1.0,1.0,0.800179825173531,0.7415536489307005,0.898983322080153,0.8129806423406387,0.5582397465902788,0.7590762408092694,0.7590762408092694,0.8978853935899913,0.8965421156253051,0.5324242314328723,0.5309943152040376,0.5883097246396848,0.6152970969167645,0.6152970969167645,0.4829871697749364,0.5598627221610617,0.7436802587719242,0.7760084091349938,0.34920081589157337,0.515828022684256,0.6459437508000211,0.3953276454182348,0.5865800672678307,0.8348448709447632,0.5957115856336959,0.587877406594551,0.9498700976003953,0.48716207393116445,0.5267979511136156,0.5888014843903635,0.617118659552226,0.788054460512002,0.8649951120180369,0.788054460512002,0.788054460512002,0.852314443375621,0.5947934010117963,0.4770720791900021,0.9691178236175996,0.5721008272702908,0.9478324866339002,0.48510440177650715,0.4709571481523348,0.4657776856082387,0.6294150851252717,0.4746830296414573,0.859473310210872,0.6843537294215809,0.5277270314800924,0.7949061191868253,0.5288497699969261,0.807038967317005,0.931626913760187,0.8369731975392125,0.5539902389718339,0.8162681160147655,0.5663048071077253,0.637609994101124,0.5481505879623427,0.513632780728164,0.9679361950928124,0.5748435679349377,0.9172586356775678,0.5621800445890309,0.5088882860836413,0.7414954683419247,0.8963189977085645,0.3049569804136804,0.5534751666156387,0.5401057974488601,0.6384574168853442,0.5110269067107792,0.8616894049392402,0.9101688845458892,0.783672691306821,0.7112298327994058
Т.1.2.1 образование,0.7414954683419247,0.7590762408092695,1.0,1.0,0.800179825173531,0.7415536489307005,0.898983322080153,0.8129806423406387,0.5582397465902788,0.7590762408092694,0.7590762408092694,0.8978853935899913,0.8965421156253051,0.5324242314328723,0.5309943152040376,0.5883097246396848,0.6152970969167645,0.6152970969167645,0.4829871697749364,0.5598627221610617,0.7436802587719242,0.7760084091349938,0.34920081589157337,0.515828022684256,0.6459437508000211,0.3953276454182348,0.5865800672678307,0.8348448709447632,0.5957115856336959,0.587877406594551,0.9498700976003953,0.48716207393116445,0.5267979511136156,0.5888014843903635,0.617118659552226,0.788054460512002,0.8649951120180369,0.788054460512002,0.788054460512002,0.852314443375621,0.5947934010117963,0.4770720791900021,0.9691178236175996,0.5721008272702908,0.9478324866339002,0.48510440177650715,0.4709571481523348,0.4657776856082387,0.6294150851252717,0.4746830296414573,0.859473310210872,0.6843537294215809,0.5277270314800924,0.7949061191868253,0.5288497699969261,0.807038967317005,0.931626913760187,0.8369731975392125,0.5539902389718339,0.8162681160147655,0.5663048071077253,0.637609994101124,0.5481505879623427,0.513632780728164,0.9679361950928124,0.5748435679349377,0.9172586356775678,0.5621800445890309,0.5088882860836413,0.7414954683419247,0.8963189977085645,0.3049569804136804,0.5534751666156387,0.5401057974488601,0.6384574168853442,0.5110269067107792,0.8616894049392402,0.9101688845458892,0.783672691306821,0.7112298327994058
Т.1.2.3 социальная политика,0.9119705257634055,0.9004302538869824,0.800179825173531,0.800179825173531,1.0,0.9118547674901293,0.8922756539301419,0.9477980093374915,0.6287232944344717,0.9004302538869823,0.9004302538869823,0.9438170658061701,0.8465423202745942,0.6011036969597577,0.5985151331419413,0.6663801941893381,0.6221041755536537,0.6221041755536537,0.6111163134110854,0.5325333225767086,0.8702488483561516,0.8476226093523962,0.5240375487493218,0.5825924347531428,0.7019693400373045,0.48481192355423874,0.6308046830337942,0.8318585062246694,0.6095583483163837,0.6138914546002667,0.8295535094276418,0.46295767538136057,0.5617048133527062,0.5827027593734622,0.5364283105866803,0.8586928936410964,0.7449101045121369,0.8586928936410964,0.8586928936410964,0.8336140822080018,0.6081054799437103,0.44865227306790245,0.7401689409386254,0.5967868202126704,0.8287290681817412,0.4733946064057447,0.4988479381406539,0.4889356585064629,0.6378460246467689,0.5449719588915488,0.9076727616399535,0.6801173382757022,0.5659636432064259,0.6352397820241508,0.5152717493851664,0.6631946042055421,0.6506551774675482,0.9264162592523589,0.5976103796475645,0.9179790943370698,0.6639568682409689,0.6058925556590585,0.529016744537782,0.5534283376602588,0.8185060250739625,0.5177475246344445,0.7168904419300862,0.6025602463125309,0.5767982708840466,0.9119705257634055,0.9047693161636998,0.43095054572533786,0.5773917946477697,0.5735552822112402,0.5457485265096317,0.5511114956168651,0.5983446215125051,0.8755365981188855,0.908379456342486,0.7877122966348492
Т.1.3.2,0.9999993442220299,0.7322690077235754,0.7415536489307005,0.7415536489307005,0.9118547674901293,1.0,0.9349407950176373,0.9782510146800283,0.686433867146307,0.7322690077235754,0.7322690077235754,0.9254386977230733,0.8826747255177837,0.7498073003097038,0.7470965602602034,0.7432598301481405,0.7350030842297464,0.7350030842297464,0.6831547602559814,0.5180029620448254,0.961731798564346,0.9480201955149189,0.6189980748949526,0.6904937271278417,0.7490019120868003,0.5470842866201024,0.6663836564571625,0.8326518022022025,0.6666319131157475,0.6873059517969043,0.8205987578900646,0.6550558137623648,0.6671886307850519,0.7122269121373005,0.6770722211562186,0.9677254655649857,0.7432435803879686,0.9677254655649857,0.9677254655649857,0.8519642449671766,0.6651830230075587,0.4710468174181008,0.7407935599997578,0.7158128536629724,0.8192007902160011,0.6351314805601196,0.6488046542745732,0.6486783547007242,0.6455099093080647,0.684209767444041,0.9135655149244034,0.7258691763595172,0.6691034700540279,0.6816613529398861,0.5821470124755179,0.5858988430716955,0.6003604089425906,0.9515040020492753,0.5740202608898136,0.9261048696356169,0.7596961260648836,0.7062765311548489,0.5750753447527742,0.7118971298537167,0.7910916586628172,0.7729784711623293,0.6736936738478995,0.6780811994721306,0.6422018101204802,0.9999993442220299,0.7979882867029475,0.5371997373378695,0.6482870962436182,0.6293445164710861,0.6851805753097061,0.4958289141382935,0.6481628884084357,0.840118626163755,0.7559842333453555,0.9398166268229639
10.2.5 (Доля оплаты труда наемных работников ВРП),0.934780111105309,0.7667657564918077,0.898983322080153,0.898983322080153,0.8922756539301419,0.9349407950176373,1.0,0.9363048851153546,0.6714035545552544,0.7667657564918077,0.7667657564918077,0.9816518020889946,0.9320217755180861,0.7036276377668003,0.7024176655468667,0.7186259180582355,0.7225886741847632,0.7225886741847632,0.6371151455815205,0.5236440228803292,0.931393917128448,0.9540716244130828,0.5694329893699563,0.6461237081383915,0.7479966855677681,0.5049759102794338,0.7016671596550644,0.9302154339652313,0.6845006593124271,0.6821975367220697,0.9168578567815292,0.6169129400456173,0.6249875680658862,0.712557686034704,0.7214424026517081,0.9658774869950244,0.9105975404838048,0.9658774869950244,0.9658774869950244,0.949101056014468,0.6829830655315834,0.5092028005558891,0.8891932887400686,0.7001636511157386,0.9121336097637933,0.5770718797103235,0.5994926974769552,0.5953039084468997,0.6528422722679477,0.6242046607068319,0.9628287867032301,0.7965228363176491,0.6264934557586483,0.7520382848871083,0.5361430002847275,0.688110061642163,0.78413002048975,0.9649930961402471,0.553306377017965,0.9109640351563898,0.7185875301086734,0.719570579552815,0.5853396124033391,0.6591726191986673,0.9005980978688309,0.7356482474393545,0.7931742827450159,0.61806041616353,0.6520116979608491,0.934780111105309,0.8560855520877703,0.4447156526117193,0.6518449668800707,0.6363739888582447,0.7085802824462185,0.500185373534223,0.7845214639697081,0.9070181193752656,0.775591381679108,0.9325083512919078
"10.3.2 (Численность граждан, которым меры социальной поддержки предоставляются в форме денежных компенсаций)",0.9783942382234926,0.7583062230926405,0.8129806423406387,0.8129806423406387,0.9477980093374915,0.9782510146800283,0.9363048851153546,1.0,0.6455208902191929,0.7583062230926404,0.7583062230926404,0.9382802653371881,0.8892631994482679,0.6999920553010796,0.6957924235904213,0.7083402198457022,0.7073678150151804,0.7073678150151804,0.6202418128183895,0.5203189207689012,0.9171663232523802,0.9253557562127169,0.5214399956916776,0.6386905764787648,0.7349446243365355,0.47423306532093706,0.6227972449212785,0.8042575743045781,0.6262763809806614,0.6495681257075432,0.8523713007243034,0.5950404121239214,0.6266827193753132,0.6643272699005585,0.6386451618747347,0.9333548269832085,0.7326646872994702,0.9333548269832085,0.9333548269832085,0.8242542763772565,0.6246794387988069,0.4151837811845348,0.799293188535102,0.6700306465452918,0.852463427075487,0.589805031008184,0.5831217147941515,0.5843644730547106,0.6464398957588154,0.6225970956427579,0.8999092655674041,0.6827863539580944,0.6291043066423686,0.681927438923371,0.5813236955659419,0.6222131444315734,0.6659000329747383,0.9508966143293498,0.5833443881599001,0.9631106349862081,0.7203172437582028,0.689043503874463,0.5389651231868088,0.6627049042069104,0.8649764198375532,0.7120696027776937,0.7401787704983068,0.6729791963771476,0.5762174317853788,0.9783942382234926,0.8584702202573546,0.47787582380607435,0.5977057921153247,0.5779117179672769,0.6679425155471521,0.48485195948309273,0.6611633024741443,0.8638803161323784,0.7966130196827976,0.8792484689831399
11.2.1(тыс. чел.),0.6862643686487337,0.6345498553614258,0.5582397465902788,0.5582397465902788,0.6287232944344717,0.686433867146307,0.6714035545552544,0.6455208902191929,1.0,0.6345498553614259,0.6345498553614259,0.677879459902021,0.6994725081158952,0.9085419359749407,0.9088439067535473,0.966932716922323,0.9443033200369871,0.9443033200369871,0.9686069743810917,0.8796268724768033,0.6955257314483644,0.5944039756258215,0.9041814836495929,0.9342064187070767,0.9550368014807736,0.9055932711356866,0.9105683692089437,0.715078226883495,0.9636994321043879,0.9767477064332214,0.6875358898138696,0.8700178229472642,0.9165353065754241,0.9557957780534957,0.9137921933390712,0.6674831226840314,0.5664248496183316,0.6674831226840314,0.6674831226840314,0.7174021948478159,0.9636846359529377,0.9095779745263127,0.5674807301263488,0.9340146572872566,0.6883316112144511,0.9240280761919935,0.9233791224906215,0.9042372670079355,0.9103663287852333,0.9090892061684853,0.7423768980697762,0.6374179820668426,0.9173375219455467,0.6922987861822951,0.9182057908271795,0.6350483802888974,0.4201793365673712,0.6405916831595952,0.8385967590236106,0.614873620219614,0.9582865839743815,0.8828065659303521,0.9651584303983782,0.8903116102408616,0.5124546117565345,0.46996221183087544,0.5997949947361951,0.9182911671847442,0.9024207640489553,0.6862643686487337,0.5803805625938877,0.849440686235266,0.9908508122953537,0.9911105438237342,0.8658703127133078,0.9095278751423733,0.6286814469608288,0.6984498496150918,0.5941205359143595,0.6536829234135999
11.5.2,0.7321546394915502,1.0,0.7590762408092694,0.7590762408092694,0.9004302538869823,0.7322690077235754,0.7667657564918077,0.7583062230926404,0.6345498553614259,1.0,1.0,0.8622088168994883,0.8080910108739863,0.47263438837441346,0.47442968830231863,0.6138118131102233,0.5375716870555899,0.5375716870555899,0.6247037481018496,0.6342087313186212,0.7646542824527205,0.646102395237182,0.5241981693507963,0.5556746411493111,0.6384553753714081,0.5829653151612775,0.6376911284621166,0.8425436951286994,0.6354593515360042,0.6172587437926386,0.8238822926950763,0.3733150370026338,0.5392911111690563,0.5250312588464635,0.44194687172351893,0.7050133017097319,0.7208712416106436,0.7050133017097319,0.7050133017097319,0.8264744515106666,0.63525341712733,0.6088542495677322,0.6611824916476947,0.5371561966204357,0.8230904180091928,0.4253075798326099,0.4791295896429375,0.4525071812261474,0.6546421493405215,0.4951199220571838,0.8763337211481759,0.6583322357903296,0.5435244819314584,0.6929793211919131,0.5130468341639426,0.7937858699520729,0.6504187761855942,0.7961669250675246,0.6390608972750933,0.7195597926631112,0.582119103465298,0.5162067766386725,0.6172374125389246,0.44683731638253926,0.7029458738825849,0.3068646334643563,0.7189789758543919,0.5516421708265536,0.5960270693016025,0.7321546394915501,0.8931429409592176,0.40494660236401336,0.6166809412576687,0.6295450101105716,0.42972599697970915,0.7005551835644512,0.629485131960427,0.8900382450880588,0.9676553011920004,0.6174589222373837
