ЦУР,1.5.1 Пострадавшие,1.а.1,Т.1.2,Т.1.2,10.1.1 (в расчете на одно домохозяйство)                                                 ,10.1.2 (в расчете на одного члена домашнего хозяйства),11.5.1 пострадавшие,Т 12.2.1 (кол-во музеев),Т 12.2.1 (визит-центров),Т 12.2.1 (экотроп и маршрутов),Т 12.2.6 (Виды экотроп и маршрутов  в государственных природных заповедниках -  пешие),13.1.1 пострадавшие,15.1.1 (%),15.1.2 (%),2.5.2,Т2.2.2,Т2.5.3,Т2.5.5,3.4.1a,Т3.8.1,Т3.10.5 (в возрасте 10-14 лет),Т3.12.1,Т3.13.2,Т3.13.3,Т3.13.4,Т3.13.5,Т3.13.6,Т4.5.3,Т4.6.1,Т 9.3.9,9.а.1 (Обязательства в млн дол США)
1.5.1 Пострадавшие,1.0,0.8515791646908805,0.059734161996764186,0.8515791646908805,0.4770514203428489,0.41736585295377115,1.0,,,,,1.0,,0.0,0.019104645240558722,0.019104645240558722,0.1835023272392223,0.36299088348258857,0.488213472318298,0.488213472318298,0.5514941508670609,0.1477130003348149,0.11197549109814423,0.10849556011980693,0.12067495212403116,0.11401396314899388,0.1193183686802853,0.06030610535983556,0.20295159783443695,0.004138436770267191,0.6522181653787149
1.а.1,0.8515791646908805,1.0,0.0888882828097765,1.0,0.46800774283998026,0.5254004113414604,0.8515791646908804,,,,,0.8515791646908804,,2.2079425200240586e-17,0.36418617882118354,0.36418617882118354,0.3698836658891211,0.5905036318310487,0.4979585031634313,0.4979585031634313,0.6817754290943532,0.0019035828347542532,0.10304498190754656,0.09676043649728618,0.09928687712912024,0.08247643413458135,0.10842692173764822,0.06061202203850393,0.0708565295497987,0.20377390518367428,0.6646598978369237
Т.1.2,0.059734161996764186,0.0888882828097765,1.0,0.08888828280977651,0.4040202664293901,0.4362152940645355,0.059734161996764186,,,,,0.059734161996764186,,0.3838859479749573,0.29203370706203724,0.29203370706203724,0.322871765616207,0.3633635769741131,0.42592177506431345,0.42592177506431345,0.20224244932814991,0.8408112354109594,0.9035841100259134,0.9036883699300623,0.9159201431981445,0.9167255185802298,0.9155091811868167,0.5727121717783432,0.908518596553376,0.5158919044643663,0.0381502542834616
Т.1.2,0.8515791646908805,1.0,0.08888828280977651,1.0,0.46800774283998026,0.5254004113414604,0.8515791646908804,,,,,0.8515791646908804,,2.2079425200240586e-17,0.36418617882118354,0.36418617882118354,0.3698836658891211,0.5905036318310487,0.4979585031634313,0.4979585031634313,0.6817754290943532,0.0019035828347542532,0.10304498190754656,0.09676043649728618,0.09928687712912024,0.08247643413458135,0.10842692173764822,0.06061202203850393,0.0708565295497987,0.20377390518367428,0.6646598978369237
10.1.1 (в расчете на одно домохозяйство)                                                 ,0.4770514203428489,0.46800774283998026,0.4040202664293901,0.46800774283998026,1.0,0.9311241794150283,0.4770514203428489,,,,,0.4770514203428489,,7.785041774307051e-16,0.42506055764670564,0.42506055764670564,0.0004859825479763031,0.44991307347506015,0.44512097141256,0.44512097141256,0.8576343804686152,0.5878566202559927,0.6016922195618454,0.5999117557114908,0.5910491442347531,0.567961882000448,0.5875729908279785,0.20964692986059066,0.2990364537348637,0.6600485770488489,0.10543203483897777
10.1.2 (в расчете на одного члена домашнего хозяйства),0.41736585295377115,0.5254004113414604,0.4362152940645355,0.5254004113414604,0.9311241794150283,1.0,0.41736585295377115,,,,,0.41736585295377115,,7.327098140524283e-16,0.6595011731184298,0.6595011731184298,0.279157937229085,0.7196883609151161,0.4788389740039712,0.4788389740039712,0.9331245857747573,0.5065173074878512,0.6494236076162861,0.6456972940918454,0.6352726751095605,0.6146137553114707,0.6372093166010441,0.4259374113888481,0.2413786801744025,0.8557041558248479,0.05710476057900681
11.5.1 пострадавшие,1.0,0.8515791646908804,0.059734161996764186,0.8515791646908804,0.4770514203428489,0.41736585295377115,1.0,,,,,1.0,,0.0,0.019104645240558722,0.019104645240558722,0.1835023272392223,0.36299088348258857,0.488213472318298,0.488213472318298,0.5514941508670609,0.1477130003348149,0.11197549109814423,0.10849556011980693,0.12067495212403116,0.11401396314899388,0.1193183686802853,0.06030610535983556,0.20295159783443695,0.004138436770267191,0.6522181653787149
Т 12.2.1 (кол-во музеев),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т 12.2.1 (визит-центров),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т 12.2.1 (экотроп и маршрутов),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
