ЦУР,1.5.1 Погибшие,1.а.2 Здравоохранение,Т.1.2.2 здравоохранение,Т.1.4.3,"10.7.1 (""Численность лиц, получивших временное убежище"")",11.5.1 погибшие,12.1.1 (%),13.1.1 погибшие,Т 16.5 (Количество преступлений экономической направленности),Т 17.4 (Индекс физического объема валового регионального продукта на душу населения),2.a.1,2.b.1,Т2.2.3,Т2.5.2,Т2.8.1,3.2.1,3.2.2,3.4.2,3.7.1 (возраст 25-29 лет),Т3.2.3,Т3.2.5,Т3.6.4,Т3.8.3,Т3.9.1,Т3.10.3,Т3.10.4,4.2.1 (I группа здоровья),4.4.1.b,8.1.1,Т 9.2.2 (железнодорожным),Т 9.3.3,Т 9.3.4,Т 9.3.10,Т 9.3.11,Т 9.3.16
1.5.1 Погибшие,1.0,0.5137950115072004,0.5137950115072004,0.9636014753018818,0.8458316919531238,1.0,0.679295913007596,1.0,0.8067092168597416,0.7324763512145538,0.8594178116799146,0.7968871237997571,0.8594178116799146,0.7836082818736378,0.7131084933716626,0.7899748024752483,0.6993070706980755,0.98460716717829,0.4551516889843638,0.2893207505953803,0.674436551524996,0.8086359409790816,0.9832740405445534,0.7910453577619753,0.7910453577619753,0.7959043284927715,0.7056698297089828,0.6094404087441686,0.7553297809853292,0.9381681329418707,0.6870814645542477,0.7852437220864087,0.8039542457865257,0.893151568853759,0.7438818137428539
1.а.2 Здравоохранение,0.5137950115072004,1.0,1.0,0.44439845163215574,0.17409044380169306,0.5137950115072004,0.2508744936352113,0.5137950115072004,0.16814924646293053,0.07721322145374827,0.11965174067352896,0.2949406213408695,0.11965174067352896,0.30919402013823016,0.06384519841706238,0.24171289582696787,0.33597932293152943,0.4647276486427107,0.6341243835594012,0.0008818965354963546,0.2613145636345799,0.10318152555105257,0.4230751238310104,0.10726109616382003,0.10726109616382003,0.0975846693009788,0.03480117978289984,0.6611460472340356,0.16163605273084727,0.3537672065579663,0.0999149317184517,0.09753984774660725,0.2092047755465218,0.25068104495854254,0.20293143247803644
Т.1.2.2 здравоохранение,0.5137950115072004,1.0,1.0,0.44439845163215574,0.17409044380169306,0.5137950115072004,0.2508744936352113,0.5137950115072004,0.16814924646293053,0.07721322145374827,0.11965174067352896,0.2949406213408695,0.11965174067352896,0.30919402013823016,0.06384519841706238,0.24171289582696787,0.33597932293152943,0.4647276486427107,0.6341243835594012,0.0008818965354963546,0.2613145636345799,0.10318152555105257,0.4230751238310104,0.10726109616382003,0.10726109616382003,0.0975846693009788,0.03480117978289984,0.6611460472340356,0.16163605273084727,0.3537672065579663,0.0999149317184517,0.09753984774660725,0.2092047755465218,0.25068104495854254,0.20293143247803644
Т.1.4.3,0.9636014753018818,0.44439845163215574,0.44439845163215574,1.0,0.7603864911146233,0.9636014753018816,0.6000499903963116,0.9636014753018816,0.6952360588606468,0.6336223040423317,0.8437724421684981,0.7733304858426494,0.8437724421684981,0.6788904859832192,0.700273134858211,0.7917902440343569,0.6186144243347883,0.9544008644375086,0.4466061832637969,0.2945472483135732,0.5954692854570236,0.8543638748487025,0.9380188108766658,0.7496757930851212,0.7496757930851212,0.7650195911086535,0.6897673899205803,0.5994070361616688,0.6750317663925554,0.9441550825007906,0.6063891589721111,0.7841416739710642,0.6805465689588823,0.9105740168148767,0.6478039088170092
"10.7.1 (""Численность лиц, получивших временное убежище"")",0.8458316919531238,0.17409044380169306,0.17409044380169306,0.7603864911146233,1.0,0.8458316919531238,0.849600228469468,0.8458316919531238,0.9879646951517899,0.9523816783646244,0.9193801926386246,0.7833453233679938,0.9193801926386246,0.8234729793627551,0.8405473319770413,0.8771385602248848,0.782737399156629,0.8786527858553849,0.10699905394062824,0.2868618476169131,0.8429035887274882,0.8364696776551633,0.9080942673971061,0.9670475041202874,0.9670475041202874,0.9600188584254977,0.8368167676925017,0.22560627460968394,0.9293489253781045,0.8207980937578384,0.835381326681136,0.8478245777665288,0.9777235883103771,0.8847437644459815,0.9423827410459391
11.5.1 погибшие,1.0,0.5137950115072004,0.5137950115072004,0.9636014753018816,0.8458316919531238,1.0,0.679295913007596,1.0,0.8067092168597416,0.7324763512145538,0.8594178116799146,0.7968871237997571,0.8594178116799146,0.7836082818736378,0.7131084933716626,0.7899748024752483,0.6993070706980755,0.98460716717829,0.4551516889843638,0.2893207505953803,0.674436551524996,0.8086359409790816,0.9832740405445534,0.7910453577619753,0.7910453577619753,0.7959043284927715,0.7056698297089828,0.6094404087441686,0.7553297809853292,0.9381681329418707,0.6870814645542477,0.7852437220864087,0.8039542457865257,0.893151568853759,0.7438818137428539
12.1.1 (%),0.679295913007596,0.2508744936352113,0.2508744936352113,0.6000499903963116,0.849600228469468,0.679295913007596,1.0,0.679295913007596,0.8540257270789755,0.8921519217568483,0.7772728650829253,0.6363722633022274,0.7772728650829253,0.8307946238004436,0.6513345118104453,0.8531731365262204,0.9199562301299581,0.737912977942439,0.1519241813331536,0.007945581808875122,0.9995329360874605,0.6322619370484593,0.7257265952758888,0.8029754388832423,0.8029754388832423,0.790375157313581,0.7492475877340218,0.01749264251198248,0.9563946043022359,0.7117512827175697,0.867454528723175,0.7890148811950958,0.8640121630060537,0.7026751389708273,0.8011465372678441
13.1.1 погибшие,1.0,0.5137950115072004,0.5137950115072004,0.9636014753018816,0.8458316919531238,1.0,0.679295913007596,1.0,0.8067092168597416,0.7324763512145538,0.8594178116799146,0.7968871237997571,0.8594178116799146,0.7836082818736378,0.7131084933716626,0.7899748024752483,0.6993070706980755,0.98460716717829,0.4551516889843638,0.2893207505953803,0.674436551524996,0.8086359409790816,0.9832740405445534,0.7910453577619753,0.7910453577619753,0.7959043284927715,0.7056698297089828,0.6094404087441686,0.7553297809853292,0.9381681329418707,0.6870814645542477,0.7852437220864087,0.8039542457865257,0.893151568853759,0.7438818137428539
Т 16.5 (Количество преступлений экономической направленности),0.8067092168597416,0.16814924646293053,0.16814924646293053,0.6952360588606468,0.9879646951517899,0.8067092168597416,0.8540257270789755,0.8067092168597416,1.0,0.969904150824543,0.8921187752152016,0.7540736514541023,0.8921187752152016,0.8659595792811775,0.8066864521137672,0.8134662039575066,0.8094010146647989,0.8258735796965234,0.13258620099759302,0.3006798177841701,0.8474092713547808,0.762524700754556,0.8641918503466811,0.9298792629935207,0.9298792629935207,0.920132841475697,0.8371954222653283,0.22158777461483314,0.9281137749351521,0.7689236204828699,0.8729959338452783,0.812416840388786,0.9971523501929735,0.8196909626489004,0.9403562638847356
Т 17.4 (Индекс физического объема валового регионального продукта на душу населения),0.7324763512145538,0.07721322145374827,0.07721322145374827,0.6336223040423317,0.9523816783646244,0.7324763512145538,0.8921519217568483,0.7324763512145538,0.969904150824543,1.0,0.8586747340534818,0.7704657255658032,0.8586747340534818,0.8973880452327804,0.8339975840837045,0.7828947790104777,0.7979408201055347,0.770797966652697,0.1329826877613893,0.3454400871065796,0.8817452105319648,0.7596494942817092,0.8049472582434842,0.8857731031869192,0.8857731031869192,0.8668765715799869,0.7975919892242122,0.13450742342046967,0.9723585615794121,0.7726369641418603,0.946692347085434,0.8775863479018073,0.9664981043600148,0.7395046509086491,0.8786611700863912
