ЦУР,1.а.2 Социальная политика,Т.1.2.1 образование,Т.1.2.3 социальная политика,Т.1.3.1,10.2.1 (децильный коэффициент),10.2.2 ( коэффициент фондов),10.2.3 (Индекс концентрации доходов (коэффициент Джини)),"10.3.1 (Численность отдельных категорий специалистов, имеющих право на меры социальной поддержки, человек)",11.3.1,Т 11.2.5 (Соотношение темпа ввода в действие жилых домов к темпу роста населения),Т 14.2 (тонн),15.3.1 (га),15.9.1 (Ввод молодняков в категорию хозяйственно-ценных лесных насаждений),15.9.1 (Площадь лесовосстановления),Т 15.2.2 (Индекс физического объема природоохранных расходов),Т 16.6 (Доля потерпевших от преступных посягательств),Т2.3.1,Т2.3.3,Т2.3.5,Т2.4.3,Т2.5.1,Т2.5.6,Т2.6.3,Т2.6.5,Т2.6.6,3.3.3,Т3.2.1,Т3.6.3,Т3.6.7,Т3.6.9,4.3.1,Т 8.10.1,Т 9.2.1 (железнодорожным),Т 9.3.5,Т 9.3.8,Т 9.3.14,Т 9.6 (ВДС обрабатывающих производств в пересчете на душу населения),9.а.2 (Изьято в млн дол США),9.а.3 (Поступило в млн дол США)
1.а.2 Социальная политика,1.0,0.24251450724530327,1.0,0.7604123824133165,0.20872905729542382,0.19474498283012942,0.17313989613562442,0.9243937254791678,0.28838766028236523,0.28838766028236523,0.7813634434058406,0.04881981191863796,0.1967743377614466,0.4186775334584181,0.9243561742960338,0.8033612173499317,0.5472977307484155,0.861864491017143,0.9388505557447484,0.8232846917326745,0.8631000177767024,0.7170709271520741,0.7572324434127831,0.619715181118726,0.6697091067793116,0.6364372683744043,0.08031483638879891,0.6364372683744043,0.19930913038024758,0.05460836543212331,0.6899360162058372,0.3261751069911542,0.8489905909712047,0.9133073135718853,0.33888799507572603,0.17041388591734238,0.8983317501857354,0.7013110819892792,0.7978965112910051
Т.1.2.1 образование,0.24251450724530327,1.0,0.24251450724530332,0.3358630817995629,0.8159406483460938,0.8606422804033147,0.8515215117968895,0.40054969878216884,0.7121134860982833,0.7121134860982833,0.351228339299303,0.702480189465508,0.5880113860560182,0.2727488622955458,0.3769116298928618,0.3947119596837052,0.23949658000626756,0.5349107468651253,0.28721043910629057,0.6102093161706943,0.6330641965186959,0.37727822361226687,0.31351261821451015,0.5158107766251424,0.5970977042843989,0.29535847425909384,0.5217850168773993,0.29535847425909384,0.5953240006196193,0.722328526037315,0.3363274259183254,0.40249151252406656,0.6201272745737488,0.33378763294493313,0.7864616413348581,0.34097082686885066,0.29161989492161844,0.19162116205349447,0.4146016641344336
Т.1.2.3 социальная политика,1.0,0.24251450724530332,1.0,0.7604123824133165,0.20872905729542382,0.19474498283012942,0.17313989613562442,0.9243937254791678,0.28838766028236523,0.28838766028236523,0.7813634434058406,0.04881981191863796,0.1967743377614466,0.4186775334584181,0.9243561742960338,0.8033612173499317,0.5472977307484155,0.861864491017143,0.9388505557447484,0.8232846917326745,0.8631000177767024,0.7170709271520741,0.7572324434127831,0.619715181118726,0.6697091067793116,0.6364372683744043,0.08031483638879891,0.6364372683744043,0.19930913038024758,0.05460836543212331,0.6899360162058372,0.3261751069911542,0.8489905909712047,0.9133073135718853,0.33888799507572603,0.17041388591734238,0.8983317501857354,0.7013110819892792,0.7978965112910051
Т.1.3.1,0.7604123824133165,0.3358630817995629,0.7604123824133165,1.0,0.5327989983372519,0.5193325623922316,0.49761847482017707,0.8314806703014626,0.4232646618139496,0.4232646618139496,0.6990504154667915,0.19738405624616667,0.07081257736324531,0.5005155183201051,0.8727737321135635,0.7744053261853352,0.808581825905121,0.8418161711081409,0.8182465150971379,0.7050533226300774,0.7278721033519677,0.9121063762448053,0.671118011907212,0.6554727180786544,0.6627159986006839,0.7774115589700583,0.2374468091721663,0.7774115589700583,0.20454056967201512,0.2809493153717219,0.6318945603195742,0.3648621960771054,0.8696942139592682,0.8191128972413246,0.6036601617927713,0.2633422178322365,0.8952751564207152,0.8299771844379772,0.7534725696709919
10.2.1 (децильный коэффициент),0.20872905729542382,0.8159406483460938,0.20872905729542382,0.5327989983372519,1.0,0.9903277508630919,0.9879103980694349,0.3770636336550536,0.4910243936951563,0.4910243936951563,0.17287699670810622,0.4579295547083586,0.35809425760091507,0.01175306631972163,0.363974245554291,0.2500665039211107,0.20974958376126723,0.5499323649615439,0.219437181999283,0.4731080638254027,0.4703586448266044,0.3746660672822146,0.11006171624061996,0.34391495630480684,0.32443804138249394,0.4667220641140057,0.3928580008122084,0.4667220641140057,0.13880451219550619,0.5752628827546636,0.11632454788495204,0.0813356229476645,0.5998058353660166,0.3391903799404516,0.684803088169901,0.010652166855696617,0.2778715217961095,0.17088700841769347,0.24797383974828965
10.2.2 ( коэффициент фондов),0.19474498283012942,0.8606422804033147,0.19474498283012942,0.5193325623922316,0.9903277508630919,1.0,0.9986785196810424,0.3877890820555254,0.5693557920946593,0.5693557920946593,0.2307105305975082,0.5427662050543237,0.44297334337036276,0.10132587411687652,0.3710866519468289,0.3024489916474539,0.23954354713159037,0.5411419419737371,0.2423620428705176,0.5048580502376094,0.5020530608908971,0.3917867179375073,0.13465278881552706,0.4201825894830905,0.3873480537367967,0.4366631866306834,0.3734828466355577,0.4366631866306834,0.23518676272164193,0.6246965002140018,0.19233293545947008,0.19954324671155083,0.5974349338105963,0.3402513342770536,0.7231449346990735,0.12715644610907853,0.2843614293048452,0.20114114552008716,0.29244621487514727
10.2.3 (Индекс концентрации доходов (коэффициент Джини)),0.17313989613562442,0.8515215117968895,0.17313989613562442,0.49761847482017707,0.9879103980694349,0.9986785196810424,1.0,0.36933059118721845,0.550765352159671,0.550765352159671,0.20523250517959107,0.5330489702181078,0.43986400344694254,0.07863753598028615,0.34765459407506993,0.2820485953044007,0.20919662453214738,0.5208260465907075,0.2211288649326985,0.49236302651802216,0.48621736742273564,0.3601212578825595,0.0937868243728523,0.41410283972317535,0.3644595977952474,0.424382205569017,0.33902534247333005,0.424382205569017,0.23412092203584978,0.6074575239324735,0.17024618747508685,0.19332405894702087,0.573246292370243,0.32145983441298326,0.6923046791230713,0.1213288303555911,0.2553645860942023,0.17479151248316177,0.2696028550847151
"10.3.1 (Численность отдельных категорий специалистов, имеющих право на меры социальной поддержки, человек)",0.9243937254791678,0.40054969878216884,0.9243937254791678,0.8314806703014626,0.3770636336550536,0.3877890820555254,0.36933059118721845,1.0,0.5581533772267993,0.5581533772267993,0.8117918866221338,0.2510719634395115,0.11103287107430763,0.5606086115849334,0.9914320562050457,0.9279497295339814,0.611177058903639,0.954986993574866,0.9664401747449097,0.9419680993382998,0.8894155934456832,0.8212213065587312,0.7506487718489387,0.6726234365986986,0.7082120383233033,0.5227292363725098,0.16677963940824508,0.5227292363725098,0.08149204359826127,0.21940755346562085,0.7600415439217507,0.48250976626275704,0.9043696417809808,0.9926098640389186,0.5260983855224659,0.36701073239094495,0.8632817319355076,0.8281561001037293,0.7622220176607987
11.3.1,0.28838766028236523,0.7121134860982833,0.28838766028236523,0.4232646618139496,0.4910243936951563,0.5693557920946593,0.550765352159671,0.5581533772267993,1.0,1.0,0.6383208238991638,0.9012685521503713,0.8090948780116287,0.7505282749380793,0.5629358123088176,0.7042724139598302,0.498194507387361,0.5566107605693474,0.5124904926205655,0.645500382943294,0.5295926081286528,0.6217082751063783,0.6095255772624698,0.4932672617034556,0.5978922348049206,0.014831087734989298,0.5198599278979805,0.014831087734989298,0.5397469356674862,0.8270427718764298,0.6909979834846116,0.7186102005446248,0.5396986229243051,0.5333014715614331,0.8710749599205341,0.7256487716352961,0.4027895870681623,0.624526909865579,0.43897306825064347
Т 11.2.5 (Соотношение темпа ввода в действие жилых домов к темпу роста населения),0.28838766028236523,0.7121134860982833,0.28838766028236523,0.4232646618139496,0.4910243936951563,0.5693557920946593,0.550765352159671,0.5581533772267993,1.0,1.0,0.6383208238991638,0.9012685521503713,0.8090948780116287,0.7505282749380793,0.5629358123088176,0.7042724139598302,0.498194507387361,0.5566107605693474,0.5124904926205655,0.645500382943294,0.5295926081286528,0.6217082751063783,0.6095255772624698,0.4932672617034556,0.5978922348049206,0.014831087734989298,0.5198599278979805,0.014831087734989298,0.5397469356674862,0.8270427718764298,0.6909979834846116,0.7186102005446248,0.5396986229243051,0.5333014715614331,0.8710749599205341,0.7256487716352961,0.4027895870681623,0.624526909865579,0.43897306825064347
