ЦУР,Субъект,2016,2017,2018,2019,2020,2021,2022
6.1.1 Центральное водоснабжение,Республика Адыгея,,,"80,675","70,2649","80,2435","81,2","82,4"
6.1.1 Центральное водоснабжение,Республика Калмыкия,,,"55,9026","7,4217","7,5372","7,52","7,83"
6.1.1 Центральное водоснабжение,Республика Крым,,,"78,0243","72,3816","70,5119",69,"71,5"
6.1.1 Центральное водоснабжение,Краснодарский край,,,"94,336","94,5","94,5885","95,7","95,1"
6.1.1 Центральное водоснабжение,Астраханская область,,,"78,5364","80,2101","80,5","79,23","77,3"
6.1.1 Центральное водоснабжение,Волгоградская область,,,"85,604","83,3432","83,8696","86,2","87,5"
6.1.1 Центральное водоснабжение,Ростовская область,,,"87,563","78,4943","77,9712",78,78
6.1.1 Центральное водоснабжение,Севастополь,,,"97,4102","97,5058","97,2832","97,3","97,3"
6.1.1 Центральное водоснабжение,РО,,,"87,563","78,4943","77,9712",78,78
6.1.1 Центральное водоснабжение,РФ,,,"85,6484","85,5334","86,5375","87,35","87,8"
6.1.1 Централизованный водопровод,РФ,"89,2",,"90,3",,"89,7",,"90,05"
6.1.1 Централизованный водопровод,РО,"91,92",,"92,53",,"87,52",,"89,74"
6.1.1 Централизованный водопровод,Республика Адыгея (Адыгея),"82,48",,"77,95",,"81,96",,84
6.1.1 Централизованный водопровод,Республика Калмыкия,"81,63",,"70,33",,"71,44",,"75,85"
6.1.1 Централизованный водопровод,Республика Крым,"96,59",,"98,31",,"93,69",,"96,81"
6.1.1 Централизованный водопровод,Краснодарский край,"92,23",,"95,75",,"94,19",,"88,83"
6.1.1 Централизованный водопровод,Астраханская область,"98,51",,"99,72",,"99,52",,"95,37"
6.1.1 Централизованный водопровод,Bолгоградская область,"85,4",,"85,83",,85,,"87,69"
6.1.1 Централизованный водопровод,Ростовская область,"91,92",,"92,53",,"87,52",,"89,74"
6.1.1 Централизованный водопровод,г. Севастополь,"98,9",,100,,100,,100
6.2.1,РФ,,,"85,8",,"88,3",,"88,7"
6.3.1,РФ,"11,8","12,5","13,4","14,8","18,7","20,4","22,1"
6.3.1,Республика Адыгея (Адыгея),"1,51","5,39","2,14","8,86","9,29","10,6","10,55"
6.3.1,Республика Калмыкия,21,"20,53","21,77","13,02","15,77","31,66","19,84"
6.3.1,Республика Крым,"93,17","25,84","5,52","2,06","1,68","1,99","5,51"
6.3.1,Краснодарский край,"11,81","9,03","21,43","14,55","21,77","21,82","18,31"
6.3.1,Астраханская область,"1,82","6,76","2,62","3,55","3,07","5,54","5,72"
6.3.1,Волгоградская область,"8,01","15,74","16,78","17,03","15,69","15,72","16,26"
6.3.1,Ростовская область,"5,81","13,61","14,95","8,55","16,95","17,15","21,03"
6.3.1,Город федерального значения Севастополь,"0,14","0,13",0,0,"0,52","0,9","0,74"
6.3.1,РО,"5,81","13,61","14,95","8,55","16,95","17,15","21,03"
6.3.2 (1 категория по хим показателям,РФ,3 408,3 283,3 187,,3 698,3 417,3 555
6.3.2 (1 категория по хим показателям,ЮФО,295,288,281,,369,365,295
6.3.2 (1 категория по хим показателям,РО,217,242,197,,152,197,116
6.3.2 (2 категория по хим показателям,РФ,10 346,9 840,8 712,,8 156,7 578,7 823
6.3.2 (2 категория по хим показателям,ЮФО,802,814,619,,512,429,404
6.3.2 (2 категория по хим показателям,РО,323,345,382,,275,233,244
6.3.2 (моря категория по хим показателям,РФ,802,760,419,,563,581,499
6.3.2 (моря категория по хим показателям,ЮФО,240,217,118,,177,141,57
6.3.2 (моря категория по хим показателям,РО,130,139,97,,146,103,53
6.3.2 (1 категория по микро биологическим показателям,РФ,3 162,3 224,2 778,,2 647,2 643,2 378
6.3.2 (1 категория по микро биологическим показателям,ЮФО,496,539,427,,377,447,524
6.3.2 (1 категория по микро биологическим показателям,РО,303,402,335,,188,202,290
6.3.2 (2 категория по микро биологическим показателям,РФ,19 828,17 858,16 323,,15 812,14 932,14 201
