ЦУР,Субъект,2016,2017,2018,2019,2020,2021,2022,2023,2024
8.1.1,РФ,"100,2","101,8","102,8","102,2","97,3","105,9","98,8",,
8.1.1,ЮФО,"101,3","103,3","101,7","101,2","98,5","104,5","104,9",,
8.1.1,РО,"103,2","102,5","102,2","101,8","97,6","106,3","103,1",,
8.2.1,РФ,"100,1","102,1","103,1","102,4","99,6","103,9","97,2",,
8.2.1,Республика Адыгея (Адыгея),"103,4","103,5","104,5","104,6","105,9",103,"104,7",,
8.2.1,Республика Калмыкия,"97,8","103,1","102,9","101,6","97,3","98,2","104,1",,
8.2.1,Республика Крым,"107,2","102,1","105,2","101,8","102,6","103,2",97,,
8.2.1,Краснодарский край,"99,9","100,6","100,3","98,9","98,2","104,4","102,6",,
8.2.1,Астраханская область,"103,7","109,9","106,5","105,7","107,4","93,5","97,6",,
8.2.1,Волгоградская область,"100,9","101,7","99,1","102,3","100,7","93,1","103,1",,
8.2.1,Ростовская область,102,"102,9","104,5","103,5","100,7","102,6","101,5",,
8.2.1,Город федерального значения Севастополь,"107,4","98,1","95,5","106,3","99,6","103,2","98,8",,
8.2.1,ЮФО,"102,79","102,74","102,31","103,09","101,55","100,15","101,18",,
8.2.1,РО,102,"102,9","104,5","103,5","100,7","102,6","101,5",,
8.3.1,РФ,"21,2","19,8","20,1","20,6",20,"20,3","18,6",,
8.3.1,ЮФО,"28,9","28,6","30,4","30,9","30,4","30,5",26,,
8.3.1,РО,"30,4","28,6","28,8","25,7",25,"27,3","24,2",,
8.6.1,РФ,"12,4","10,5","10,2","10,6","10,9","10,2","10,1",,
8.6.1,ЮФО,,"11,2","10,8","10,9","10,8","10,2","10,4",,
8.6.1,РО,,"10,3","9,1",9,"8,9","7,8",9,,
8.7.1,РФ,,,"0,4",,"0,4",,"0,1",,
8.8.1.a,РФ,89,88,"81,5",83,"73,1","77,3","70,6",,
8.8.1.a,ЮФО,,,,"60,2",63,,"50,4",,
8.8.1.a,РО,,,,"49,7","38,7",,"30,8",,
8.8.1.b,РФ,"159,1","156,2",147,142,"122,1","130,5","122,1",,
8.8.1.b,ЮФО,,,,"82,4","98,2",,"97,5",,
8.8.1.b,РО,,,,"83,3",90,,"90,3",,
8.8.1.c,РФ,"0,92","0,78","0,8","0,7","0,77","1,05","0,81",,
8.8.1.c,ЮФО,,,,"1,22","1,64",,"0,51",,
8.8.1.c,РО,,,,"0,89","3,22",,,,
8.8.1.d,РФ,"10,28","9,45","8,91","8,66","7,2","9,64","8,48",,
8.8.1.d,ЮФО,,,,"6,7","10,48",,"8,02",,
8.8.1.d,РО,,,,"5,7","12,91",,"9,87",,
8.8.2,РФ,"13,2","12,9","12,6","12,3","12,1",11,"9,8",,
8.8.2,ЮФО,0,0,0,,0,0,,,
8.8.2,РО,"14,2","13,9","13,2","13,3",13,12,"10,5",,
8.9.1,РФ,"3,4","2,7","2,7","2,8","2,4","2,6","2,62",,
8.9.1,ЮФО,,,,"4,7","4,1","4,6",,,
8.9.1,РО,,,,"2,8","2,4","2,3",,,
